YEAR,MONTH,Purchase.Type,FUEL_GROUP,AVERAGE_FUEL_COST
2021,10,Henry Hub,Natural Gas,5.51
2021,9,Henry Hub,Natural Gas,5.16
2021,8,Henry Hub,Natural Gas,4.07
2021,7,Henry Hub,Natural Gas,3.84
2021,6,Henry Hub,Natural Gas,3.26
2021,5,Henry Hub,Natural Gas,2.91
2021,4,Henry Hub,Natural Gas,2.66
2021,3,Henry Hub,Natural Gas,2.62
2021,2,Henry Hub,Natural Gas,5.35
2021,1,Henry Hub,Natural Gas,2.71
2020,12,Henry Hub,Natural Gas,2.59
2020,11,Henry Hub,Natural Gas,2.61
2020,10,Henry Hub,Natural Gas,2.39
2020,9,Henry Hub,Natural Gas,1.92
2020,8,Henry Hub,Natural Gas,2.3
2020,7,Henry Hub,Natural Gas,1.77
2020,6,Henry Hub,Natural Gas,1.63
2020,5,Henry Hub,Natural Gas,1.75
2020,4,Henry Hub,Natural Gas,1.74
2020,3,Henry Hub,Natural Gas,1.79
2020,2,Henry Hub,Natural Gas,1.91
2020,1,Henry Hub,Natural Gas,2.02
2019,12,Henry Hub,Natural Gas,2.22
2019,11,Henry Hub,Natural Gas,2.65
2019,10,Henry Hub,Natural Gas,2.33
2019,9,Henry Hub,Natural Gas,2.56
2019,8,Henry Hub,Natural Gas,2.22
2019,7,Henry Hub,Natural Gas,2.37
2019,6,Henry Hub,Natural Gas,2.4
2019,5,Henry Hub,Natural Gas,2.64
2019,4,Henry Hub,Natural Gas,2.65
2019,3,Henry Hub,Natural Gas,2.95
2019,2,Henry Hub,Natural Gas,2.69
2019,1,Henry Hub,Natural Gas,3.11
2018,12,Henry Hub,Natural Gas,4.04
2018,11,Henry Hub,Natural Gas,4.09
2018,10,Henry Hub,Natural Gas,3.28
2018,9,Henry Hub,Natural Gas,3
2018,8,Henry Hub,Natural Gas,2.96
2018,7,Henry Hub,Natural Gas,2.83
2018,6,Henry Hub,Natural Gas,2.97
2018,5,Henry Hub,Natural Gas,2.8
2018,4,Henry Hub,Natural Gas,2.8
2018,3,Henry Hub,Natural Gas,2.69
2018,2,Henry Hub,Natural Gas,2.67
2018,1,Henry Hub,Natural Gas,3.87
2017,12,Henry Hub,Natural Gas,2.82
2017,11,Henry Hub,Natural Gas,3.01
2017,10,Henry Hub,Natural Gas,2.88
2017,9,Henry Hub,Natural Gas,2.98
2017,8,Henry Hub,Natural Gas,2.9
2017,7,Henry Hub,Natural Gas,2.98
2017,6,Henry Hub,Natural Gas,2.98
2017,5,Henry Hub,Natural Gas,3.15
2017,4,Henry Hub,Natural Gas,3.1
2017,3,Henry Hub,Natural Gas,2.88
2017,2,Henry Hub,Natural Gas,2.85
2017,1,Henry Hub,Natural Gas,3.3
2016,12,Henry Hub,Natural Gas,3.59
2016,11,Henry Hub,Natural Gas,2.55
2016,10,Henry Hub,Natural Gas,2.98
2016,9,Henry Hub,Natural Gas,2.99
2016,8,Henry Hub,Natural Gas,2.82
2016,7,Henry Hub,Natural Gas,2.82
2016,6,Henry Hub,Natural Gas,2.59
2016,5,Henry Hub,Natural Gas,1.92
2016,4,Henry Hub,Natural Gas,1.92
2016,3,Henry Hub,Natural Gas,1.73
2016,2,Henry Hub,Natural Gas,1.99
2016,1,Henry Hub,Natural Gas,2.28
2015,12,Henry Hub,Natural Gas,1.93
2015,11,Henry Hub,Natural Gas,2.09
2015,10,Henry Hub,Natural Gas,2.34
2015,9,Henry Hub,Natural Gas,2.66
2015,8,Henry Hub,Natural Gas,2.77
2015,7,Henry Hub,Natural Gas,2.84
2015,6,Henry Hub,Natural Gas,2.78
2015,5,Henry Hub,Natural Gas,2.85
2015,4,Henry Hub,Natural Gas,2.61
2015,3,Henry Hub,Natural Gas,2.83
2015,2,Henry Hub,Natural Gas,2.87
2015,1,Henry Hub,Natural Gas,2.99
2014,12,Henry Hub,Natural Gas,3.48
2014,11,Henry Hub,Natural Gas,4.12
2014,10,Henry Hub,Natural Gas,3.78
2014,9,Henry Hub,Natural Gas,3.92
2014,8,Henry Hub,Natural Gas,3.91
2014,7,Henry Hub,Natural Gas,4.05
2014,6,Henry Hub,Natural Gas,4.59
2014,5,Henry Hub,Natural Gas,4.58
2014,4,Henry Hub,Natural Gas,4.66
2014,3,Henry Hub,Natural Gas,4.9
2014,2,Henry Hub,Natural Gas,6
2014,1,Henry Hub,Natural Gas,4.71
2013,12,Henry Hub,Natural Gas,4.24
2013,11,Henry Hub,Natural Gas,3.64
2013,10,Henry Hub,Natural Gas,3.68
2013,9,Henry Hub,Natural Gas,3.62
2013,8,Henry Hub,Natural Gas,3.43
2013,7,Henry Hub,Natural Gas,3.62
2013,6,Henry Hub,Natural Gas,3.83
2013,5,Henry Hub,Natural Gas,4.04
2013,4,Henry Hub,Natural Gas,4.17
2013,3,Henry Hub,Natural Gas,3.81
2013,2,Henry Hub,Natural Gas,3.33
2013,1,Henry Hub,Natural Gas,3.33
2012,12,Henry Hub,Natural Gas,3.34
2012,11,Henry Hub,Natural Gas,3.54
2012,10,Henry Hub,Natural Gas,3.32
2012,9,Henry Hub,Natural Gas,2.85
2012,8,Henry Hub,Natural Gas,2.84
2012,7,Henry Hub,Natural Gas,2.95
2012,6,Henry Hub,Natural Gas,2.46
