variable,item,notes_varcode,region,EIA_template,EIA_unit,EIA_name
Total Energy Consumption,Bbtu,NA,AL,{EIA_pub}.{EIA_scenario}.AL.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,AR,{EIA_pub}.{EIA_scenario}.AR.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,AZ,{EIA_pub}.{EIA_scenario}.AZ.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,CA,{EIA_pub}.{EIA_scenario}.CA.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,CO,{EIA_pub}.{EIA_scenario}.CO.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,CT,{EIA_pub}.{EIA_scenario}.CT.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,DC,{EIA_pub}.{EIA_scenario}.DC.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,DE,{EIA_pub}.{EIA_scenario}.DE.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,FL,{EIA_pub}.{EIA_scenario}.FL.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,GA,{EIA_pub}.{EIA_scenario}.GA.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,IA,{EIA_pub}.{EIA_scenario}.IA.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,ID,{EIA_pub}.{EIA_scenario}.ID.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,IL,{EIA_pub}.{EIA_scenario}.IL.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,IN,{EIA_pub}.{EIA_scenario}.IN.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,KS,{EIA_pub}.{EIA_scenario}.KS.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,KY,{EIA_pub}.{EIA_scenario}.KY.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,LA,{EIA_pub}.{EIA_scenario}.LA.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,MA,{EIA_pub}.{EIA_scenario}.MA.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,MD,{EIA_pub}.{EIA_scenario}.MD.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,ME,{EIA_pub}.{EIA_scenario}.ME.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,MI,{EIA_pub}.{EIA_scenario}.MI.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,MN,{EIA_pub}.{EIA_scenario}.MN.A,Bbtu,SEDS : Consumption : Total All Sectors
Total Energy Consumption,Bbtu,NA,MO,{EIA_pub}.{EIA_scenario}.MO.A,Bbtu,SEDS : Consumption : Total All Sectors
