region,year,value,ratio
Northeast,2020,247.6015787,1
Northeast,2025,255.9185243,1.033590035
Northeast,2030,263.3434106,1.063577268
Northeast,2035,269.3124726,1.087684796
Northeast,2040,281.465824,1.136769101
Northeast,2045,293.5178104,1.185444018
Northeast,2050,305.9025746,1.235462941
Northeast,2075,376.1200611,1.519053566
Midwest,2020,659.1576788,1
Midwest,2025,682.3297186,1.035154016
Midwest,2030,709.9405041,1.077041999
Midwest,2035,734.8481829,1.114829132
Midwest,2040,780.6158941,1.184262763
Midwest,2045,831.0160716,1.260724252
Midwest,2050,885.6129459,1.343552498
Midwest,2075,1217.353262,1.846831647
South,2020,191.4732676,1
South,2025,199.863371,1.043818667
South,2030,208.3169952,1.087969082
South,2035,215.9059261,1.127603497
South,2040,221.2364028,1.15544277
South,2045,226.9725311,1.185400625
South,2050,232.8934249,1.216323447
South,2075,264.8968911,1.383466707
West,2020,285.6516569,1
West,2025,300.730027,1.052785866
West,2030,316.3321067,1.107405118
West,2035,331.5736999,1.16076239
West,2040,347.6754958,1.217131031
West,2045,364.3699976,1.275574599
West,2050,381.7513509,1.336422673
West,2075,481.9150024,1.687072316
