region,plant_type_full,Value
NEG,col_N,48.9
NEG,col_Nccs,63.21
NEG,ngcc_N,14.62
NEG,ngcc_Nccs,30.25
NEG,ngtb_N,6.7
NEG,nuc_N,88.75
NEG,bio_N,100.5
NEG,lfg_N_hi,373.76
NEG,lfg_N_lo,373.76
NEG,lfg_N_vl,373.76
NEG,fc_N,5.778270638
NEG,slrPV_N,16.7
NEG,slrCSP_N,64
NEG,wnd_Nonsh_3,28.07
NEG,wnd_Nonsh_4,28.07
NEG,wnd_Nonsh_5,28.07
NEG,wnd_Nonsh_6,28.07
NEG,wnd_Nonsh_7,28.07
NEG,wnd_Nshal_3,53.33
NEG,wnd_Nshal_4,53.33
NEG,wnd_Nshal_5,53.33
NEG,wnd_Nshal_6,53.33
NEG,wnd_Nshal_7,53.33
NEG,wnd_Ndeep_3,53.33
NEG,wnd_Ndeep_4,53.33
NEG,wnd_Ndeep_5,53.33
NEG,wnd_Ndeep_6,53.33
NEG,wnd_Ndeep_7,53.33
NY,col_N,48.9
NY,col_Nccs,63.21
NY,ngcc_N,14.62
NY,ngcc_Nccs,30.25
NY,ngtb_N,6.7
NY,nuc_N,88.75
NY,bio_N,100.5
NY,lfg_N_hi,373.76
NY,lfg_N_lo,373.76
NY,lfg_N_vl,373.76
NY,fc_N,5.778270638
NY,slrPV_N,16.7
NY,slrCSP_N,64
NY,wnd_Nonsh_3,28.07
NY,wnd_Nonsh_4,28.07
NY,wnd_Nonsh_5,28.07
NY,wnd_Nonsh_6,28.07
NY,wnd_Nonsh_7,28.07
NY,wnd_Nshal_3,53.33
NY,wnd_Nshal_4,53.33
NY,wnd_Nshal_5,53.33
NY,wnd_Nshal_6,53.33
NY,wnd_Nshal_7,53.33
NY,wnd_Ndeep_3,53.33
NY,wnd_Ndeep_4,53.33
NY,wnd_Ndeep_5,53.33
NY,wnd_Ndeep_6,53.33
NY,wnd_Ndeep_7,53.33
MID,col_N,48.9
MID,col_Nccs,63.21
MID,ngcc_N,14.62
MID,ngcc_Nccs,30.25
MID,ngtb_N,6.7
MID,nuc_N,88.75
MID,bio_N,100.5
MID,lfg_N_hi,373.76
MID,lfg_N_lo,373.76
MID,lfg_N_vl,373.76
MID,fc_N,5.778270638
MID,slrPV_N,16.7
MID,slrCSP_N,64
MID,wnd_Nonsh_3,28.07
MID,wnd_Nonsh_4,28.07
MID,wnd_Nonsh_5,28.07
MID,wnd_Nonsh_6,28.07
MID,wnd_Nonsh_7,28.07
MID,wnd_Nshal_3,53.33
MID,wnd_Nshal_4,53.33
MID,wnd_Nshal_5,53.33
MID,wnd_Nshal_6,53.33
MID,wnd_Nshal_7,53.33
MID,wnd_Ndeep_3,53.33
MID,wnd_Ndeep_4,53.33
MID,wnd_Ndeep_5,53.33
MID,wnd_Ndeep_6,53.33
MID,wnd_Ndeep_7,53.33
ENC,col_N,48.9
ENC,col_Nccs,63.21
ENC,ngcc_N,14.62
ENC,ngcc_Nccs,30.25
ENC,ngtb_N,6.7
ENC,nuc_N,88.75
ENC,bio_N,100.5
ENC,lfg_N_hi,373.76
ENC,lfg_N_lo,373.76
ENC,lfg_N_vl,373.76
ENC,fc_N,5.778270638
ENC,slrPV_N,16.7
ENC,slrCSP_N,64
ENC,wnd_Nonsh_3,28.07
ENC,wnd_Nonsh_4,28.07
ENC,wnd_Nonsh_5,28.07
ENC,wnd_Nonsh_6,28.07
ENC,wnd_Nonsh_7,28.07
ENC,wnd_Nshal_3,53.33
ENC,wnd_Nshal_4,53.33
ENC,wnd_Nshal_5,53.33
ENC,wnd_Nshal_6,53.33
ENC,wnd_Nshal_7,53.33
ENC,wnd_Ndeep_3,53.33
ENC,wnd_Ndeep_4,53.33
ENC,wnd_Ndeep_5,53.33
ENC,wnd_Ndeep_6,53.33
ENC,wnd_Ndeep_7,53.33
WNC,col_N,48.9
WNC,col_Nccs,63.21
WNC,ngcc_N,14.62
WNC,ngcc_Nccs,30.25
WNC,ngtb_N,6.7
WNC,nuc_N,88.75
WNC,bio_N,100.5
WNC,lfg_N_hi,373.76
WNC,lfg_N_lo,373.76
WNC,lfg_N_vl,373.76
WNC,fc_N,5.778270638
WNC,geo_N_1,185.1
WNC,slrPV_N,16.7
WNC,slrCSP_N,64
WNC,wnd_Nonsh_3,28.07
WNC,wnd_Nonsh_4,28.07
WNC,wnd_Nonsh_5,28.07
WNC,wnd_Nonsh_6,28.07
WNC,wnd_Nonsh_7,28.07
WNC,wnd_Nshal_3,53.33
WNC,wnd_Nshal_4,53.33
WNC,wnd_Nshal_5,53.33
WNC,wnd_Nshal_6,53.33
WNC,wnd_Nshal_7,53.33
WNC,wnd_Ndeep_3,53.33
WNC,wnd_Ndeep_4,53.33
WNC,wnd_Ndeep_5,53.33
WNC,wnd_Ndeep_6,53.33
WNC,wnd_Ndeep_7,53.33
FL,col_N,48.9
FL,col_Nccs,63.21
FL,ngcc_N,14.62
