region,plant_type_full,Value
Northeast,col_N,48.9
Northeast,col_Nccs,63.21
Northeast,ngcc_N,14.62
Northeast,ngcc_Nccs,30.25
Northeast,ngtb_N,6.7
Northeast,nuc_N,88.75
Northeast,bio_N,100.5
Northeast,lfg_N_hi,373.76
Northeast,lfg_N_lo,373.76
Northeast,lfg_N_vl,373.76
Northeast,fc_N,5.778270638
Northeast,geo_N_1,184.4862849
Northeast,geo_N_2,201.3010158
Northeast,geo_N_3,190.1319539
Northeast,geo_N_4,182.3126614
Northeast,geo_N_5,181.770855
Northeast,geo_N_6,185.1
Northeast,geo_N_7,183
Northeast,geo_N_8,218.8
Northeast,geo_N_9,185.1
Northeast,geo_N_10,185.1
Northeast,slrPV_N,16.7
Northeast,slrCSP_N,64
Northeast,wnd_Nonsh_3,28.07
Northeast,wnd_Nonsh_4,28.07
Northeast,wnd_Nonsh_5,28.07
Northeast,wnd_Nonsh_6,28.07
Northeast,wnd_Nonsh_7,28.07
Northeast,wnd_Nshal_3,53.33
Northeast,wnd_Nshal_4,53.33
Northeast,wnd_Nshal_5,53.33
Northeast,wnd_Nshal_6,53.33
Northeast,wnd_Nshal_7,53.33
Northeast,wnd_Ndeep_3,53.33
Northeast,wnd_Ndeep_4,53.33
Northeast,wnd_Ndeep_5,53.33
Northeast,wnd_Ndeep_6,53.33
Northeast,wnd_Ndeep_7,53.33
West,col_N,48.9
West,col_Nccs,63.21
West,ngcc_N,14.62
West,ngcc_Nccs,30.25
West,ngtb_N,6.7
West,nuc_N,88.75
West,bio_N,100.5
West,lfg_N_hi,373.76
West,lfg_N_lo,373.76
West,lfg_N_vl,373.76
West,fc_N,5.778270638
West,geo_N_1,184.4862849
West,geo_N_2,201.3010158
West,geo_N_3,190.1319539
West,geo_N_4,182.3126614
West,geo_N_5,181.770855
West,geo_N_6,185.1
West,geo_N_7,183
West,geo_N_8,218.8
West,geo_N_9,185.1
West,geo_N_10,185.1
West,slrPV_N,16.7
West,slrCSP_N,64
West,wnd_Nonsh_3,28.07
West,wnd_Nonsh_4,28.07
West,wnd_Nonsh_5,28.07
West,wnd_Nonsh_6,28.07
West,wnd_Nonsh_7,28.07
West,wnd_Nshal_3,53.33
West,wnd_Nshal_4,53.33
West,wnd_Nshal_5,53.33
West,wnd_Nshal_6,53.33
West,wnd_Nshal_7,53.33
West,wnd_Ndeep_3,53.33
West,wnd_Ndeep_4,53.33
West,wnd_Ndeep_5,53.33
West,wnd_Ndeep_6,53.33
West,wnd_Ndeep_7,53.33
South,col_N,48.9
South,col_Nccs,63.21
South,ngcc_N,14.62
South,ngcc_Nccs,30.25
South,ngtb_N,6.7
South,nuc_N,88.75
South,bio_N,100.5
South,lfg_N_hi,373.76
South,lfg_N_lo,373.76
South,lfg_N_vl,373.76
South,fc_N,5.778270638
South,geo_N_1,184.4862849
South,geo_N_2,201.3010158
South,geo_N_3,190.1319539
South,geo_N_4,182.3126614
South,geo_N_5,181.770855
South,geo_N_6,185.1
South,geo_N_7,183
South,geo_N_8,218.8
South,geo_N_9,185.1
South,geo_N_10,185.1
South,slrPV_N,16.7
South,slrCSP_N,64
South,wnd_Nonsh_3,28.07
South,wnd_Nonsh_4,28.07
South,wnd_Nonsh_5,28.07
South,wnd_Nonsh_6,28.07
South,wnd_Nonsh_7,28.07
South,wnd_Nshal_3,53.33
South,wnd_Nshal_4,53.33
South,wnd_Nshal_5,53.33
South,wnd_Nshal_6,53.33
South,wnd_Nshal_7,53.33
South,wnd_Ndeep_3,53.33
South,wnd_Ndeep_4,53.33
South,wnd_Ndeep_5,53.33
South,wnd_Ndeep_6,53.33
South,wnd_Ndeep_7,53.33
Midwest,col_N,48.9
Midwest,col_Nccs,63.21
Midwest,ngcc_N,14.62
Midwest,ngcc_Nccs,30.25
Midwest,ngtb_N,6.7
Midwest,nuc_N,88.75
Midwest,bio_N,100.5
Midwest,lfg_N_hi,373.76
Midwest,lfg_N_lo,373.76
Midwest,lfg_N_vl,373.76
Midwest,fc_N,5.778270638
Midwest,geo_N_1,184.4862849
Midwest,geo_N_2,201.3010158
Midwest,geo_N_3,190.1319539
Midwest,geo_N_4,182.3126614
Midwest,geo_N_5,181.770855
Midwest,geo_N_6,185.1
Midwest,geo_N_7,183
Midwest,geo_N_8,218.8
Midwest,geo_N_9,185.1
Midwest,geo_N_10,185.1
Midwest,slrPV_N,16.7
Midwest,slrCSP_N,64
Midwest,wnd_Nonsh_3,28.07
Midwest,wnd_Nonsh_4,28.07
Midwest,wnd_Nonsh_5,28.07
Midwest,wnd_Nonsh_6,28.07
Midwest,wnd_Nonsh_7,28.07
Midwest,wnd_Nshal_3,53.33
Midwest,wnd_Nshal_4,53.33
Midwest,wnd_Nshal_5,53.33
Midwest,wnd_Nshal_6,53.33
Midwest,wnd_Nshal_7,53.33
Midwest,wnd_Ndeep_3,53.33
Midwest,wnd_Ndeep_4,53.33
Midwest,wnd_Ndeep_5,53.33
Midwest,wnd_Ndeep_6,53.33
Midwest,wnd_Ndeep_7,53.33
