region,fuel_type,year,Value,ratio
NEG,COL,2020,2.775013073,1
NEG,COL,2025,2.716827576,0.979032352
NEG,COL,2030,2.85708283,1.029574548
NEG,COL,2035,3.014034917,1.086133592
NEG,COL,2040,3.045273172,1.097390568
NEG,COL,2045,3.072925886,1.107355463
NEG,COL,2050,3.099294232,1.116857525
NEG,COL,2075,3.234568993,1.165604957
NEG,GAS,2020,6.806832678,1
NEG,GAS,2025,7.157869999,1.051571316
NEG,GAS,2030,8.190884573,1.203332734
NEG,GAS,2035,8.974836333,1.318504032
NEG,GAS,2040,9.4005712,1.381049255
NEG,GAS,2045,9.782659859,1.437182361
NEG,GAS,2050,10.15449416,1.491808986
NEG,GAS,2075,12.23671927,1.79771119
NEG,OIL,2020,21.53070001,1
NEG,OIL,2025,22.73249266,1.05581763
NEG,OIL,2030,24.22982518,1.125361701
NEG,OIL,2035,26.39950034,1.226132933
NEG,OIL,2040,27.51742813,1.278055433
NEG,OIL,2045,28.50805459,1.324065385
NEG,OIL,2050,29.46410829,1.368469593
NEG,OIL,2075,34.74736713,1.613852179
NEG,bio,2020,2.65,1
NEG,bio,2025,2.57,0.969811321
NEG,bio,2030,2.5,0.943396226
NEG,bio,2035,2.5,0.943396226
NEG,bio,2040,2.525910661,0.953173834
NEG,bio,2045,2.548847285,0.961829164
NEG,bio,2050,2.570718586,0.970082485
NEG,bio,2075,2.682922629,1.012423634
NEG,nuc,2020,0.76,1
NEG,nuc,2025,0.8,1.052631579
NEG,nuc,2030,0.84,1.105263158
NEG,nuc,2035,0.88,1.157894737
NEG,nuc,2040,0.889120553,1.169895464
NEG,nuc,2045,0.897194244,1.180518742
NEG,nuc,2050,0.904892942,1.190648608
NEG,nuc,2075,0.944388765,1.242616797
NY,COL,2020,2.377659758,1
NY,COL,2025,2.384429969,1.002847427
NY,COL,2030,2.465469566,1.036931192
NY,COL,2035,2.503519556,1.052934318
NY,COL,2040,2.529466695,1.063847208
NY,COL,2045,2.552435609,1.073507511
NY,COL,2050,2.574337701,1.082719129
NY,COL,2075,2.686699707,1.129976524
NY,GAS,2020,6.490726022,1
NY,GAS,2025,6.95834243,1.072043775
NY,GAS,2030,7.958670026,1.226160217
NY,GAS,2035,8.754182242,1.348721578
NY,GAS,2040,9.16945005,1.412700216
NY,GAS,2045,9.54214473,1.470119783
NY,GAS,2050,9.904837161,1.525998344
NY,GAS,2075,11.93586898,1.838911231
NY,OIL,2020,21.53070001,1
NY,OIL,2025,22.73249266,1.05581763
NY,OIL,2030,24.22982518,1.125361701
NY,OIL,2035,26.39950034,1.226132933
NY,OIL,2040,27.51742813,1.278055433
NY,OIL,2045,28.50805459,1.324065385
NY,OIL,2050,29.46410829,1.368469593
NY,OIL,2075,34.74736713,1.613852179
NY,bio,2020,2.65,1
NY,bio,2025,2.57,0.969811321
NY,bio,2030,2.5,0.943396226
NY,bio,2035,2.5,0.943396226
NY,bio,2040,2.525910661,0.953173834
NY,bio,2045,2.548847285,0.961829164
NY,bio,2050,2.570718586,0.970082485
NY,bio,2075,2.682922629,1.012423634
NY,nuc,2020,0.76,1
NY,nuc,2025,0.8,1.052631579
NY,nuc,2030,0.84,1.105263158
NY,nuc,2035,0.88,1.157894737
NY,nuc,2040,0.889120553,1.169895464
NY,nuc,2045,0.897194244,1.180518742
NY,nuc,2050,0.904892942,1.190648608
NY,nuc,2075,0.944388765,1.242616797
MID,COL,2020,2.377659758,1
MID,COL,2025,2.384429969,1.002847427
MID,COL,2030,2.465469566,1.036931192
MID,COL,2035,2.503519556,1.052934318
MID,COL,2040,2.528050726,1.063251678
MID,COL,2045,2.550205881,1.072569729
MID,COL,2050,2.571527733,1.081537308
MID,COL,2075,2.680841017,1.127512466
MID,GAS,2020,6.490726022,1
MID,GAS,2025,6.95834243,1.072043775
MID,GAS,2030,7.958670026,1.226160217
MID,GAS,2035,8.754182242,1.348721578
MID,GAS,2040,9.092164636,1.400793163
MID,GAS,2045,9.416882371,1.450821116
MID,GAS,2050,9.742598009,1.501002812
MID,GAS,2075,11.5481648,1.779179211
MID,OIL,2020,21.53070001,1
MID,OIL,2025,22.73249266,1.05581763
MID,OIL,2030,24.22982518,1.125361701
MID,OIL,2035,26.39950034,1.226132933
MID,OIL,2040,27.51742813,1.278055433
MID,OIL,2045,28.50805459,1.324065385
MID,OIL,2050,29.46410829,1.368469593
MID,OIL,2075,34.74736713,1.613852179
MID,bio,2020,2.65,1
MID,bio,2025,2.57,0.969811321
MID,bio,2030,2.5,0.943396226
MID,bio,2035,2.5,0.943396226
MID,bio,2040,2.524496683,0.952640258
MID,bio,2045,2.546620692,0.96098894
MID,bio,2050,2.567912568,0.969023611
MID,bio,2075,2.677072175,1.010215915
MID,nuc,2020,0.76,1
MID,nuc,2025,0.8,1.052631579
MID,nuc,2030,0.84,1.105263158
MID,nuc,2035,0.88,1.157894737
MID,nuc,2040,0.888622833,1.169240569
MID,nuc,2045,0.896410483,1.179487478
MID,nuc,2050,0.903905224,1.189348979
MID,nuc,2075,0.942329406,1.239907113
ENC,COL,2020,2.018587188,1
ENC,COL,2025,2.03456909,1.00791737
ENC,COL,2030,2.076103081,1.028493143
ENC,COL,2035,2.134544058,1.057444568
ENC,COL,2040,2.163403079,1.071741212
ENC,COL,2045,2.186869557,1.083366411
ENC,COL,2050,2.208317037,1.093991406
ENC,COL,2075,2.318751159,1.148700027
ENC,GAS,2020,6.043929147,1
ENC,GAS,2025,6.363744379,1.052915119
ENC,GAS,2030,7.325562535,1.212053013
ENC,GAS,2035,8.079959004,1.336871894
ENC,GAS,2040,8.472438769,1.401809744
ENC,GAS,2045,8.82217958,1.459676208
ENC,GAS,2050,9.161387739,1.51579999
ENC,GAS,2075,11.06338731,1.830495865
ENC,OIL,2020,21.53070001,1
ENC,OIL,2025,22.73249266,1.05581763
ENC,OIL,2030,24.22982518,1.125361701
ENC,OIL,2035,26.39950034,1.226132933
ENC,OIL,2040,27.51742813,1.278055433
ENC,OIL,2045,28.50805459,1.324065385
ENC,OIL,2050,29.46410829,1.368469593
ENC,OIL,2075,34.74736713,1.613852179
ENC,bio,2020,2.65,1
ENC,bio,2025,2.57,0.969811321
ENC,bio,2030,2.5,0.943396226
ENC,bio,2035,2.5,0.943396226
ENC,bio,2040,2.533799982,0.956150937
ENC,bio,2045,2.561284163,0.966522326
ENC,bio,2050,2.586403673,0.976001386
ENC,bio,2075,2.715745255,1.02480953
ENC,nuc,2020,0.76,1
ENC,nuc,2025,0.8,1.052631579
ENC,nuc,2030,0.84,1.105263158
ENC,nuc,2035,0.88,1.157894737
ENC,nuc,2040,0.891897594,1.173549465
ENC,nuc,2045,0.901572025,1.186278981
ENC,nuc,2050,0.910414093,1.19791328
ENC,nuc,2075,0.95594233,1.257818855
WNC,COL,2020,1.554668024,1
WNC,COL,2025,1.482265289,0.953428813
WNC,COL,2030,1.549322524,0.996561645
WNC,COL,2035,1.61432356,1.03837188
WNC,COL,2040,1.636149203,1.052410661
WNC,COL,2045,1.653896547,1.063826181
WNC,COL,2050,1.670116954,1.074259538
WNC,COL,2075,1.753636619,1.127981403
WNC,GAS,2020,6.279485533,1
WNC,GAS,2025,6.419000101,1.022217516
WNC,GAS,2030,7.504981381,1.195158639
WNC,GAS,2035,8.409255829,1.339163182
WNC,GAS,2040,8.817731014,1.404212331
WNC,GAS,2045,9.181725429,1.462177973
WNC,GAS,2050,9.534757937,1.518397946
WNC,GAS,2075,11.51427305,1.833633184
WNC,OIL,2020,21.53070001,1
WNC,OIL,2025,22.73249266,1.05581763
WNC,OIL,2030,24.22982518,1.125361701
WNC,OIL,2035,26.39950034,1.226132933
WNC,OIL,2040,27.51742813,1.278055433
WNC,OIL,2045,28.50805459,1.324065385
WNC,OIL,2050,29.46410829,1.368469593
WNC,OIL,2075,34.74736713,1.613852179
WNC,bio,2020,2.65,1
WNC,bio,2025,2.57,0.969811321
WNC,bio,2030,2.5,0.943396226
WNC,bio,2035,2.5,0.943396226
WNC,bio,2040,2.533799982,0.956150937
WNC,bio,2045,2.561284163,0.966522326
WNC,bio,2050,2.586403673,0.976001386
WNC,bio,2075,2.715745255,1.02480953
WNC,nuc,2020,0.76,1
WNC,nuc,2025,0.8,1.052631579
WNC,nuc,2030,0.84,1.105263158
WNC,nuc,2035,0.88,1.157894737
WNC,nuc,2040,0.891897594,1.173549465
WNC,nuc,2045,0.901572025,1.186278981
WNC,nuc,2050,0.910414093,1.19791328
WNC,nuc,2075,0.95594233,1.257818855
FL,COL,2020,2.558538341,1
FL,COL,2025,2.496409392,0.975717014
FL,COL,2030,2.504074812,0.97871303
FL,COL,2035,2.547563016,0.995710315
FL,COL,2040,2.572525754,1.005466955
FL,COL,2045,2.595070676,1.014278596
FL,COL,2050,2.616767635,1.022758812
FL,COL,2075,2.728004027,1.066235351
FL,GAS,2020,8.055017801,1
FL,GAS,2025,8.457963854,1.050024229
FL,GAS,2030,9.410022274,1.168218681
FL,GAS,2035,9.973645474,1.23819037
FL,GAS,2040,10.35870903,1.285994555
FL,GAS,2045,10.72866016,1.331922588
FL,GAS,2050,11.0997482,1.377991765
FL,GAS,2075,13.1568316,1.633370891
FL,OIL,2020,21.53070001,1
FL,OIL,2025,22.73249266,1.05581763
FL,OIL,2030,24.22982518,1.125361701
FL,OIL,2035,26.39950034,1.226132933
FL,OIL,2040,27.51742813,1.278055433
FL,OIL,2045,28.50805459,1.324065385
FL,OIL,2050,29.46410829,1.368469593
FL,OIL,2075,34.74736713,1.613852179
FL,bio,2020,2.65,1
FL,bio,2025,2.57,0.969811321
FL,bio,2030,2.5,0.943396226
FL,bio,2035,2.5,0.943396226
FL,bio,2040,2.524496683,0.952640258
FL,bio,2045,2.546620692,0.96098894
FL,bio,2050,2.567912568,0.969023611
FL,bio,2075,2.677072175,1.010215915
FL,nuc,2020,0.76,1
FL,nuc,2025,0.8,1.052631579
FL,nuc,2030,0.84,1.105263158
FL,nuc,2035,0.88,1.157894737
FL,nuc,2040,0.888622833,1.169240569
FL,nuc,2045,0.896410483,1.179487478
FL,nuc,2050,0.903905224,1.189348979
FL,nuc,2075,0.942329406,1.239907113
SAC,COL,2020,2.558538341,1
SAC,COL,2025,2.496409392,0.975717014
SAC,COL,2030,2.504074812,0.97871303
SAC,COL,2035,2.547563016,0.995710315
SAC,COL,2040,2.572525754,1.005466955
SAC,COL,2045,2.595070676,1.014278596
SAC,COL,2050,2.616767635,1.022758812
SAC,COL,2075,2.728004027,1.066235351
SAC,GAS,2020,8.055017801,1
SAC,GAS,2025,8.457963854,1.050024229
SAC,GAS,2030,9.410022274,1.168218681
SAC,GAS,2035,9.973645474,1.23819037
SAC,GAS,2040,10.35870903,1.285994555
SAC,GAS,2045,10.72866016,1.331922588
SAC,GAS,2050,11.0997482,1.377991765
SAC,GAS,2075,13.1568316,1.633370891
SAC,OIL,2020,21.53070001,1
SAC,OIL,2025,22.73249266,1.05581763
SAC,OIL,2030,24.22982518,1.125361701
SAC,OIL,2035,26.39950034,1.226132933
SAC,OIL,2040,27.51742813,1.278055433
SAC,OIL,2045,28.50805459,1.324065385
SAC,OIL,2050,29.46410829,1.368469593
SAC,OIL,2075,34.74736713,1.613852179
SAC,bio,2020,2.65,1
SAC,bio,2025,2.57,0.969811321
SAC,bio,2030,2.5,0.943396226
SAC,bio,2035,2.5,0.943396226
SAC,bio,2040,2.524496683,0.952640258
SAC,bio,2045,2.546620692,0.96098894
SAC,bio,2050,2.567912568,0.969023611
SAC,bio,2075,2.677072175,1.010215915
SAC,nuc,2020,0.76,1
SAC,nuc,2025,0.8,1.052631579
SAC,nuc,2030,0.84,1.105263158
SAC,nuc,2035,0.88,1.157894737
SAC,nuc,2040,0.888622833,1.169240569
SAC,nuc,2045,0.896410483,1.179487478
SAC,nuc,2050,0.903905224,1.189348979
SAC,nuc,2075,0.942329406,1.239907113
ESC,COL,2020,2.247866809,1
ESC,COL,2025,2.202427482,0.979785578
ESC,COL,2030,2.232378353,0.993109709
ESC,COL,2035,2.29429303,1.020653457
ESC,COL,2040,2.325321673,1.034457052
ESC,COL,2045,2.350550053,1.045680306
ESC,COL,2050,2.373606718,1.055937437
ESC,COL,2075,2.4923272,1.108752169
ESC,GAS,2020,6.282731567,1
ESC,GAS,2025,6.809284459,1.083809548
ESC,GAS,2030,7.865120166,1.251863156
ESC,GAS,2035,8.605680557,1.369735515
ESC,GAS,2040,9.020461132,1.435754661
ESC,GAS,2045,9.390933079,1.494721361
ESC,GAS,2050,9.750644614,1.551975365
ESC,GAS,2075,11.76674219,1.872870434
ESC,OIL,2020,21.53070001,1
ESC,OIL,2025,22.73249266,1.05581763
ESC,OIL,2030,24.22982518,1.125361701
ESC,OIL,2035,26.39950034,1.226132933
ESC,OIL,2040,27.51742813,1.278055433
ESC,OIL,2045,28.50805459,1.324065385
ESC,OIL,2050,29.46410829,1.368469593
ESC,OIL,2075,34.74736713,1.613852179
ESC,bio,2020,2.65,1
ESC,bio,2025,2.57,0.969811321
ESC,bio,2030,2.5,0.943396226
ESC,bio,2035,2.5,0.943396226
ESC,bio,2040,2.53381068,0.956154974
ESC,bio,2045,2.561301044,0.966528696
ESC,bio,2050,2.586424976,0.976009425
ESC,bio,2075,2.715789971,1.024826404
ESC,nuc,2020,0.76,1
ESC,nuc,2025,0.8,1.052631579
ESC,nuc,2030,0.84,1.105263158
ESC,nuc,2035,0.88,1.157894737
ESC,nuc,2040,0.89190136,1.17355442
ESC,nuc,2045,0.901577967,1.186286799
ESC,nuc,2050,0.910421592,1.197923147
ESC,nuc,2075,0.95595807,1.257839565
TX,COL,2020,1.759339183,1
TX,COL,2025,1.845886015,1.049192807
TX,COL,2030,1.926122087,1.094798607
TX,COL,2035,2.000690219,1.137182777
TX,COL,2040,2.027748098,1.152562347
TX,COL,2045,2.049747978,1.165066974
TX,COL,2050,2.06985406,1.176495175
TX,COL,2075,2.173381772,1.235339833
TX,GAS,2020,6.043929147,1
TX,GAS,2025,6.499046624,1.07530159
TX,GAS,2030,7.548274885,1.248901948
TX,GAS,2035,8.381711411,1.386798423
TX,GAS,2040,8.785697018,1.453639976
TX,GAS,2045,9.146527161,1.513341229
TX,GAS,2050,9.496876939,1.57130845
TX,GAS,2075,11.4605041,1.896200935
TX,OIL,2020,21.680533,1
TX,OIL,2025,22.77242626,1.050362842
TX,OIL,2030,24.22982518,1.117584387
TX,OIL,2035,26.39950034,1.217659194
TX,OIL,2040,27.51742813,1.269222862
TX,OIL,2045,28.50805459,1.314914841
TX,OIL,2050,29.46410829,1.359012174
TX,OIL,2075,34.74736713,1.602698934
TX,bio,2020,2.65,1
TX,bio,2025,2.57,0.969811321
TX,bio,2030,2.5,0.943396226
TX,bio,2035,2.5,0.943396226
TX,bio,2040,2.53381068,0.956154974
