region,fuel_type,year,Value,ratio
Northeast,COL,2020,2.377659758,1
Northeast,COL,2025,2.384429969,1.002847427
Northeast,COL,2030,2.465469566,1.036931192
Northeast,COL,2035,2.503519556,1.052934318
Northeast,COL,2040,2.528050726,1.063251678
Northeast,COL,2045,2.550205881,1.072569729
Northeast,COL,2050,2.571527733,1.081537308
Northeast,COL,2075,2.680841017,1.127512466
Northeast,GAS,2020,6.490726022,1
Northeast,GAS,2025,6.95834243,1.072043775
Northeast,GAS,2030,7.958670026,1.226160217
Northeast,GAS,2035,8.754182242,1.348721578
Northeast,GAS,2040,9.092164636,1.400793163
Northeast,GAS,2045,9.416882371,1.450821116
Northeast,GAS,2050,9.742598009,1.501002812
Northeast,GAS,2075,11.5481648,1.779179211
Northeast,OIL,2020,21.53070001,1
Northeast,OIL,2025,22.73249266,1.05581763
Northeast,OIL,2030,24.22982518,1.125361701
Northeast,OIL,2035,26.39950034,1.226132933
Northeast,OIL,2040,27.51742813,1.278055433
Northeast,OIL,2045,28.50805459,1.324065385
Northeast,OIL,2050,29.46410829,1.368469593
Northeast,OIL,2075,34.74736713,1.613852179
Northeast,bio,2020,2.65,1
Northeast,bio,2025,2.57,0.969811321
Northeast,bio,2030,2.5,0.943396226
Northeast,bio,2035,2.5,0.943396226
Northeast,bio,2040,2.524496683,0.952640258
Northeast,bio,2045,2.546620692,0.96098894
Northeast,bio,2050,2.567912568,0.969023611
Northeast,bio,2075,2.677072175,1.010215915
Northeast,nuc,2020,0.76,1
Northeast,nuc,2025,0.8,1.052631579
Northeast,nuc,2030,0.84,1.105263158
Northeast,nuc,2035,0.88,1.157894737
Northeast,nuc,2040,0.888622833,1.169240569
Northeast,nuc,2045,0.896410483,1.179487478
Northeast,nuc,2050,0.903905224,1.189348979
Northeast,nuc,2075,0.942329406,1.239907113
Midwest,COL,2020,2.018587188,1
Midwest,COL,2025,2.03456909,1.00791737
Midwest,COL,2030,2.076103081,1.028493143
Midwest,COL,2035,2.134544058,1.057444568
Midwest,COL,2040,2.163403079,1.071741212
Midwest,COL,2045,2.186869557,1.083366411
Midwest,COL,2050,2.208317037,1.093991406
Midwest,COL,2075,2.318751159,1.148700027
Midwest,GAS,2020,6.043929147,1
Midwest,GAS,2025,6.363744379,1.052915119
Midwest,GAS,2030,7.325562535,1.212053013
Midwest,GAS,2035,8.079959004,1.336871894
Midwest,GAS,2040,8.472438769,1.401809744
Midwest,GAS,2045,8.82217958,1.459676208
Midwest,GAS,2050,9.161387739,1.51579999
Midwest,GAS,2075,11.06338731,1.830495865
Midwest,OIL,2020,21.53070001,1
Midwest,OIL,2025,22.73249266,1.05581763
Midwest,OIL,2030,24.22982518,1.125361701
Midwest,OIL,2035,26.39950034,1.226132933
Midwest,OIL,2040,27.51742813,1.278055433
Midwest,OIL,2045,28.50805459,1.324065385
Midwest,OIL,2050,29.46410829,1.368469593
Midwest,OIL,2075,34.74736713,1.613852179
Midwest,bio,2020,2.65,1
Midwest,bio,2025,2.57,0.969811321
Midwest,bio,2030,2.5,0.943396226
Midwest,bio,2035,2.5,0.943396226
Midwest,bio,2040,2.533799982,0.956150937
Midwest,bio,2045,2.561284163,0.966522326
Midwest,bio,2050,2.586403673,0.976001386
Midwest,bio,2075,2.715745255,1.02480953
Midwest,nuc,2020,0.76,1
Midwest,nuc,2025,0.8,1.052631579
Midwest,nuc,2030,0.84,1.105263158
Midwest,nuc,2035,0.88,1.157894737
Midwest,nuc,2040,0.891897594,1.173549465
Midwest,nuc,2045,0.901572025,1.186278981
Midwest,nuc,2050,0.910414093,1.19791328
Midwest,nuc,2075,0.95594233,1.257818855
South,COL,2020,1.759339183,1
South,COL,2025,1.845886015,1.049192807
South,COL,2030,1.926122087,1.094798607
South,COL,2035,2.000690219,1.137182777
South,COL,2040,2.027748098,1.152562347
South,COL,2045,2.049747978,1.165066974
South,COL,2050,2.06985406,1.176495175
South,COL,2075,2.173381772,1.235339833
South,GAS,2020,6.043929147,1
South,GAS,2025,6.499046624,1.07530159
South,GAS,2030,7.548274885,1.248901948
South,GAS,2035,8.381711411,1.386798423
South,GAS,2040,8.785697018,1.453639976
South,GAS,2045,9.146527161,1.513341229
South,GAS,2050,9.496876939,1.57130845
South,GAS,2075,11.4605041,1.896200935
South,OIL,2020,21.680533,1
South,OIL,2025,22.77242626,1.050362842
South,OIL,2030,24.22982518,1.117584387
South,OIL,2035,26.39950034,1.217659194
South,OIL,2040,27.51742813,1.269222862
South,OIL,2045,28.50805459,1.314914841
South,OIL,2050,29.46410829,1.359012174
South,OIL,2075,34.74736713,1.602698934
South,bio,2020,2.65,1
South,bio,2025,2.57,0.969811321
South,bio,2030,2.5,0.943396226
South,bio,2035,2.5,0.943396226
South,bio,2040,2.53381068,0.956154974
South,bio,2045,2.561301044,0.966528696
South,bio,2050,2.586424976,0.976009425
South,bio,2075,2.715789971,1.024826404
South,nuc,2020,0.76,1
South,nuc,2025,0.8,1.052631579
South,nuc,2030,0.84,1.105263158
South,nuc,2035,0.88,1.157894737
South,nuc,2040,0.89190136,1.17355442
South,nuc,2045,0.901577967,1.186286799
South,nuc,2050,0.910421592,1.197923147
South,nuc,2075,0.95595807,1.257839565
West,COL,2020,2.195296714,1
West,COL,2025,2.200834854,1.00252273
West,COL,2030,2.253487362,1.026506963
West,COL,2035,2.325156623,1.059153694
West,COL,2040,2.324040501,1.058645278
West,COL,2045,2.331001891,1.061816326
West,COL,2050,2.341145742,1.066437046
West,COL,2075,2.392530999,1.089844021
West,GAS,2020,6.646899308,1
West,GAS,2025,6.541113207,0.984084895
West,GAS,2030,7.56600909,1.138276471
West,GAS,2035,8.465265628,1.2735661
West,GAS,2040,8.87646146,1.335428904
West,GAS,2045,9.242880258,1.390555179
West,GAS,2050,9.598264137,1.444021294
West,GAS,2075,11.5909638,1.743815163
West,OIL,2020,25.90192793,1
West,OIL,2025,26.75852068,1.033070618
West,OIL,2030,28.20899945,1.08906949
West,OIL,2035,29.66839201,1.1454125
West,OIL,2040,30.581176,1.180652501
West,OIL,2045,31.48412976,1.215512986
West,OIL,2050,32.398551,1.250816198
West,OIL,2075,37.38479941,1.443321112
West,bio,2020,2.65,1
West,bio,2025,2.57,0.969811321
West,bio,2030,2.5,0.943396226
West,bio,2035,2.5,0.943396226
West,bio,2040,2.498799949,0.942943377
West,bio,2045,2.506284811,0.945767853
West,bio,2050,2.517191443,0.949883563
West,bio,2075,2.572440685,0.970732334
West,nuc,2020,0.76,1
West,nuc,2025,0.8,1.052631579
West,nuc,2030,0.84,1.105263158
West,nuc,2035,0.88,1.157894737
West,nuc,2040,0.879577582,1.157338924
West,nuc,2045,0.882212253,1.160805597
West,nuc,2050,0.886051388,1.165857089
West,nuc,2075,0.905499121,1.191446212
