month,gas_price,,
12/1/2023,3.273959251,,
11/1/2023,3.384537736,,
10/1/2023,2.926925881,,
9/1/2023,2.856200446,,
8/1/2023,2.918252283,,
7/1/2023,2.969155601,,
6/1/2023,2.57692347,,
5/1/2023,2.537275874,,
4/1/2023,2.692627312,,
3/1/2023,3.34943672,,
2/1/2023,4.38998811,,
1/1/2023,7.068401791,,
12/1/2022,8.920606078,,
11/1/2022,5.708623094,,
10/1/2022,5.801681248,,
9/1/2022,8.145976989,,
8/1/2022,9.003678167,,
7/1/2022,7.525120456,,
6/1/2022,8.010959841,,
5/1/2022,7.565802229,,
4/1/2022,6.211215212,,
3/1/2022,5.099995025,,
2/1/2022,5.9972805,,
1/1/2022,6.561568571,,
12/1/2021,5.641102953,,
11/1/2021,5.766694091,,
10/1/2021,5.694324555,,
9/1/2021,5.039108899,,
8/1/2021,4.421456162,,
7/1/2021,4.075946054,,
6/1/2021,3.5273612,,
5/1/2021,3.264918795,,
4/1/2021,3.060975184,,
3/1/2021,3.289848797,,
2/1/2021,17.11693783,,
1/1/2021,3.197761146,,
12/1/2020,3.168825087,,
11/1/2020,2.994628099,,
10/1/2020,2.496888201,,
9/1/2020,2.420130087,,
8/1/2020,2.410546432,,
7/1/2020,2.058445191,,
6/1/2020,2.025468783,,
5/1/2020,2.171915573,,
4/1/2020,2.100172573,,
3/1/2020,2.139949897,,
2/1/2020,2.395747385,,
1/1/2020,2.61892086,,
12/1/2019,2.906921173,,
11/1/2019,2.959602869,,
10/1/2019,2.49135533,,
9/1/2019,2.592833375,,
8/1/2019,2.414308197,,
7/1/2019,2.540543905,,
6/1/2019,2.580755418,,
5/1/2019,2.763982375,,
4/1/2019,2.886086378,,
3/1/2019,3.456953274,,
2/1/2019,3.625116767,,
1/1/2019,3.996876622,,
12/1/2018,4.723818079,,
11/1/2018,4.17553456,,
10/1/2018,3.434089518,,
9/1/2018,3.118847812,,
8/1/2018,3.273979604,,
7/1/2018,3.231377636,,
6/1/2018,3.125379242,,
5/1/2018,3.055305077,,
4/1/2018,3.136479485,,
3/1/2018,3.180303628,,
2/1/2018,3.609308987,,
1/1/2018,5.056639374,,
12/1/2017,3.629151563,,
11/1/2017,3.346754793,,
10/1/2017,3.1327999,,
9/1/2017,3.158054817,,
8/1/2017,3.12924713,,
7/1/2017,3.210795431,,
6/1/2017,3.287159204,,
5/1/2017,3.478922814,,
4/1/2017,3.375764865,,
3/1/2017,3.349447469,,
2/1/2017,3.555161991,,
1/1/2017,4.112504687,,
12/1/2016,3.961865622,,
11/1/2016,3.016438927,,
10/1/2016,3.12521255,,
9/1/2016,3.072223318,,
8/1/2016,2.95495982,,
7/1/2016,2.969235549,,
6/1/2016,2.668153938,,
5/1/2016,2.39271322,,
4/1/2016,2.419871366,,
3/1/2016,2.230601579,,
2/1/2016,2.700972698,,
1/1/2016,3.024347275,,
12/1/2015,2.591960189,,
11/1/2015,2.649806038,,
10/1/2015,2.916657561,,
9/1/2015,3.064376557,,
8/1/2015,3.113235182,,
7/1/2015,3.114705374,,
6/1/2015,3.121956835,,
5/1/2015,3.143015514,,
4/1/2015,3.102982226,,
3/1/2015,3.546478311,,
2/1/2015,4.696279205,,
1/1/2015,4.106013422,,
12/1/2014,4.356810541,,
11/1/2014,4.481147638,,
10/1/2014,4.09992011,,
9/1/2014,4.201236882,,
8/1/2014,4.118221815,,
7/1/2014,4.434277517,,
6/1/2014,4.838176011,,
5/1/2014,4.93045284,,
4/1/2014,5.069347113,,
3/1/2014,6.000829428,,
2/1/2014,7.398564604,,
1/1/2014,7.019292716,,
12/1/2013,4.91089996,,
11/1/2013,4.193072615,,
10/1/2013,4.108976527,,
9/1/2013,4.082357375,,
8/1/2013,3.908296281,,
7/1/2013,4.196354087,,
6/1/2013,4.423208877,,
5/1/2013,4.623914198,,
4/1/2013,4.67004801,,
3/1/2013,4.295442483,,
2/1/2013,4.392755192,,
1/1/2013,4.380507315,,
12/1/2012,4.211211061,,
11/1/2012,4.253673937,,
10/1/2012,3.844638332,,
9/1/2012,3.410478311,,
8/1/2012,3.499849306,,
7/1/2012,3.429148717,,
6/1/2012,3.105731001,,
5/1/2012,2.935767182,,
4/1/2012,2.711820619,,
3/1/2012,2.986196547,,
2/1/2012,3.343385253,,
1/1/2012,3.691410561,,
12/1/2011,4.037126518,,
11/1/2011,4.103948102,,
10/1/2011,4.333655981,,
9/1/2011,4.557042753,,
8/1/2011,4.725217746,,
7/1/2011,4.975693525,,
6/1/2011,5.041581919,,
5/1/2011,4.885532319,,
4/1/2011,4.860024148,,
3/1/2011,4.635711757,,
2/1/2011,5.086079654,,
1/1/2011,5.385169117,,
