region,plant_type_full,year,Value
NEG,col_N,2010,8700
NEG,col_N,2015,8700
NEG,col_N,2020,8373.687963
NEG,col_N,2025,8047.375927
NEG,col_N,2030,7721.06389
NEG,col_N,2035,7394.751854
NEG,col_N,2040,7394.751854
NEG,col_N,2045,7394.751854
NEG,col_N,2050,7394.751854
NEG,col_N,2075,7394.751854
NEG,col_Nccs,2010,12000
NEG,col_Nccs,2015,12000
NEG,col_Nccs,2020,11311.56665
NEG,col_Nccs,2025,10623.13329
NEG,col_Nccs,2030,9934.699935
NEG,col_Nccs,2035,9246.26658
NEG,col_Nccs,2040,9246.26658
NEG,col_Nccs,2045,9246.26658
NEG,col_Nccs,2050,9246.26658
NEG,col_Nccs,2075,9246.26658
NEG,ngcc_N,2010,6430
NEG,ngcc_N,2015,6430
NEG,ngcc_N,2020,6330.245483
NEG,ngcc_N,2025,6230.490966
NEG,ngcc_N,2030,6130.736448
NEG,ngcc_N,2035,6030.981931
NEG,ngcc_N,2040,6030.981931
NEG,ngcc_N,2045,6030.981931
NEG,ngcc_N,2050,6030.981931
NEG,ngcc_N,2075,6030.981931
NEG,ngcc_Nccs,2010,7525
NEG,ngcc_Nccs,2015,7525
NEG,ngcc_Nccs,2020,7280.36979
NEG,ngcc_Nccs,2025,7035.73958
NEG,ngcc_Nccs,2030,6791.10937
NEG,ngcc_Nccs,2035,6546.479159
NEG,ngcc_Nccs,2040,6546.479159
NEG,ngcc_Nccs,2045,6546.479159
NEG,ngcc_Nccs,2050,6546.479159
NEG,ngcc_Nccs,2075,6546.479159
NEG,ngtb_N,2010,9750
NEG,ngtb_N,2015,9750
NEG,ngtb_N,2020,9556.081117
NEG,ngtb_N,2025,9362.162235
NEG,ngtb_N,2030,9168.243352
NEG,ngtb_N,2035,8974.32447
NEG,ngtb_N,2040,8974.32447
NEG,ngtb_N,2045,8974.32447
NEG,ngtb_N,2050,8974.32447
NEG,ngtb_N,2075,8974.32447
NEG,nuc_N,2010,10488
NEG,nuc_N,2015,10488
NEG,nuc_N,2020,10488
NEG,nuc_N,2025,10488
NEG,nuc_N,2030,10488
NEG,nuc_N,2035,10488
NEG,nuc_N,2040,10488
NEG,nuc_N,2045,10488
NEG,nuc_N,2050,10488
NEG,nuc_N,2075,10488
NEG,bio_N,2010,13500
NEG,bio_N,2015,13500
NEG,bio_N,2020,12897.92085
NEG,bio_N,2025,12295.84171
NEG,bio_N,2030,11693.76256
NEG,bio_N,2035,11091.68342
NEG,bio_N,2040,11091.68342
NEG,bio_N,2045,11091.68342
NEG,bio_N,2050,11091.68342
NEG,bio_N,2075,11091.68342
NEG,lfg_N_hi,2010,18000
NEG,lfg_N_hi,2015,18000
NEG,lfg_N_hi,2020,18000
NEG,lfg_N_hi,2025,18000
NEG,lfg_N_hi,2030,18000
NEG,lfg_N_hi,2035,18000
NEG,lfg_N_hi,2040,18000
NEG,lfg_N_hi,2045,18000
NEG,lfg_N_hi,2050,18000
NEG,lfg_N_hi,2075,18000
NEG,lfg_N_lo,2010,18000
NEG,lfg_N_lo,2015,18000
NEG,lfg_N_lo,2020,18000
NEG,lfg_N_lo,2025,18000
NEG,lfg_N_lo,2030,18000
NEG,lfg_N_lo,2035,18000
NEG,lfg_N_lo,2040,18000
NEG,lfg_N_lo,2045,18000
NEG,lfg_N_lo,2050,18000
NEG,lfg_N_lo,2075,18000
NEG,lfg_N_vl,2010,18000
NEG,lfg_N_vl,2015,18000
NEG,lfg_N_vl,2020,18000
NEG,lfg_N_vl,2025,18000
NEG,lfg_N_vl,2030,18000
NEG,lfg_N_vl,2035,18000
NEG,lfg_N_vl,2040,18000
NEG,lfg_N_vl,2045,18000
