region,fuel_type,year,Value_old
NEG,COL,2010,3.233253995
NEG,COL,2015,3.057071911
NEG,COL,2020,2.775013073
NEG,COL,2025,2.716827576
NEG,COL,2030,2.85708283
NEG,COL,2035,3.014034917
NEG,COL,2040,3.045273172
NEG,COL,2045,3.072925886
NEG,COL,2050,3.099294232
NEG,COL,2075,3.234568993
NEG,GAS,2010,5.866983715
NEG,GAS,2015,6.726829422
NEG,GAS,2020,6.806832678
NEG,GAS,2025,7.157869999
NEG,GAS,2030,8.190884573
NEG,GAS,2035,8.974836333
NEG,GAS,2040,9.4005712
NEG,GAS,2045,9.782659859
NEG,GAS,2050,10.15449416
NEG,GAS,2075,12.23671927
NEG,OIL,2010,14.62835692
NEG,OIL,2015,18.66406632
NEG,OIL,2020,21.53070001
NEG,OIL,2025,22.73249266
NEG,OIL,2030,24.22982518
NEG,OIL,2035,26.39950034
NEG,OIL,2040,27.51742813
NEG,OIL,2045,28.50805459
NEG,OIL,2050,29.46410829
NEG,OIL,2075,34.74736713
NEG,bio,2010,2.25
NEG,bio,2015,2.42
NEG,bio,2020,2.65
NEG,bio,2025,2.57
NEG,bio,2030,2.5
NEG,bio,2035,2.5
NEG,bio,2040,2.525910661
NEG,bio,2045,2.548847285
NEG,bio,2050,2.570718586
NEG,bio,2075,2.682922629
NEG,nuc,2010,0.71
NEG,nuc,2015,0.75
NEG,nuc,2020,0.76
NEG,nuc,2025,0.8
NEG,nuc,2030,0.84
NEG,nuc,2035,0.88
NEG,nuc,2040,0.889120553
NEG,nuc,2045,0.897194244
NEG,nuc,2050,0.904892942
NEG,nuc,2075,0.944388765
NY,COL,2010,2.2968674
NY,COL,2015,2.480390404
NY,COL,2020,2.377659758
NY,COL,2025,2.384429969
NY,COL,2030,2.465469566
NY,COL,2035,2.503519556
NY,COL,2040,2.529466695
NY,COL,2045,2.552435609
NY,COL,2050,2.574337701
NY,COL,2075,2.686699707
NY,GAS,2010,5.182980138
NY,GAS,2015,6.397244152
NY,GAS,2020,6.490726022
NY,GAS,2025,6.95834243
NY,GAS,2030,7.958670026
NY,GAS,2035,8.754182242
NY,GAS,2040,9.16945005
NY,GAS,2045,9.54214473
NY,GAS,2050,9.904837161
NY,GAS,2075,11.93586898
NY,OIL,2010,14.62835692
NY,OIL,2015,18.66406632
NY,OIL,2020,21.53070001
NY,OIL,2025,22.73249266
NY,OIL,2030,24.22982518
NY,OIL,2035,26.39950034
NY,OIL,2040,27.51742813
NY,OIL,2045,28.50805459
NY,OIL,2050,29.46410829
NY,OIL,2075,34.74736713
NY,bio,2010,2.25
NY,bio,2015,2.42
NY,bio,2020,2.65
NY,bio,2025,2.57
NY,bio,2030,2.5
NY,bio,2035,2.5
NY,bio,2040,2.525910661
NY,bio,2045,2.548847285
NY,bio,2050,2.570718586
NY,bio,2075,2.682922629
NY,nuc,2010,0.71
NY,nuc,2015,0.75
NY,nuc,2020,0.76
NY,nuc,2025,0.8
NY,nuc,2030,0.84
NY,nuc,2035,0.88
NY,nuc,2040,0.889120553
NY,nuc,2045,0.897194244
NY,nuc,2050,0.904892942
NY,nuc,2075,0.944388765
MID,COL,2010,2.2968674
MID,COL,2015,2.480390404
MID,COL,2020,2.377659758
MID,COL,2025,2.384429969
MID,COL,2030,2.465469566
MID,COL,2035,2.503519556
MID,COL,2040,2.528050726
MID,COL,2045,2.550205881
MID,COL,2050,2.571527733
MID,COL,2075,2.680841017
MID,GAS,2010,5.182980138
MID,GAS,2015,6.397244152
MID,GAS,2020,6.490726022
MID,GAS,2025,6.95834243
MID,GAS,2030,7.958670026
MID,GAS,2035,8.754182242
MID,GAS,2040,9.092164636
MID,GAS,2045,9.416882371
MID,GAS,2050,9.742598009
MID,GAS,2075,11.5481648
MID,OIL,2010,14.62835692
MID,OIL,2015,18.66406632
MID,OIL,2020,21.53070001
MID,OIL,2025,22.73249266
MID,OIL,2030,24.22982518
MID,OIL,2035,26.39950034
MID,OIL,2040,27.51742813
MID,OIL,2045,28.50805459
MID,OIL,2050,29.46410829
MID,OIL,2075,34.74736713
MID,bio,2010,2.25
MID,bio,2015,2.42
MID,bio,2020,2.65
MID,bio,2025,2.57
MID,bio,2030,2.5
MID,bio,2035,2.5
MID,bio,2040,2.524496683
MID,bio,2045,2.546620692
MID,bio,2050,2.567912568
MID,bio,2075,2.677072175
MID,nuc,2010,0.71
