variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AL,1960,Billion Btu,57186,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1961,Billion Btu,64744,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1962,Billion Btu,71604,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1963,Billion Btu,77702,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1964,Billion Btu,82040,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1965,Billion Btu,82000,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1966,Billion Btu,85463,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1967,Billion Btu,85537,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1968,Billion Btu,96195,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1969,Billion Btu,106709,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1970,Billion Btu,111096,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1971,Billion Btu,113920,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1972,Billion Btu,121198,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1973,Billion Btu,124601,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1974,Billion Btu,127541,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1975,Billion Btu,122067,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1976,Billion Btu,125295,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1977,Billion Btu,128203,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1978,Billion Btu,127602,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1979,Billion Btu,129683,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1980,Billion Btu,127025,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1981,Billion Btu,145003,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1982,Billion Btu,145631,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1983,Billion Btu,149781,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1984,Billion Btu,134830,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1985,Billion Btu,141275,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1986,Billion Btu,144276,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1987,Billion Btu,147094,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1988,Billion Btu,155814,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1989,Billion Btu,169223,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1990,Billion Btu,170262,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1991,Billion Btu,166451,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1992,Billion Btu,162835,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1993,Billion Btu,165695,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1994,Billion Btu,171070,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1995,Billion Btu,173750,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1996,Billion Btu,188101,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1997,Billion Btu,225305,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1998,Billion Btu,231324,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,1999,Billion Btu,241315,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2000,Billion Btu,250773,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2001,Billion Btu,243613,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2002,Billion Btu,250226,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2003,Billion Btu,249280,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2004,Billion Btu,257993,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2005,Billion Btu,260757,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2006,Billion Btu,268294,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2007,Billion Btu,276430,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2008,Billion Btu,271267,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2009,Billion Btu,257060,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2010,Billion Btu,270504,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2011,Billion Btu,257067,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2012,Billion Btu,244919,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2013,Billion Btu,256750,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2014,Billion Btu,262497,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2015,Billion Btu,263457,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2016,Billion Btu,262883,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2017,Billion Btu,254444,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2018,Billion Btu,263742,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AL,2019,Billion Btu,257727,SEDS.TECCB.AL.A
Total Energy Consumption,Bbtu,AR,1960,Billion Btu,36006,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1961,Billion Btu,36795,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1962,Billion Btu,41057,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1963,Billion Btu,44315,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1964,Billion Btu,47870,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1965,Billion Btu,53889,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1966,Billion Btu,61254,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1967,Billion Btu,66520,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1968,Billion Btu,71836,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1969,Billion Btu,77209,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1970,Billion Btu,79483,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1971,Billion Btu,73241,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1972,Billion Btu,78970,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1973,Billion Btu,84394,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1974,Billion Btu,83434,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1975,Billion Btu,96949,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1976,Billion Btu,99555,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1977,Billion Btu,103542,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1978,Billion Btu,105090,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1979,Billion Btu,102805,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1980,Billion Btu,99302,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1981,Billion Btu,87735,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1982,Billion Btu,91650,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1983,Billion Btu,108323,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1984,Billion Btu,102874,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1985,Billion Btu,100622,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1986,Billion Btu,94257,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1987,Billion Btu,95914,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1988,Billion Btu,101167,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1989,Billion Btu,106051,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1990,Billion Btu,104135,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1991,Billion Btu,106170,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1992,Billion Btu,103300,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1993,Billion Btu,114602,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1994,Billion Btu,115114,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1995,Billion Btu,120359,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1996,Billion Btu,124375,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1997,Billion Btu,124654,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1998,Billion Btu,132291,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,1999,Billion Btu,134354,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2000,Billion Btu,146310,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2001,Billion Btu,150150,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2002,Billion Btu,151491,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2003,Billion Btu,153730,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2004,Billion Btu,153539,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2005,Billion Btu,163193,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2006,Billion Btu,158434,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2007,Billion Btu,162806,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2008,Billion Btu,166933,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2009,Billion Btu,164583,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2010,Billion Btu,174500,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2011,Billion Btu,174604,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2012,Billion Btu,170147,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2013,Billion Btu,176523,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2014,Billion Btu,182202,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2015,Billion Btu,179155,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2016,Billion Btu,175258,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2017,Billion Btu,173138,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2018,Billion Btu,184354,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AR,2019,Billion Btu,180162,SEDS.TECCB.AR.A
Total Energy Consumption,Bbtu,AZ,1960,Billion Btu,67122,SEDS.TECCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1961,Billion Btu,50833,SEDS.TECCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1962,Billion Btu,48940,SEDS.TECCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1963,Billion Btu,53383,SEDS.TECCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1964,Billion Btu,65190,SEDS.TECCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1965,Billion Btu,58323,SEDS.TECCB.AZ.A
Total Energy Consumption,Bbtu,AZ,1966,Billion Btu,59715,SEDS.TECCB.AZ.A
