variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AL,1960,Billion Btu,508500,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1961,Billion Btu,473290,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1962,Billion Btu,497504,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1963,Billion Btu,505064,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1964,Billion Btu,558585,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1965,Billion Btu,614582,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1966,Billion Btu,642039,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1967,Billion Btu,681691,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1968,Billion Btu,720272,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1969,Billion Btu,774557,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1970,Billion Btu,792298,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1971,Billion Btu,761641,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1972,Billion Btu,816426,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1973,Billion Btu,820388,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1974,Billion Btu,816867,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1975,Billion Btu,795894,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1976,Billion Btu,803954,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1977,Billion Btu,835065,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1978,Billion Btu,836049,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1979,Billion Btu,916739,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1980,Billion Btu,895556,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1981,Billion Btu,854608,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1982,Billion Btu,752596,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1983,Billion Btu,706991,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1984,Billion Btu,793320,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1985,Billion Btu,768192,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1986,Billion Btu,727345,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1987,Billion Btu,766314,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1988,Billion Btu,818320,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1989,Billion Btu,804679,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1990,Billion Btu,789692,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1991,Billion Btu,798639,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1992,Billion Btu,857406,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1993,Billion Btu,890373,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1994,Billion Btu,956647,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1995,Billion Btu,993667,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1996,Billion Btu,998737,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1997,Billion Btu,958015,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1998,Billion Btu,961836,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,1999,Billion Btu,989463,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,2000,Billion Btu,990428,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,2001,Billion Btu,849465,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,2002,Billion Btu,857704,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,2003,Billion Btu,877629,SEDS.TEICB.AL.A
Total Energy Consumption,Bbtu,AL,2004,Billion Btu,941966,SEDS.TEICB.AL.A
