variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AL,1960,Billion Btu,124894,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1961,Billion Btu,121253,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1962,Billion Btu,132329,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1963,Billion Btu,140993,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1964,Billion Btu,148042,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1965,Billion Btu,147307,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1966,Billion Btu,153849,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1967,Billion Btu,155314,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1968,Billion Btu,187648,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1969,Billion Btu,206246,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1970,Billion Btu,221615,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1971,Billion Btu,228132,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1972,Billion Btu,239588,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1973,Billion Btu,254674,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1974,Billion Btu,252523,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1975,Billion Btu,234043,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1976,Billion Btu,249401,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1977,Billion Btu,264632,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1978,Billion Btu,269292,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1979,Billion Btu,249304,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1980,Billion Btu,272413,SEDS.TERCB.AL.A
Total Energy Consumption,Bbtu,AL,1981,Billion Btu,262308,SEDS.TERCB.AL.A
