variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AL,1960,Billion Btu,866594,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1961,Billion Btu,831311,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1962,Billion Btu,881239,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1963,Billion Btu,913155,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1964,Billion Btu,979212,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1965,Billion Btu,1044616,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1966,Billion Btu,1088204,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1967,Billion Btu,1138573,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1968,Billion Btu,1246669,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1969,Billion Btu,1343138,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1970,Billion Btu,1393497,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1971,Billion Btu,1384940,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1972,Billion Btu,1478039,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1973,Billion Btu,1527209,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1974,Billion Btu,1547657,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1975,Billion Btu,1515130,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1976,Billion Btu,1551806,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1977,Billion Btu,1623443,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1978,Billion Btu,1638359,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1979,Billion Btu,1648767,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1980,Billion Btu,1644874,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1981,Billion Btu,1604035,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1982,Billion Btu,1499050,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1983,Billion Btu,1445946,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1984,Billion Btu,1544598,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1985,Billion Btu,1519675,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1986,Billion Btu,1504733,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1987,Billion Btu,1582639,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1988,Billion Btu,1651726,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1989,Billion Btu,1683173,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1990,Billion Btu,1659374,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1991,Billion Btu,1675029,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1992,Billion Btu,1742421,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1993,Billion Btu,1789235,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1994,Billion Btu,1879952,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1995,Billion Btu,1955073,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1996,Billion Btu,1984926,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1997,Billion Btu,1956297,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1998,Billion Btu,1997696,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,1999,Billion Btu,2040647,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2000,Billion Btu,2093922,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2001,Billion Btu,1898857,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2002,Billion Btu,1960152,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2003,Billion Btu,1952741,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2004,Billion Btu,2065880,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2005,Billion Btu,2065572,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2006,Billion Btu,2083658,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2007,Billion Btu,2086092,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2008,Billion Btu,2002980,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2009,Billion Btu,1800096,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2010,Billion Btu,1942185,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2011,Billion Btu,1916998,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2012,Billion Btu,1890831,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2013,Billion Btu,1931834,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2014,Billion Btu,1967800,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2015,Billion Btu,1917161,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2016,Billion Btu,1922705,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2017,Billion Btu,1904081,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2018,Billion Btu,1956298,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AL,2019,Billion Btu,1925708,SEDS.TETCB.AL.A
Total Energy Consumption,Bbtu,AR,1960,Billion Btu,425974,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1961,Billion Btu,431586,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1962,Billion Btu,456788,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1963,Billion Btu,484672,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1964,Billion Btu,527123,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1965,Billion Btu,528740,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1966,Billion Btu,566110,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1967,Billion Btu,596737,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1968,Billion Btu,635396,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1969,Billion Btu,681052,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1970,Billion Btu,708904,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1971,Billion Btu,700736,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1972,Billion Btu,744634,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1973,Billion Btu,820083,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1974,Billion Btu,798333,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1975,Billion Btu,785659,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1976,Billion Btu,840830,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1977,Billion Btu,886292,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1978,Billion Btu,887040,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1979,Billion Btu,872687,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1980,Billion Btu,859238,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1981,Billion Btu,821800,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1982,Billion Btu,792462,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1983,Billion Btu,796587,SEDS.TETCB.AR.A
Total Energy Consumption,Bbtu,AR,1984,Billion Btu,799005,SEDS.TETCB.AR.A
