variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AL,1960,Billion Btu,176015,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1961,Billion Btu,172023,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1962,Billion Btu,179802,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1963,Billion Btu,189395,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1964,Billion Btu,190545,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1965,Billion Btu,200727,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1966,Billion Btu,206854,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1967,Billion Btu,216031,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1968,Billion Btu,242554,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1969,Billion Btu,255625,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1970,Billion Btu,268489,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1971,Billion Btu,281247,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1972,Billion Btu,300827,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1973,Billion Btu,327548,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1974,Billion Btu,350726,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1975,Billion Btu,363127,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1976,Billion Btu,373155,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1977,Billion Btu,395543,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1978,Billion Btu,405416,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1979,Billion Btu,353042,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1980,Billion Btu,349881,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1981,Billion Btu,342116,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1982,Billion Btu,333176,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1983,Billion Btu,324451,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1984,Billion Btu,337698,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1985,Billion Btu,334813,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1986,Billion Btu,349194,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1987,Billion Btu,374883,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1988,Billion Btu,377985,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1989,Billion Btu,401324,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1990,Billion Btu,397799,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1991,Billion Btu,406124,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1992,Billion Btu,417482,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1993,Billion Btu,413632,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1994,Billion Btu,431784,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1995,Billion Btu,454692,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1996,Billion Btu,444370,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1997,Billion Btu,439699,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1998,Billion Btu,447984,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,1999,Billion Btu,453914,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2000,Billion Btu,472549,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2001,Billion Btu,445444,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2002,Billion Btu,472526,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2003,Billion Btu,458056,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2004,Billion Btu,493167,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2005,Billion Btu,489519,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2006,Billion Btu,496081,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2007,Billion Btu,499523,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2008,Billion Btu,467593,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2009,Billion Btu,459056,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2010,Billion Btu,478305,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2011,Billion Btu,478280,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2012,Billion Btu,472107,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2013,Billion Btu,466413,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2014,Billion Btu,465310,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2015,Billion Btu,480773,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2016,Billion Btu,504494,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2017,Billion Btu,498736,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2018,Billion Btu,488579,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AL,2019,Billion Btu,499933,SEDS.TEACB.AL.A
Total Energy Consumption,Bbtu,AR,1960,Billion Btu,104652,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1961,Billion Btu,114214,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1962,Billion Btu,116715,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1963,Billion Btu,123586,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1964,Billion Btu,130214,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1965,Billion Btu,129593,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1966,Billion Btu,136348,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1967,Billion Btu,139183,SEDS.TEACB.AR.A
Total Energy Consumption,Bbtu,AR,1968,Billion Btu,153822,SEDS.TEACB.AR.A
