variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,AL,1960,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1961,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1962,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1963,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1964,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1965,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1966,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1967,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1968,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1969,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1970,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1971,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1972,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1973,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1974,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1975,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1976,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1977,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1978,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1979,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1980,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1981,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1982,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1983,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1984,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1985,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1986,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1987,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1988,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1989,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1990,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1991,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1992,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1993,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1994,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1995,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1996,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1997,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1998,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,1999,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2000,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2001,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2002,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2003,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2004,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2005,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2006,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2007,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2008,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2009,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2010,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2011,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2012,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2013,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2014,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2015,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2016,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2017,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2018,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AL,2019,Billion Btu,0,SEDS.ELNIB.AL.A
Total Energy Consumption,Bbtu,AR,1960,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1961,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1962,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1963,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1964,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1965,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1966,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1967,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1968,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1969,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1970,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1971,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1972,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1973,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1974,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1975,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1976,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1977,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1978,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1979,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1980,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1981,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1982,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1983,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1984,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1985,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1986,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1987,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1988,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1989,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1990,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1991,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1992,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1993,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1994,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1995,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1996,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1997,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1998,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,1999,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2000,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2001,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2002,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2003,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2004,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2005,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2006,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2007,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2008,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2009,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2010,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2011,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2012,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2013,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2014,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2015,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2016,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2017,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2018,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AR,2019,Billion Btu,0,SEDS.ELNIB.AR.A
Total Energy Consumption,Bbtu,AZ,1960,Billion Btu,-51,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1961,Billion Btu,-49,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1962,Billion Btu,-70,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1963,Billion Btu,-78,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1964,Billion Btu,-87,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1965,Billion Btu,-97,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1966,Billion Btu,-104,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1967,Billion Btu,-116,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1968,Billion Btu,-129,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1969,Billion Btu,-150,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1970,Billion Btu,-175,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1971,Billion Btu,-207,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1972,Billion Btu,-452,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1973,Billion Btu,-321,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1974,Billion Btu,-75,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1975,Billion Btu,-47,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1976,Billion Btu,-68,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1977,Billion Btu,-55,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1978,Billion Btu,-122,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1979,Billion Btu,-135,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1980,Billion Btu,-138,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1981,Billion Btu,-36,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1982,Billion Btu,-23,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1983,Billion Btu,-4,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1984,Billion Btu,-4,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1985,Billion Btu,0,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1986,Billion Btu,-5,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1987,Billion Btu,-5,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1988,Billion Btu,-6,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1989,Billion Btu,-7,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1990,Billion Btu,-7,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1991,Billion Btu,363,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1992,Billion Btu,-7,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1993,Billion Btu,-8,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1994,Billion Btu,-8,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1995,Billion Btu,1146,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1996,Billion Btu,-9,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1997,Billion Btu,392,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1998,Billion Btu,14,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,1999,Billion Btu,0,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2000,Billion Btu,161,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2001,Billion Btu,188,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2002,Billion Btu,48,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2003,Billion Btu,-54,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2004,Billion Btu,265,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2005,Billion Btu,-271,SEDS.ELNIB.AZ.A
Total Energy Consumption,Bbtu,AZ,2006,Billion Btu,-622,SEDS.ELNIB.AZ.A
