region,plant_type_full,Value
South,col_N,6.87
South,col_Nccs,9.05
South,ngcc_N,3.11
South,ngcc_Nccs,6.45
South,ngtb_N,9.87
South,nuc_N,2.04
South,bio_N,5
South,lfg_N_hi,8.33
South,lfg_N_lo,8.33
South,lfg_N_vl,8.33
South,fc_N,48.99732548
South,geo_N_1,9.64
South,geo_N_2,9.64
South,geo_N_3,9.64
South,geo_N_4,9.64
South,geo_N_5,9.64
South,geo_N_6,9.64
South,geo_N_7,9.64
South,geo_N_8,9.64
South,geo_N_9,9.64
South,geo_N_10,9.64
Midwest,col_N,6.87
Midwest,col_Nccs,9.05
Midwest,ngcc_N,3.11
Midwest,ngcc_Nccs,6.45
Midwest,ngtb_N,9.87
Midwest,nuc_N,2.04
Midwest,bio_N,5
Midwest,lfg_N_hi,8.33
Midwest,lfg_N_lo,8.33
Midwest,lfg_N_vl,8.33
Midwest,fc_N,48.99732548
Midwest,geo_N_1,9.64
Midwest,geo_N_2,9.64
Midwest,geo_N_3,9.64
Midwest,geo_N_4,9.64
Midwest,geo_N_5,9.64
Midwest,geo_N_6,9.64
Midwest,geo_N_7,9.64
Midwest,geo_N_8,9.64
Midwest,geo_N_9,9.64
Midwest,geo_N_10,9.64
Northeast,col_N,6.87
Northeast,col_Nccs,9.05
Northeast,ngcc_N,3.11
Northeast,ngcc_Nccs,6.45
Northeast,ngtb_N,9.87
Northeast,nuc_N,2.04
Northeast,bio_N,5
Northeast,lfg_N_hi,8.33
Northeast,lfg_N_lo,8.33
Northeast,lfg_N_vl,8.33
Northeast,fc_N,48.99732548
Northeast,geo_N_1,9.64
Northeast,geo_N_2,9.64
Northeast,geo_N_3,9.64
Northeast,geo_N_4,9.64
Northeast,geo_N_5,9.64
Northeast,geo_N_6,9.64
Northeast,geo_N_7,9.64
Northeast,geo_N_8,9.64
Northeast,geo_N_9,9.64
Northeast,geo_N_10,9.64
West,col_N,6.87
West,col_Nccs,9.05
West,ngcc_N,3.11
West,ngcc_Nccs,6.45
West,ngtb_N,9.87
West,nuc_N,2.04
West,bio_N,5
West,lfg_N_hi,8.33
West,lfg_N_lo,8.33
West,lfg_N_vl,8.33
West,fc_N,48.99732548
West,geo_N_1,9.64
West,geo_N_2,9.64
West,geo_N_3,9.64
West,geo_N_4,9.64
West,geo_N_5,9.64
West,geo_N_6,9.64
West,geo_N_7,9.64
West,geo_N_8,9.64
West,geo_N_9,9.64
West,geo_N_10,9.64
