"state","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"AL","bio_X","existing","bio","yes",2020,3.3169751740297,5.85010985199079,19.4046691444,0.7135,244.268915099495,174.28587092349,193.69054006789,27.22135707
"AL","col_X1","existing","col","no",2020,24.0447778247252,7.2450515686919,174.205655297874,4.908,64.0392076181408,314.304430989835,488.510086287709,27.22135707
"AL","col_X2","existing","col","no",2020,8.589332729956,6.28267486792975,53.963984874781,3.3512,129.283736677489,433.2556583536,487.219643228381,27.22135707
"AL","col_X3","existing","col","no",2020,0.024883890997,3.23243831622624,0.0804356427155,0.048,130.329466927708,6.25581441253,6.3362500552455,27.22135707
"AL","hyd_X","existing","hyd","yes",2020,11.405216,0,0,3.3183,91.1814219339722,302.5673124035,302.5673124035,27.22135707
"AL","ngcc_X1","existing","ngcc","no",2020,49.661877043,2.26463169051272,112.465860561924,10.4003,12.7399173144977,132.49896204597,244.964822607894,27.22135707
"AL","ngtb_X1","existing","ngtb","no",2020,1.244494995,4.78188568000629,5.95103279543,1.4392,11.0474590676834,15.89950309021,21.85053588564,27.22135707
"AL","ngtb_X2","existing","ngtb","no",2020,0.259989,4.92921805449077,1.281542472769,0.2716,6.57315679447717,1.78526938538,3.066811858149,27.22135707
"AL","ngtb_X3","existing","ngtb","no",2020,0.090141,4.78638890300085,0.4314498821054,1.2254,13.3144350144035,16.31550866665,16.7469585487554,27.22135707
"AL","nuc_X","existing","nuc","yes",2020,43.656862,2.55696031428003,111.62886358,5.2704,131.239238501822,691.6832826,803.31214618,27.22135707
"AL","oth_X","existing","oth","no",2020,-5.6e-05,0,0,0.001,0,0,0,27.22135707
"AL","slr_X","existing","slr","yes",2020,0.384939,0,0,0.1969,20.6915295982732,4.0741621779,4.0741621779,27.22135707
"AR","bio_X","existing","bio","yes",2020,1.26381807396,5.32119012147697,6.7250162505,0.3125,217.41490802976,67.9421587593,74.6671750098,27.22135707
"AR","col_X1","existing","col","no",2020,8.305096738,9.50418756616667,78.933197153111,1.6235,63.1003062340992,102.44334717106,181.376544324171,28.2491401581368
"AR","col_X2","existing","col","no",2020,14.775689963,6.73083641704996,99.45275209,4.158,46.2914751587302,192.47995371,291.9327058,27.5633470363027
"AR","col_X3","existing","col","no",2020,0.177462,3.21158773827636,0.56993478321,0.8085,67.5760788423005,54.635259744,55.20519452721,27.22135707
"AR","hyd_X","existing","hyd","yes",2020,4.134698,0,0,1.3196,92.6869600591846,122.3097124941,122.3097124941,28.7426143508673
"AR","msw_X","existing","msw","no",2020,0.005067868,1.13268106138518,0.0057402781052,0.1565,12.506030954377,1.95719384436,1.9629341224652,27.22135707
"AR","ngcc_X1","existing","ngcc","no",2020,20.93302196109,2.22839038185871,46.64694480133,5.5884,12.6977857982947,70.96030615519,117.60725095652,27.22135707
"AR","ngtb_X1","existing","ngtb","no",2020,0.15210716,4.77941736641457,0.72698360206,0.3996,11.0474590687938,4.41456464389,5.14154824595,27.2279681122471
"AR","ngtb_X2","existing","ngtb","no",2020,0.277323,4.79192363551786,1.32891063837272,0.4366,11.2212699976409,4.89920648097,6.22811711934272,28.4171483911427
