state,biostep,year,Value
AL,1,2020,37.2950682
AL,2,2020,0.2716999
AL,3,2020,0.13045956
AL,4,2020,4.7387366
AL,5,2020,0.0002
AL,6,2020,0.0002
AL,7,2020,33.6158875
AL,8,2020,0.0002
AL,9,2020,0.0002
AL,10,2020,0.0002
AL,11,2020,0.185719165
AL,12,2020,0.0002
AL,13,2020,0.012167965
AL,14,2020,0.0002
AL,15,2020,0.74519619
AL,16,2020,0.964870126
AL,17,2020,4.609413265
AR,1,2020,31.4961478
AR,2,2020,0.0530711
AR,3,2020,0.0994308
AR,4,2020,11.9685306
AR,5,2020,0.0002
AR,6,2020,0.0002
AR,7,2020,26.5224141
AR,8,2020,0.0002
AR,9,2020,0.0002
AR,10,2020,0.0002
AR,11,2020,0.000579826
AR,12,2020,0.0002
AR,13,2020,0.0002
AR,14,2020,0.0002
AR,15,2020,0.010584629
AR,16,2020,0.0002
AR,17,2020,3.809330276
AZ,1,2020,3.4710247
AZ,2,2020,4.4202145
AZ,3,2020,0.32300996
AZ,4,2020,0.2294825
AZ,5,2020,0.0001
AZ,6,2020,7.4942582
AZ,7,2020,6.203197
AZ,8,2020,0.0001
AZ,9,2020,0.0001
AZ,10,2020,0.0001
AZ,11,2020,0.364873355
AZ,12,2020,0.0001
AZ,13,2020,0.0001
AZ,14,2020,2.38924E-05
AZ,15,2020,0.0001
AZ,16,2020,0.0001
AZ,17,2020,0.006856844
CA,1,2020,47.5291336
CA,2,2020,10.3645867
CA,3,2020,31.8369954
CA,4,2020,1.595197
CA,5,2020,0.0007
CA,6,2020,34.6808602
CA,7,2020,4.7662896
CA,8,2020,0.458289567
CA,9,2020,0.0007
CA,10,2020,0.000699284
CA,11,2020,0.0007
CA,12,2020,1.906973576
CA,13,2020,0.697241369
CA,14,2020,0.0007
CA,15,2020,0.025027549
CA,16,2020,10.65121125
CA,17,2020,0.014410815
CO,1,2020,4.6328191
CO,2,2020,0.5529095
CO,3,2020,0.07573244
CO,4,2020,11.8715376
CO,5,2020,0.0001
CO,6,2020,12.5241506
CO,7,2020,0.0001
CO,8,2020,8.3206344
CO,9,2020,0.022952482
CO,10,2020,0.0001
CO,11,2020,0.0001
CO,12,2020,0.0001
CO,13,2020,5.710914161
CO,14,2020,0.0001
CO,15,2020,0.0001
CO,16,2020,0.0001
CO,17,2020,11.34342613
CT,1,2020,4.5845943
CT,2,2020,0.9787518
CT,3,2020,0.04467428
CT,4,2020,0.0001
CT,5,2020,0.0001
CT,6,2020,0.0001
CT,7,2020,0.1520302
CT,8,2020,0.2001545
CT,9,2020,0.9487049
CT,10,2020,0.0001
CT,11,2020,0.0001
CT,12,2020,0.0001
CT,13,2020,0.0001
CT,14,2020,0.0001
CT,15,2020,0.006111278
CT,16,2020,0.0001
CT,17,2020,0.0001
DC,1,2020,0.6240858
DC,2,2020,0.1729234
DC,3,2020,0.0001
DC,4,2020,0.0001
DC,5,2020,0.0001
DC,6,2020,0.0001
DC,7,2020,0.0001
DC,8,2020,0.0001
DC,9,2020,0
DC,10,2020,0
DC,11,2020,0
DC,12,2020,0
DC,13,2020,0
DC,14,2020,0
DC,15,2020,0
DC,16,2020,0
DC,17,2020,0
DE,1,2020,1.0935951
DE,2,2020,0.2496702
DE,3,2020,0.00009212
DE,4,2020,0.0075309
DE,5,2020,0.0001
DE,6,2020,0.001429246
DE,7,2020,0.0466557
DE,8,2020,0.024451622
DE,9,2020,0.0956449
DE,10,2020,0.0001
DE,11,2020,0.0001
DE,12,2020,0.0001
DE,13,2020,0.0001
DE,14,2020,0.904291236
DE,15,2020,0.0001
DE,16,2020,1.026255858
DE,17,2020,0.0001
FL,1,2020,34.8915671
FL,2,2020,6.7286076
FL,3,2020,9.94258608
FL,4,2020,27.5659319
FL,5,2020,4.58194104
FL,6,2020,0.0002
FL,7,2020,22.7080425
FL,8,2020,0.0002
FL,9,2020,0.0002
FL,10,2020,17.10564524
FL,11,2020,0.037857844
FL,12,2020,0.0002
FL,13,2020,0.0002
FL,14,2020,0.0002
FL,15,2020,0.979917502
FL,16,2020,0.0002
FL,17,2020,7.064496607
GA,1,2020,38.4060183
GA,2,2020,8.1344874
GA,3,2020,0.814704
GA,4,2020,42.4694517
GA,5,2020,0.0003
GA,6,2020,0.005043067
GA,7,2020,23.991197
GA,8,2020,0.092442107
GA,9,2020,0.0003
GA,10,2020,0.0003
GA,11,2020,0.178644976
GA,12,2020,0.00034465
GA,13,2020,0.0003
GA,14,2020,0.0003
GA,15,2020,3.682455435
GA,16,2020,0.016562051
GA,17,2020,11.18178148
IA,1,2020,3.7815349
IA,2,2020,2.7686412
IA,3,2020,0.02004296
IA,4,2020,0.325746
IA,5,2020,0.6568561
IA,6,2020,0.0003
IA,7,2020,4.693167574
IA,8,2020,0.7470462
IA,9,2020,3.408862053
IA,10,2020,1.5249232
IA,11,2020,0.865154003
IA,12,2020,1.992406124
IA,13,2020,0.0003
IA,14,2020,0.697106395
IA,15,2020,0.0003
IA,16,2020,92.73321299
IA,17,2020,0.0003
ID,1,2020,2.6884858
ID,2,2020,0.0002
ID,3,2020,0.0704228
ID,4,2020,12.3166953
ID,5,2020,0.0002
ID,6,2020,11.637288
ID,7,2020,0.3783649
ID,8,2020,2.121554509
ID,9,2020,0.0002
ID,10,2020,0.0002
ID,11,2020,1.407887758
ID,12,2020,0.810356287
ID,13,2020,0.0002
ID,14,2020,0.2957096
ID,15,2020,0.850897337
ID,16,2020,0.074430001
ID,17,2020,0.0002
IL,1,2020,16.9796731
IL,2,2020,3.5055618
IL,3,2020,0.042289
IL,4,2020,0.0003
IL,5,2020,0.101171
IL,6,2020,0.0003
IL,7,2020,0.129242703
IL,8,2020,2.3143275
IL,9,2020,0.11754245
