"region","plant_type_full","year","Value"
"Midwest","bio_X",2020,1.6385
"Midwest","col_X1",2020,19.6497
"Midwest","col_X2",2020,67.5162
"Midwest","col_X3",2020,8.4224
"Midwest","hyd_X",2020,4.6291
"Midwest","msw_X",2020,0.9757
"Midwest","ngcc_X1",2020,33.5582
"Midwest","ngcc_X2",2020,0.8395
"Midwest","ngcc_X3",2020,0.0303
"Midwest","ngtb_X1",2020,13.5322
"Midwest","ngtb_X2",2020,22.6286
"Midwest","ngtb_X3",2020,18.6036
"Midwest","nuc_X",2020,25.4277
"Midwest","oth_X",2020,0.5451
"Midwest","slr_X",2020,3.8909
"Midwest","stog_X1",2020,0.031
"Midwest","stog_X2",2020,2.5482
"Midwest","wnd_X",2020,52.4107
"Northeast","bio_X",2020,1.2591
"Northeast","col_X1",2020,1.5389
"Northeast","col_X2",2020,18.544
"Northeast","col_X3",2020,13.3362
"Northeast","hyd_X",2020,7.4611
"Northeast","msw_X",2020,1.6511
"Northeast","ngcc_X1",2020,56.924
"Northeast","ngcc_X2",2020,0.469
"Northeast","ngcc_X3",2020,0.3399
"Northeast","ngtb_X1",2020,6.8705
"Northeast","ngtb_X2",2020,2.7851
"Northeast","ngtb_X3",2020,8.9023
"Northeast","nuc_X",2020,19.9662
"Northeast","oth_X",2020,0.7638
"Northeast","slr_X",2020,3.9457
"Northeast","stog_X1",2020,0.031
"Northeast","stog_X2",2020,4.9448
"Northeast","wnd_X",2020,5.2225
"South","bio_X",2020,7.7089
"South","col_X1",2020,29.474
"South","col_X2",2020,100.3951
"South","col_X3",2020,28.973
"South","hyd_X",2020,16.9351
"South","msw_X",2020,1.6405
"South","ngcc_X1",2020,160.3174
"South","ngcc_X2",2020,0.6033
"South","ngcc_X3",2020,0.1004
"South","ngtb_X1",2020,28.5276
"South","ngtb_X2",2020,30.8764
"South","ngtb_X3",2020,21.3064
"South","nuc_X",2020,46.8338
"South","oth_X",2020,1.7743
"South","slr_X",2020,28.0893
"South","stog_X1",2020,0.358
"South","stog_X2",2020,9.2379
"South","wnd_X",2020,45.8593
"West","bio_X",2020,1.4999
"West","col_X1",2020,4.1374
"West","col_X2",2020,26.0212
"West","col_X3",2020,6.8216
"West","geo_X",2020,3.748
"West","hyd_X",2020,50.3621
"West","msw_X",2020,0.196
"West","ngcc_X1",2020,57.3009
"West","ngcc_X2",2020,0.4756
"West","ngcc_X3",2020,0.0823
"West","ngtb_X1",2020,16.0904
"West","ngtb_X2",2020,8.3175
"West","ngtb_X3",2020,5.5518
"West","nuc_X",2020,7.7326
"West","oth_X",2020,2.6454
"West","slr_X",2020,26.0274
"West","stog_X1",2020,2.5939
"West","stog_X2",2020,1.7927
"West","wnd_X",2020,29.2913
"Midwest","stog_X3",2020,1e-06
"Midwest","lfg_X",2020,1e-06
"Northeast","stog_X3",2020,1e-06
"Northeast","lfg_X",2020,1e-06
"South","stog_X3",2020,1e-06
"South","lfg_X",2020,1e-06
"West","stog_X3",2020,1e-06
"West","lfg_X",2020,1e-06
