"state","year","Value"
"AL",2020,564.392731535756
"AR",2020,321.272274325909
"AZ",2020,455.968347010551
"CA",2020,2282.29044548652
"CO",2020,460.728604923798
"CT",2020,215.522274325909
"DC",2020,49.1389214536929
"DE",2020,87.5149472450176
"FL",2020,1281.23974208675
"GA",2020,866.365181711606
"IA",2020,478.96307151231
"ID",2020,165.8050996483
"IL",2020,1156.68347010551
"IN",2020,813.736811254396
"KS",2020,329.782532239156
"KY",2020,503.517291910903
"LA",2020,1259.7245017585
"MA",2020,428.943728018757
"MD",2020,397.036635404455
"ME",2020,112.601699882767
"MI",2020,843.751465416178
"MN",2020,556.063599062134
"MO",2020,528.813892145369
"MS",2020,319.358147713951
"MT",2020,130.662075029308
"NC",2020,778.473329425557
"ND",2020,196.146248534584
"NE",2020,264.478604923798
"NH",2020,93.6767291910903
"NJ",2020,614.742086752638
"NM",2020,216.429073856975
"NV",2020,228.30041031653
"NY",2020,1124.46951934349
"OH",2020,1065.12192262603
"OK",2020,493.661195779601
"OR",2020,301.074443141852
"PA",2020,1116.92291910903
"RI",2020,55.7517584994138
"SC",2020,479.442262602579
"SD",2020,118.183177022274
"TN",2020,634.716881594373
"TX",2020,4166.98446658851
"UT",2020,250.361078546307
"VA",2020,721.257620164127
"VT",2020,40.1104923798359
"WA",2020,609.197245017585
"WI",2020,541.158851113716
"WV",2020,242.533411488863
"WY",2020,158.51611957796
