region,plant_type,pollutant,Value
NEG,col_X1,CO2,92.4
NEG,col_X2,CO2,92.4
NEG,col_X3,CO2,92.4
NEG,col_X1bio,CO2,92.4
NEG,col_X2bio,CO2,92.4
NEG,col_X3bio,CO2,92.4
NEG,col_X1ccs,CO2,92.4
NEG,col_X2ccs,CO2,92.4
NEG,col_X3ccs,CO2,92.4
NEG,ngcc_X1,CO2,53.05666667
NEG,ngcc_X2,CO2,53.05666667
NEG,ngcc_X3,CO2,53.05666667
NEG,ngtb_X1,CO2,53.05666667
NEG,ngtb_X2,CO2,53.05666667
NEG,ngtb_X3,CO2,53.05666667
NEG,stog_X1,CO2,76.89
NEG,stog_X2,CO2,76.89
NEG,stog_X3,CO2,76.89
NEG,col_N,CO2,92.4
NEG,col_Nccs,CO2,9.24
NEG,ngcc_N,CO2,53.05666667
NEG,ngcc_Nccs,CO2,5.305666667
NEG,ngtb_N,CO2,53.05666667
NY,col_X1,CO2,92.4
NY,col_X2,CO2,92.4
NY,col_X3,CO2,92.4
NY,col_X1bio,CO2,92.4
NY,col_X2bio,CO2,92.4
NY,col_X3bio,CO2,92.4
NY,col_X1ccs,CO2,92.4
NY,col_X2ccs,CO2,92.4
NY,col_X3ccs,CO2,92.4
NY,ngcc_X1,CO2,53.05666667
NY,ngcc_X2,CO2,53.05666667
NY,ngcc_X3,CO2,53.05666667
NY,ngtb_X1,CO2,53.05666667
NY,ngtb_X2,CO2,53.05666667
NY,ngtb_X3,CO2,53.05666667
NY,stog_X1,CO2,76.89
NY,stog_X2,CO2,76.89
NY,stog_X3,CO2,76.89
NY,col_N,CO2,92.4
NY,col_Nccs,CO2,9.24
NY,ngcc_N,CO2,53.05666667
NY,ngcc_Nccs,CO2,5.305666667
NY,ngtb_N,CO2,53.05666667
MID,col_X1,CO2,92.4
MID,col_X2,CO2,92.4
MID,col_X3,CO2,92.4
MID,col_X1bio,CO2,92.4
MID,col_X2bio,CO2,92.4
MID,col_X3bio,CO2,92.4
MID,col_X1ccs,CO2,92.4
MID,col_X2ccs,CO2,92.4
MID,col_X3ccs,CO2,92.4
MID,ngcc_X1,CO2,53.05666667
MID,ngcc_X2,CO2,53.05666667
MID,ngcc_X3,CO2,53.05666667
MID,ngtb_X1,CO2,53.05666667
MID,ngtb_X2,CO2,53.05666667
MID,ngtb_X3,CO2,53.05666667
MID,stog_X1,CO2,76.89
MID,stog_X2,CO2,76.89
MID,stog_X3,CO2,76.89
