"state","plant_type","pollutant","Value"
"CT","col_X1","CO2",92.4
"MA","col_X1","CO2",92.4
"ME","col_X1","CO2",92.4
"NH","col_X1","CO2",92.4
"RI","col_X1","CO2",92.4
"VT","col_X1","CO2",92.4
"CT","col_X2","CO2",92.4
"MA","col_X2","CO2",92.4
"ME","col_X2","CO2",92.4
"NH","col_X2","CO2",92.4
"RI","col_X2","CO2",92.4
"VT","col_X2","CO2",92.4
"CT","col_X3","CO2",92.4
"MA","col_X3","CO2",92.4
"ME","col_X3","CO2",92.4
"NH","col_X3","CO2",92.4
"RI","col_X3","CO2",92.4
"VT","col_X3","CO2",92.4
"CT","col_X1bio","CO2",92.4
"MA","col_X1bio","CO2",92.4
"ME","col_X1bio","CO2",92.4
"NH","col_X1bio","CO2",92.4
"RI","col_X1bio","CO2",92.4
"VT","col_X1bio","CO2",92.4
"CT","col_X2bio","CO2",92.4
"MA","col_X2bio","CO2",92.4
"ME","col_X2bio","CO2",92.4
"NH","col_X2bio","CO2",92.4
"RI","col_X2bio","CO2",92.4
"VT","col_X2bio","CO2",92.4
"CT","col_X3bio","CO2",92.4
"MA","col_X3bio","CO2",92.4
"ME","col_X3bio","CO2",92.4
"NH","col_X3bio","CO2",92.4
"RI","col_X3bio","CO2",92.4
"VT","col_X3bio","CO2",92.4
"CT","col_X1ccs","CO2",92.4
"MA","col_X1ccs","CO2",92.4
"ME","col_X1ccs","CO2",92.4
"NH","col_X1ccs","CO2",92.4
"RI","col_X1ccs","CO2",92.4
"VT","col_X1ccs","CO2",92.4
"CT","col_X2ccs","CO2",92.4
"MA","col_X2ccs","CO2",92.4
"ME","col_X2ccs","CO2",92.4
"NH","col_X2ccs","CO2",92.4
"RI","col_X2ccs","CO2",92.4
"VT","col_X2ccs","CO2",92.4
"CT","col_X3ccs","CO2",92.4
"MA","col_X3ccs","CO2",92.4
"ME","col_X3ccs","CO2",92.4
"NH","col_X3ccs","CO2",92.4
"RI","col_X3ccs","CO2",92.4
"VT","col_X3ccs","CO2",92.4
"CT","ngcc_X1","CO2",53.05666667
"MA","ngcc_X1","CO2",53.05666667
