"region","plant_type_full","Value"
"Midwest","bio_X",183.810069527312
"Midwest","col_X1",61.5295347801444
"Midwest","col_X2",68.0309360690013
"Midwest","col_X3",63.8535372167127
"Midwest","hyd_X",92.7019605733218
"Midwest","msw_X",4.65969378088552
"Midwest","ngcc_X1",12.729548150307
"Midwest","ngcc_X2",12.572389071475
"Midwest","ngcc_X3",12.5723890712871
"Midwest","ngtb_X1",11.9762390671627
"Midwest","ngtb_X2",12.3437054712735
"Midwest","ngtb_X3",13.5873491477072
"Midwest","nuc_X",131.268985563382
"Midwest","oth_X",1.88207723166391
"Midwest","slr_X",20.6962195998201
"Midwest","stog_X1",0
"Midwest","stog_X2",0
"Midwest","wnd_X",47.6646123611916
"Northeast","bio_X",191.443549207855
"Northeast","col_X1",55.9042119422794
"Northeast","col_X2",73.5934599779038
"Northeast","col_X3",53.7963729328126
"Northeast","hyd_X",92.7079687438206
"Northeast","msw_X",11.2735591178293
"Northeast","ngcc_X1",12.9442254125166
"Northeast","ngcc_X2",12.5997843620469
"Northeast","ngcc_X3",12.6173566052368
"Northeast","ngtb_X1",12.5143095320328
"Northeast","ngtb_X2",12.6923594919773
"Northeast","ngtb_X3",12.3347094956503
"Northeast","nuc_X",131.268985557091
"Northeast","oth_X",8.45803681958628
"Northeast","slr_X",20.6962195998429
"Northeast","stog_X1",0
"Northeast","stog_X2",0
"Northeast","wnd_X",48.1113490206491
"South","bio_X",209.778550925927
"South","col_X1",62.5533723366041
"South","col_X2",60.6002534344925
"South","col_X3",57.9464708384313
"South","hyd_X",92.7079687386038
"South","msw_X",10.212870066943
"South","ngcc_X1",13.0280219697216
"South","ngcc_X2",18.7595966219605
"South","ngcc_X3",16.5043912314741
"South","ngtb_X1",12.5544566078626
"South","ngtb_X2",12.4277866520511
"South","ngtb_X3",15.0876192643666
"South","nuc_X",131.26898556171
"South","oth_X",9.10456177187961
"South","slr_X",22.3840727481781
"South","stog_X1",0
"South","stog_X2",0
"South","wnd_X",47.6849622769366
"West","bio_X",157.329848638643
"West","col_X1",78.6605443898966
"West","col_X2",61.8111545848675
"West","col_X3",38.5430513796499
"West","geo_X",166.596347383191
"West","hyd_X",92.5231495970518
"West","msw_X",25.0755311371122
"West","ngcc_X1",12.9154461591901
"West","ngcc_X2",13.0171849409167
"West","ngcc_X3",12.5723890765492
"West","ngtb_X1",11.5399430570565
"West","ngtb_X2",11.0025532754634
"West","ngtb_X3",12.3992566605711
"West","nuc_X",131.268985567597
"West","oth_X",0.715269985786648
"West","slr_X",22.9542816200005
"West","stog_X1",0
"West","stog_X2",0
"West","wnd_X",47.6646123617965
"Northeast","col_N",48.9
"Northeast","col_Nccs",63.21
"Northeast","ngcc_N",14.62
"Northeast","ngcc_Nccs",30.25
"Northeast","ngtb_N",6.7
"Northeast","nuc_N",88.75
"Northeast","bio_N",100.5
"Northeast","lfg_N_hi",373.76
"Northeast","lfg_N_lo",373.76
"Northeast","lfg_N_vl",373.76
"Northeast","fc_N",5.778270638
"Northeast","geo_N_1",184.4862849
"Northeast","geo_N_2",201.3010158
"Northeast","geo_N_3",190.1319539
"Northeast","geo_N_4",182.3126614
"Northeast","geo_N_5",181.770855
"Northeast","geo_N_6",185.1
"Northeast","geo_N_7",183
"Northeast","geo_N_8",218.8
"Northeast","geo_N_9",185.1
"Northeast","geo_N_10",185.1
"Northeast","slrPV_N",16.7
"Northeast","slrCSP_N",64
"Northeast","wnd_Nonsh_3",28.07
"Northeast","wnd_Nonsh_4",28.07
"Northeast","wnd_Nonsh_5",28.07
"Northeast","wnd_Nonsh_6",28.07
"Northeast","wnd_Nonsh_7",28.07
"Northeast","wnd_Nshal_3",53.33
"Northeast","wnd_Nshal_4",53.33
"Northeast","wnd_Nshal_5",53.33
"Northeast","wnd_Nshal_6",53.33
"Northeast","wnd_Nshal_7",53.33
"Northeast","wnd_Ndeep_3",53.33
"Northeast","wnd_Ndeep_4",53.33
"Northeast","wnd_Ndeep_5",53.33
"Northeast","wnd_Ndeep_6",53.33
"Northeast","wnd_Ndeep_7",53.33
"West","col_N",48.9
"West","col_Nccs",63.21
"West","ngcc_N",14.62
"West","ngcc_Nccs",30.25
"West","ngtb_N",6.7
"West","nuc_N",88.75
"West","bio_N",100.5
"West","lfg_N_hi",373.76
"West","lfg_N_lo",373.76
"West","lfg_N_vl",373.76
"West","fc_N",5.778270638
"West","geo_N_1",184.4862849
"West","geo_N_2",201.3010158
"West","geo_N_3",190.1319539
"West","geo_N_4",182.3126614
"West","geo_N_5",181.770855
"West","geo_N_6",185.1
"West","geo_N_7",183
"West","geo_N_8",218.8
"West","geo_N_9",185.1
"West","geo_N_10",185.1
"West","slrPV_N",16.7
"West","slrCSP_N",64
"West","wnd_Nonsh_3",28.07
"West","wnd_Nonsh_4",28.07
"West","wnd_Nonsh_5",28.07
"West","wnd_Nonsh_6",28.07
"West","wnd_Nonsh_7",28.07
"West","wnd_Nshal_3",53.33
"West","wnd_Nshal_4",53.33
"West","wnd_Nshal_5",53.33
"West","wnd_Nshal_6",53.33
"West","wnd_Nshal_7",53.33
"West","wnd_Ndeep_3",53.33
"West","wnd_Ndeep_4",53.33
"West","wnd_Ndeep_5",53.33
"West","wnd_Ndeep_6",53.33
"West","wnd_Ndeep_7",53.33
"South","col_N",48.9
"South","col_Nccs",63.21
"South","ngcc_N",14.62
"South","ngcc_Nccs",30.25
"South","ngtb_N",6.7
"South","nuc_N",88.75
"South","bio_N",100.5
"South","lfg_N_hi",373.76
"South","lfg_N_lo",373.76
"South","lfg_N_vl",373.76
"South","fc_N",5.778270638
"South","geo_N_1",184.4862849
"South","geo_N_2",201.3010158
"South","geo_N_3",190.1319539
"South","geo_N_4",182.3126614
"South","geo_N_5",181.770855
"South","geo_N_6",185.1
"South","geo_N_7",183
"South","geo_N_8",218.8
"South","geo_N_9",185.1
"South","geo_N_10",185.1
"South","slrPV_N",16.7
"South","slrCSP_N",64
"South","wnd_Nonsh_3",28.07
"South","wnd_Nonsh_4",28.07
"South","wnd_Nonsh_5",28.07
"South","wnd_Nonsh_6",28.07
"South","wnd_Nonsh_7",28.07
"South","wnd_Nshal_3",53.33
"South","wnd_Nshal_4",53.33
"South","wnd_Nshal_5",53.33
"South","wnd_Nshal_6",53.33
"South","wnd_Nshal_7",53.33
"South","wnd_Ndeep_3",53.33
"South","wnd_Ndeep_4",53.33
"South","wnd_Ndeep_5",53.33
"South","wnd_Ndeep_6",53.33
"South","wnd_Ndeep_7",53.33
"Midwest","col_N",48.9
"Midwest","col_Nccs",63.21
"Midwest","ngcc_N",14.62
"Midwest","ngcc_Nccs",30.25
"Midwest","ngtb_N",6.7
"Midwest","nuc_N",88.75
"Midwest","bio_N",100.5
"Midwest","lfg_N_hi",373.76
"Midwest","lfg_N_lo",373.76
"Midwest","lfg_N_vl",373.76
"Midwest","fc_N",5.778270638
"Midwest","geo_N_1",184.4862849
"Midwest","geo_N_2",201.3010158
"Midwest","geo_N_3",190.1319539
"Midwest","geo_N_4",182.3126614
"Midwest","geo_N_5",181.770855
"Midwest","geo_N_6",185.1
"Midwest","geo_N_7",183
"Midwest","geo_N_8",218.8
"Midwest","geo_N_9",185.1
"Midwest","geo_N_10",185.1
"Midwest","slrPV_N",16.7
"Midwest","slrCSP_N",64
"Midwest","wnd_Nonsh_3",28.07
"Midwest","wnd_Nonsh_4",28.07
"Midwest","wnd_Nonsh_5",28.07
"Midwest","wnd_Nonsh_6",28.07
"Midwest","wnd_Nonsh_7",28.07
"Midwest","wnd_Nshal_3",53.33
"Midwest","wnd_Nshal_4",53.33
"Midwest","wnd_Nshal_5",53.33
"Midwest","wnd_Nshal_6",53.33
"Midwest","wnd_Nshal_7",53.33
"Midwest","wnd_Ndeep_3",53.33
"Midwest","wnd_Ndeep_4",53.33
"Midwest","wnd_Ndeep_5",53.33
"Midwest","wnd_Ndeep_6",53.33
"Midwest","wnd_Ndeep_7",53.33
