"state","plant_type_full","Value"
"AL","bio_X",244.268915099495
"AL","col_X1",64.0392076181408
"AL","col_X2",129.283736677489
"AL","col_X3",130.329466927708
"AL","hyd_X",91.1814219339722
"AL","ngcc_X1",12.7399173144977
"AL","ngtb_X1",11.0474590676834
"AL","ngtb_X2",6.57315679447717
"AL","ngtb_X3",13.3144350144035
"AL","nuc_X",131.239238501822
"AL","oth_X",0
"AL","slr_X",20.6915295982732
"AR","bio_X",217.41490802976
"AR","col_X1",63.1003062340992
"AR","col_X2",46.2914751587302
"AR","col_X3",67.5760788423005
"AR","hyd_X",92.6869600591846
"AR","msw_X",12.506030954377
"AR","ngcc_X1",12.6977857982947
"AR","ngtb_X1",11.0474590687938
"AR","ngtb_X2",11.2212699976409
"AR","ngtb_X3",11.0474590661765
"AR","nuc_X",131.239238482385
"AR","oth_X",0
"AR","slr_X",20.6915296036364
"AR","stog_X1",0
"AZ","bio_X",136.741037022059
"AZ","col_X2",81.2289287729157
"AZ","col_X3",84.0502362202865
"AZ","hyd_X",92.2429261237839
"AZ","ngcc_X1",13.1840493505952
"AZ","ngtb_X1",11.0474590682941
"AZ","ngtb_X2",12.279259832378
"AZ","ngtb_X3",14.6921928658783
"AZ","nuc_X",131.239238502471
"AZ","oth_X",0
"AZ","slr_X",20.6915296001391
"AZ","stog_X1",0
"AZ","stog_X2",0
"AZ","wnd_X",47.6538110145903
"CA","bio_X",136.69336811052
"CA","col_X1",78.8817952116462
"CA","col_X2",0
"CA","col_X3",74.9864649879374
"CA","geo_X",155.811743458071
"CA","hyd_X",92.361101576512
"CA","msw_X",2.84563679966443
"CA","ngcc_X1",13.4526060127653
"CA","ngcc_X2",13.8882277879023
"CA","ngcc_X3",17.7072850996055
"CA","ngtb_X1",11.5481187854057
"CA","ngtb_X2",11.3864847821714
"CA","ngtb_X3",14.849680540058
"CA","nuc_X",131.239238527766
"CA","oth_X",1.05084656204156
"CA","slr_X",25.8487754979093
"CA","stog_X1",0
"CA","stog_X2",0
"CA","wnd_X",47.6538110137914
"CO","bio_X",136.741036984127
"CO","col_X1",48.4696097839002
"CO","col_X2",56.6873008695568
"CO","col_X3",83.9838420621931
"CO","hyd_X",92.6869600479204
"CO","ngcc_X1",12.854863214558
"CO","ngtb_X1",11.0474590669302
"CO","ngtb_X2",11.1999321459559
"CO","ngtb_X3",15.3353858094032
"CO","oth_X",0
"CO","slr_X",20.6915295997681
"CO","stog_X2",0
"CO","wnd_X",47.6538110169035
"CT","bio_X",135.638077023256
"CT","col_X1",43.1236005418182
"CT","col_X2",195.944563043478
"CT","col_X3",207.577898588622
"CT","hyd_X",92.686960056277
"CT","msw_X",20.8791932694471
"CT","ngcc_X1",12.6778820897057
"CT","ngcc_X2",12.6782583408511
"CT","ngtb_X1",12.8284096486818
"CT","ngtb_X2",19.1606622950665
"CT","ngtb_X3",17.0140044462066
"CT","nuc_X",131.239238522354
"CT","oth_X",0
"CT","slr_X",20.6915295996967
"CT","stog_X1",0
"CT","wnd_X",47.65381102
"DC","ngtb_X1",11.047459070922
"DC","ngtb_X2",11.0474590677686
"DC","ngtb_X3",11.0474590648148
"DC","slr_X",20.6915295942029
"DE","col_X1",94.7164889511041
"DE","col_X3",60.6247112638852
"DE","ngcc_X1",12.67328300164
"DE","ngtb_X1",11.0474590662993
"DE","ngtb_X2",11.0474590630189
"DE","ngtb_X3",19.2266615811182
"DE","oth_X",0
"DE","slr_X",20.6915296005917
"DE","wnd_X",47.653811015
"FL","bio_X",224.947457957638
"FL","col_X1",82.2852164323155
"FL","col_X2",104.517248254026
"FL","col_X3",97.7295840086174
"FL","hyd_X",92.686960045977
"FL","msw_X",9.59440276906774
"FL","ngcc_X1",12.6779778841672
"FL","ngcc_X2",12.6672284179912
"FL","ngcc_X3",32.4709857594629
"FL","ngtb_X1",11.0474590682347
"FL","ngtb_X2",11.5734286123974
"FL","ngtb_X3",16.1234600911526
"FL","nuc_X",131.239238517855
"FL","oth_X",52.4323002402235
"FL","slr_X",36.4327190453905
"GA","bio_X",256.091030349114
"GA","col_X1",82.1187600460163
"GA","col_X2",56.9527854887704
"GA","col_X3",173.734113846888
"GA","hyd_X",92.68696005314
"GA","msw_X",1.07599178447099
"GA","ngcc_X1",12.7663537575067
