"state","plant_type_full","year","Value"
"AL","bio_X",2020,6584.25596516667
"AL","col_X1",2020,6447.57153984615
"AL","col_X2",2020,11280.45364
"AL","col_X3",2020,12051.04245
"AL","hyd_X",2020,8903.98855490909
"AL","ngcc_X1",2020,6408.34115126667
"AL","ngtb_X1",2020,9452.9507612
"AL","ngtb_X2",2020,12102.61473
"AL","ngtb_X3",2020,19290.788216
"AL","nuc_X",2020,10441.60876
"AL","slr_X",2020,8904.03798666667
"AR","bio_X",2020,6788.9547308
"AR","col_X1",2020,6843.620556
"AR","col_X2",2020,10578.80966
"AR","col_X3",2020,12834.69356
"AR","hyd_X",2020,8903.99187627778
"AR","msw_X",2020,4477.652141
"AR","ngcc_X1",2020,7533.49641814286
"AR","ngtb_X1",2020,8710.085773
"AR","ngtb_X2",2020,11796.100075
"AR","ngtb_X3",2020,13964.28571
"AR","nuc_X",2020,10450.67358
"AR","slr_X",2020,8904.27043614286
"AR","stog_X1",2020,0
"AZ","bio_X",2020,17017.06208
"AZ","col_X2",2020,10989.7484266667
"AZ","col_X3",2020,29688.57961
"AZ","hyd_X",2020,9008.983904
"AZ","ngcc_X1",2020,7069.20050916667
"AZ","ngtb_X1",2020,10375.678515
"AZ","ngtb_X2",2020,12005.9535966667
"AZ","ngtb_X3",2020,22262.5078814286
"AZ","nuc_X",2020,10441.60882
"AZ","slr_X",2020,8904.01315348148
"AZ","stog_X1",2020,0
"AZ","wnd_X",2020,8904.0108444
"CA","bio_X",2020,15665.1752796957
"CA","col_X1",2020,7006.28290627273
"CA","col_X3",2020,18943.39475
"CA","geo_X",2020,8904.00093770968
"CA","hyd_X",2020,8904.54340826027
"CA","msw_X",2020,19509.069885
"CA","ngcc_X1",2020,7451.44110463636
"CA","ngcc_X2",2020,11155.409565
"CA","ngcc_X3",2020,13664.631365
"CA","ngtb_X1",2020,7739.25276644444
"CA","ngtb_X2",2020,11829.0905539216
"CA","ngtb_X3",2020,16013.1392695652
"CA","nuc_X",2020,10444.55925
"CA","oth_X",2020,8808.91337532911
"CA","slr_X",2020,8904.0019645282
"CA","stog_X1",2020,0
"CA","wnd_X",2020,8904.02735798305
"CO","bio_X",2020,14310.43286
"CO","col_X1",2020,6560.22177666667
"CO","col_X2",2020,10866.4763222222
"CO","col_X3",2020,16025.20063
"CO","hyd_X",2020,8904.01251773913
"CO","ngcc_X1",2020,8244.2497895
"CO","ngtb_X1",2020,9401.91574316667
"CO","ngtb_X2",2020,12120.268322
"CO","ngtb_X3",2020,17009.0294688889
"CO","slr_X",2020,8903.92335941667
"CO","wnd_X",2020,8903.96297322222
"CT","bio_X",2020,11761.0242
"CT","col_X1",2020,4621.031671
"CT","col_X3",2020,17635.730556
"CT","hyd_X",2020,8903.96890971429
"CT","msw_X",2020,19230.088092
"CT","ngcc_X1",2020,6408.78810909091
"CT","ngcc_X2",2020,11577.38938
"CT","ngtb_X1",2020,7946.77348068182
"CT","ngtb_X2",2020,11841.1349175
"CT","ngtb_X3",2020,16142.7943966667
"CT","nuc_X",2020,10441.60875
"CT","oth_X",2020,7637.44205526667
"CT","slr_X",2020,8903.68274662857
"CT","stog_X1",2020,0
"CT","wnd_X",2020,8904.134261
"DC","ngtb_X1",2020,10128.28327
"DC","ngtb_X2",2020,11605.435935
"DC","ngtb_X3",2020,25724.68501
"DC","slr_X",2020,8904.1500125
"DE","col_X1",2020,6329.4363855
"DE","col_X3",2020,15599.9074
"DE","ngcc_X1",2020,7660.96111533333
"DE","ngtb_X1",2020,4376.79502725
"DE","ngtb_X2",2020,11333.6052566667
"DE","ngtb_X3",2020,33047.978535
"DE","oth_X",2020,7154.16252233333
"DE","slr_X",2020,8903.9979424
"DE","wnd_X",2020,8903.98482
"FL","bio_X",2020,11142.7195698182
"FL","col_X1",2020,6267.02254225
"FL","col_X2",2020,10930.466473
"FL","col_X3",2020,22365.16706
"FL","hyd_X",2020,8904.056627
"FL","msw_X",2020,20699.0381539231
"FL","ngcc_X1",2020,7339.08881721212
"FL","ngcc_X2",2020,11965.810155
"FL","ngcc_X3",2020,16983.527225
"FL","ngtb_X1",2020,7905.9901502381
"FL","ngtb_X2",2020,11581.2685276923
"FL","ngtb_X3",2020,26592.2242547826
"FL","nuc_X",2020,10444.913765
"FL","oth_X",2020,6576.5914325
"FL","slr_X",2020,8903.93446770312
"GA","bio_X",2020,8004.137419
"GA","col_X1",2020,5649.74259292857
"GA","col_X2",2020,10969.6286833333
"GA","col_X3",2020,16253.3232766667
"GA","hyd_X",2020,8903.95859613793
"GA","msw_X",2020,4649.420566
"GA","ngcc_X1",2020,7041.941778
"GA","ngtb_X1",2020,8693.37469931579
"GA","ngtb_X2",2020,11934.6666723077
"GA","ngtb_X3",2020,89931.5001722222
"GA","nuc_X",2020,10441.608805
"GA","oth_X",2020,9243.147667
"GA","slr_X",2020,8904.03710832812
"GA","stog_X1",2020,0
"IA","bio_X",2020,8235.57460066667
"IA","col_X1",2020,6075.571194
"IA","col_X2",2020,10955.8168025
"IA","col_X3",2020,25868.8614425
"IA","hyd_X",2020,8903.941075
"IA","ngcc_X1",2020,6315.23689475
"IA","ngcc_X3",2020,14913.50098
"IA","ngtb_X1",2020,8874.4401132
"IA","ngtb_X2",2020,11710.391035625
"IA","ngtb_X3",2020,23345.5647715151
"IA","nuc_X",2020,10441.60856
"IA","slr_X",2020,8904.21114271429
"IA","wnd_X",2020,8904.01139784466
"ID","bio_X",2020,5057.70870766667
"ID","col_X1",2020,5755.88358175
"ID","geo_X",2020,8904.009873
"ID","hyd_X",2020,8903.99131993151
