region,load_segment,Value
NEG,sum_day,1610
NEG,sum_mrnevn,1207
NEG,sum_night,765
NEG,sprfl_day,728
NEG,sprfl_mrnevn,1001
NEG,sprfl_night,455
NEG,wntr_day,968
NEG,wntr_mrnevn,1331
NEG,wntr_night,605
NEG,peak,88
NY,sum_day,1610
NY,sum_mrnevn,1209
NY,sum_night,765
NY,sprfl_day,728
NY,sprfl_mrnevn,1001
NY,sprfl_night,455
NY,wntr_day,968
NY,wntr_mrnevn,1331
NY,wntr_night,605
NY,peak,88
MID,sum_day,1615
MID,sum_mrnevn,1204
MID,sum_night,765
MID,sprfl_day,728
MID,sprfl_mrnevn,1001
MID,sprfl_night,455
MID,wntr_day,968
MID,wntr_mrnevn,1331
MID,wntr_night,605
MID,peak,88
ENC,sum_day,1606
ENC,sum_mrnevn,1213
ENC,sum_night,765
ENC,sprfl_day,728
ENC,sprfl_mrnevn,1001
ENC,sprfl_night,455
ENC,wntr_day,968
ENC,wntr_mrnevn,1331
ENC,wntr_night,605
ENC,peak,88
WNC,sum_day,1605
WNC,sum_mrnevn,1214
WNC,sum_night,765
WNC,sprfl_day,728
WNC,sprfl_mrnevn,1001
WNC,sprfl_night,455
WNC,wntr_day,968
WNC,wntr_mrnevn,1331
WNC,wntr_night,605
WNC,peak,88
FL,sum_day,1600
FL,sum_mrnevn,1219
FL,sum_night,765
FL,sprfl_day,728
FL,sprfl_mrnevn,1001
FL,sprfl_night,455
FL,wntr_day,968
FL,wntr_mrnevn,1331
FL,wntr_night,605
FL,peak,88
SAC,sum_day,1610
SAC,sum_mrnevn,1209
SAC,sum_night,765
SAC,sprfl_day,728
SAC,sprfl_mrnevn,1001
SAC,sprfl_night,455
SAC,wntr_day,968
SAC,wntr_mrnevn,1331
SAC,wntr_night,605
SAC,peak,88
ESC,sum_day,1607
ESC,sum_mrnevn,1212
ESC,sum_night,765
ESC,sprfl_day,728
ESC,sprfl_mrnevn,1001
ESC,sprfl_night,455
ESC,wntr_day,968
ESC,wntr_mrnevn,1331
ESC,wntr_night,605
ESC,peak,88
TX,sum_day,1599
TX,sum_mrnevn,1220
TX,sum_night,765
TX,sprfl_day,728
TX,sprfl_mrnevn,1001
TX,sprfl_night,455
TX,wntr_day,968
TX,wntr_mrnevn,1331
TX,wntr_night,605
TX,peak,88
WSC,sum_day,1616
WSC,sum_mrnevn,1203
WSC,sum_night,765
WSC,sprfl_day,728
WSC,sprfl_mrnevn,1001
WSC,sprfl_night,455
WSC,wntr_day,968
WSC,wntr_mrnevn,1331
WSC,wntr_night,605
WSC,peak,88
MTN,sum_day,1597
MTN,sum_mrnevn,1222
MTN,sum_night,765
MTN,sprfl_day,728
MTN,sprfl_mrnevn,1001
MTN,sprfl_night,455
MTN,wntr_day,968
MTN,wntr_mrnevn,1331
MTN,wntr_night,605
MTN,peak,88
CA,sum_day,1596
CA,sum_mrnevn,1223
CA,sum_night,765
CA,sprfl_day,728
CA,sprfl_mrnevn,1001
CA,sprfl_night,455
CA,wntr_day,968
CA,wntr_mrnevn,1331
CA,wntr_night,605
CA,peak,88
PAC,sum_day,1683
PAC,sum_mrnevn,1224
PAC,sum_night,765
PAC,sprfl_day,728
PAC,sprfl_mrnevn,999
PAC,sprfl_night,455
PAC,wntr_day,947
PAC,wntr_mrnevn,1266
PAC,wntr_night,605
PAC,peak,88
