region,load_segment,Value
NEG,sum_day,0.203064527
NEG,sum_mrnevn,0.138301478
NEG,sum_night,0.069170261
NEG,sprfl_day,0.084749064
NEG,sprfl_mrnevn,0.110857607
NEG,sprfl_night,0.038934463
NEG,wntr_day,0.120135628
NEG,wntr_mrnevn,0.161441836
NEG,wntr_night,0.057890427
NEG,peak,0.015454707
NY,sum_day,0.207320924
NY,sum_mrnevn,0.141874173
NY,sum_night,0.071471129
NY,sprfl_day,0.084068708
NY,sprfl_mrnevn,0.10935781
NY,sprfl_night,0.038227199
NY,wntr_day,0.117677923
NY,wntr_mrnevn,0.157763141
NY,wntr_night,0.05636636
NY,peak,0.015872633
MID,sum_day,0.202312795
MID,sum_mrnevn,0.140384304
MID,sum_night,0.072189291
MID,sprfl_day,0.08170912
MID,sprfl_mrnevn,0.108936786
MID,sprfl_night,0.040657268
MID,wntr_day,0.116834681
MID,wntr_mrnevn,0.160287896
MID,wntr_night,0.061395869
MID,peak,0.015291989
ENC,sum_day,0.201780765
ENC,sum_mrnevn,0.142399428
ENC,sum_night,0.07508891
ENC,sprfl_day,0.081520583
ENC,sprfl_mrnevn,0.108696477
ENC,sprfl_night,0.04215115
ENC,wntr_day,0.115106653
ENC,wntr_mrnevn,0.156688708
ENC,wntr_night,0.061871322
ENC,peak,0.014696005
WNC,sum_day,0.208294012
WNC,sum_mrnevn,0.144511913
WNC,sum_night,0.070907589
WNC,sprfl_day,0.080697301
WNC,sprfl_mrnevn,0.106535877
WNC,sprfl_night,0.038567919
WNC,wntr_day,0.116521714
WNC,wntr_mrnevn,0.158413909
WNC,wntr_night,0.059866341
WNC,peak,0.015683425
FL,sum_day,0.226643615
FL,sum_mrnevn,0.156351954
FL,sum_night,0.073720773
FL,sprfl_day,0.085883819
FL,sprfl_mrnevn,0.11148148
FL,sprfl_night,0.036948354
FL,wntr_day,0.105374553
FL,wntr_mrnevn,0.139565661
FL,wntr_night,0.047612237
FL,peak,0.016417556
SAC,sum_day,0.207440225
SAC,sum_mrnevn,0.145342128
SAC,sum_night,0.074834076
SAC,sprfl_day,0.079727698
SAC,sprfl_mrnevn,0.10791055
SAC,sprfl_night,0.041386968
SAC,wntr_day,0.111590566
SAC,wntr_mrnevn,0.15512455
SAC,wntr_night,0.061808257
SAC,peak,0.014834982
ESC,sum_day,0.210577538
ESC,sum_mrnevn,0.146573065
ESC,sum_night,0.075546615
ESC,sprfl_day,0.079142708
ESC,sprfl_mrnevn,0.107463629
ESC,sprfl_night,0.041777887
ESC,wntr_day,0.109537699
ESC,wntr_mrnevn,0.152558888
ESC,wntr_night,0.061544814
ESC,peak,0.015277157
TX,sum_day,0.225318807
TX,sum_mrnevn,0.153228966
TX,sum_night,0.075636903
TX,sprfl_day,0.081238943
TX,sprfl_mrnevn,0.10587376
TX,sprfl_night,0.037787042
TX,wntr_day,0.105418627
TX,wntr_mrnevn,0.144012458
TX,wntr_night,0.05481032
TX,peak,0.016674175
WSC,sum_day,0.213416332
WSC,sum_mrnevn,0.151165519
WSC,sum_night,0.078648392
WSC,sprfl_day,0.077999765
WSC,sprfl_mrnevn,0.106278424
WSC,sprfl_night,0.040637443
WSC,wntr_day,0.107588273
WSC,wntr_mrnevn,0.148469599
WSC,wntr_night,0.059619017
WSC,peak,0.016177236
MTN,sum_day,0.221933898
MTN,sum_mrnevn,0.150180641
MTN,sum_night,0.076994909
MTN,sprfl_day,0.080115687
MTN,sprfl_mrnevn,0.105569241
MTN,sprfl_night,0.040133829
MTN,wntr_day,0.106361202
MTN,wntr_mrnevn,0.14629042
MTN,wntr_night,0.056913829
MTN,peak,0.015506343
CA,sum_day,0.217992859
CA,sum_mrnevn,0.144011505
CA,sum_night,0.076180824
CA,sprfl_day,0.084385872
CA,sprfl_mrnevn,0.107405785
CA,sprfl_night,0.041509114
CA,wntr_day,0.110303829
CA,wntr_mrnevn,0.145493776
CA,wntr_night,0.056664135
CA,peak,0.016052301
PAC,sum_day,0.198983263
PAC,sum_mrnevn,0.134999425
PAC,sum_night,0.072901232
PAC,sprfl_day,0.083827859
PAC,sprfl_mrnevn,0.113518522
PAC,sprfl_night,0.044317104
PAC,wntr_day,0.118360672
PAC,wntr_mrnevn,0.15589815
PAC,wntr_night,0.064036441
PAC,peak,0.013157332
