region,load_segment,Value
Northeast,sum_day,0.203064527
Northeast,sum_mrnevn,0.140384304
Northeast,sum_night,0.071471129
Northeast,sprfl_day,0.084068708
Northeast,sprfl_mrnevn,0.10935781
Northeast,sprfl_night,0.038934463
Northeast,wntr_day,0.117677923
Northeast,wntr_mrnevn,0.160287896
Northeast,wntr_night,0.057890427
Northeast,peak,0.015454707
Midwest,sum_day,0.205037389
Midwest,sum_mrnevn,0.143455671
Midwest,sum_night,0.07299825
Midwest,sprfl_day,0.081108942
Midwest,sprfl_mrnevn,0.107616177
Midwest,sprfl_night,0.040359535
Midwest,wntr_day,0.115814184
Midwest,wntr_mrnevn,0.157551309
Midwest,wntr_night,0.060868832
Midwest,peak,0.015189715
South,sum_day,0.213416332
South,sum_mrnevn,0.151165519
South,sum_night,0.075546615
South,sprfl_day,0.079727698
South,sprfl_mrnevn,0.107463629
South,sprfl_night,0.040637443
South,wntr_day,0.107588273
South,wntr_mrnevn,0.148469599
South,wntr_night,0.059619017
South,peak,0.016177236
West,sum_day,0.217992859
West,sum_mrnevn,0.144011505
West,sum_night,0.076180824
West,sprfl_day,0.083827859
West,sprfl_mrnevn,0.107405785
West,sprfl_night,0.041509114
West,wntr_day,0.110303829
West,wntr_mrnevn,0.14629042
West,wntr_night,0.056913829
West,peak,0.015506343
