state,load_segment,Value
CT,sum_day,0.203064527
MA,sum_day,0.203064527
ME,sum_day,0.203064527
NH,sum_day,0.203064527
RI,sum_day,0.203064527
VT,sum_day,0.203064527
CT,sum_mrnevn,0.138301478
MA,sum_mrnevn,0.138301478
ME,sum_mrnevn,0.138301478
NH,sum_mrnevn,0.138301478
RI,sum_mrnevn,0.138301478
VT,sum_mrnevn,0.138301478
CT,sum_night,0.069170261
MA,sum_night,0.069170261
ME,sum_night,0.069170261
NH,sum_night,0.069170261
RI,sum_night,0.069170261
VT,sum_night,0.069170261
CT,sprfl_day,0.084749064
MA,sprfl_day,0.084749064
ME,sprfl_day,0.084749064
NH,sprfl_day,0.084749064
RI,sprfl_day,0.084749064
VT,sprfl_day,0.084749064
CT,sprfl_mrnevn,0.110857607
MA,sprfl_mrnevn,0.110857607
ME,sprfl_mrnevn,0.110857607
NH,sprfl_mrnevn,0.110857607
RI,sprfl_mrnevn,0.110857607
VT,sprfl_mrnevn,0.110857607
CT,sprfl_night,0.038934463
MA,sprfl_night,0.038934463
ME,sprfl_night,0.038934463
NH,sprfl_night,0.038934463
RI,sprfl_night,0.038934463
VT,sprfl_night,0.038934463
CT,wntr_day,0.120135628
MA,wntr_day,0.120135628
ME,wntr_day,0.120135628
NH,wntr_day,0.120135628
RI,wntr_day,0.120135628
VT,wntr_day,0.120135628
CT,wntr_mrnevn,0.161441836
MA,wntr_mrnevn,0.161441836
ME,wntr_mrnevn,0.161441836
NH,wntr_mrnevn,0.161441836
RI,wntr_mrnevn,0.161441836
VT,wntr_mrnevn,0.161441836
CT,wntr_night,0.057890427
MA,wntr_night,0.057890427
ME,wntr_night,0.057890427
NH,wntr_night,0.057890427
RI,wntr_night,0.057890427
VT,wntr_night,0.057890427
CT,peak,0.015454707
MA,peak,0.015454707
ME,peak,0.015454707
NH,peak,0.015454707
RI,peak,0.015454707
VT,peak,0.015454707
NY,sum_day,0.207320924
NY,sum_mrnevn,0.141874173
NY,sum_night,0.071471129
NY,sprfl_day,0.084068708
NY,sprfl_mrnevn,0.10935781
NY,sprfl_night,0.038227199
NY,wntr_day,0.117677923
NY,wntr_mrnevn,0.157763141
NY,wntr_night,0.05636636
NY,peak,0.015872633
NJ,sum_day,0.202312795
PA,sum_day,0.202312795
NJ,sum_mrnevn,0.140384304
PA,sum_mrnevn,0.140384304
NJ,sum_night,0.072189291
PA,sum_night,0.072189291
NJ,sprfl_day,0.08170912
PA,sprfl_day,0.08170912
NJ,sprfl_mrnevn,0.108936786
PA,sprfl_mrnevn,0.108936786
NJ,sprfl_night,0.040657268
PA,sprfl_night,0.040657268
NJ,wntr_day,0.116834681
PA,wntr_day,0.116834681
NJ,wntr_mrnevn,0.160287896
PA,wntr_mrnevn,0.160287896
NJ,wntr_night,0.061395869
PA,wntr_night,0.061395869
NJ,peak,0.015291989
PA,peak,0.015291989
IL,sum_day,0.201780765
IN,sum_day,0.201780765
MI,sum_day,0.201780765
OH,sum_day,0.201780765
WI,sum_day,0.201780765
IL,sum_mrnevn,0.142399428
IN,sum_mrnevn,0.142399428
MI,sum_mrnevn,0.142399428
OH,sum_mrnevn,0.142399428
WI,sum_mrnevn,0.142399428
IL,sum_night,0.07508891
IN,sum_night,0.07508891
MI,sum_night,0.07508891
OH,sum_night,0.07508891
WI,sum_night,0.07508891
IL,sprfl_day,0.081520583
IN,sprfl_day,0.081520583
MI,sprfl_day,0.081520583
OH,sprfl_day,0.081520583
WI,sprfl_day,0.081520583
IL,sprfl_mrnevn,0.108696477
IN,sprfl_mrnevn,0.108696477
MI,sprfl_mrnevn,0.108696477
OH,sprfl_mrnevn,0.108696477
WI,sprfl_mrnevn,0.108696477
IL,sprfl_night,0.04215115
IN,sprfl_night,0.04215115
MI,sprfl_night,0.04215115
OH,sprfl_night,0.04215115
WI,sprfl_night,0.04215115
IL,wntr_day,0.115106653
IN,wntr_day,0.115106653
MI,wntr_day,0.115106653
OH,wntr_day,0.115106653
WI,wntr_day,0.115106653
IL,wntr_mrnevn,0.156688708
IN,wntr_mrnevn,0.156688708
MI,wntr_mrnevn,0.156688708
OH,wntr_mrnevn,0.156688708
WI,wntr_mrnevn,0.156688708
IL,wntr_night,0.061871322
IN,wntr_night,0.061871322
MI,wntr_night,0.061871322
OH,wntr_night,0.061871322
WI,wntr_night,0.061871322
IL,peak,0.014696005
IN,peak,0.014696005
MI,peak,0.014696005
OH,peak,0.014696005
WI,peak,0.014696005
IA,sum_day,0.208294012
KS,sum_day,0.208294012
MN,sum_day,0.208294012
MO,sum_day,0.208294012
ND,sum_day,0.208294012
NE,sum_day,0.208294012
SD,sum_day,0.208294012
IA,sum_mrnevn,0.144511913
KS,sum_mrnevn,0.144511913
