region,plant_type,load_segment,Value
NEG,col_X1,sum_day,0.645027521
NEG,col_X1,sum_mrnevn,0.645027521
NEG,col_X1,sum_night,0.645027521
NEG,col_X1,sprfl_day,0.600751771
NEG,col_X1,sprfl_mrnevn,0.600751771
NEG,col_X1,sprfl_night,0.600751771
NEG,col_X1,wntr_day,0.600751771
NEG,col_X1,wntr_mrnevn,0.600751771
NEG,col_X1,wntr_night,0.600751771
NEG,col_X1,peak,0.645027521
NEG,col_X2,sum_day,0.829290606
NEG,col_X2,sum_mrnevn,0.829290606
NEG,col_X2,sum_night,0.829290606
NEG,col_X2,sprfl_day,0.775076461
NEG,col_X2,sprfl_mrnevn,0.775076461
NEG,col_X2,sprfl_night,0.775076461
NEG,col_X2,wntr_day,0.775076461
NEG,col_X2,wntr_mrnevn,0.775076461
NEG,col_X2,wntr_night,0.775076461
NEG,col_X2,peak,0.829290606
NEG,col_X3,sum_day,0.691107279
NEG,col_X3,sum_mrnevn,0.691107279
NEG,col_X3,sum_night,0.691107279
NEG,col_X3,sprfl_day,0.650397698
NEG,col_X3,sprfl_mrnevn,0.650397698
NEG,col_X3,sprfl_night,0.650397698
NEG,col_X3,wntr_day,0.650397698
NEG,col_X3,wntr_mrnevn,0.650397698
NEG,col_X3,wntr_night,0.650397698
NEG,col_X3,peak,0.691107279
NEG,ngcc_X1,sum_day,0.88
NEG,ngcc_X1,sum_mrnevn,0.88
NEG,ngcc_X1,sum_night,0.88
NEG,ngcc_X1,sprfl_day,0.822
NEG,ngcc_X1,sprfl_mrnevn,0.822
NEG,ngcc_X1,sprfl_night,0.822
NEG,ngcc_X1,wntr_day,0.822
NEG,ngcc_X1,wntr_mrnevn,0.822
NEG,ngcc_X1,wntr_night,0.822
NEG,ngcc_X1,peak,0.88
NEG,ngcc_X2,sum_day,0.88
NEG,ngcc_X2,sum_mrnevn,0.88
NEG,ngcc_X2,sum_night,0.88
NEG,ngcc_X2,sprfl_day,0.822
NEG,ngcc_X2,sprfl_mrnevn,0.822
NEG,ngcc_X2,sprfl_night,0.822
NEG,ngcc_X2,wntr_day,0.822
NEG,ngcc_X2,wntr_mrnevn,0.822
NEG,ngcc_X2,wntr_night,0.822
NEG,ngcc_X2,peak,0.88
NEG,ngcc_X3,sum_day,0.88
