region,plant_type,load_segment,Value
Northeast,col_X1,sum_day,0.836469415
Northeast,col_X1,sum_mrnevn,0.836469415
Northeast,col_X1,sum_night,0.836469415
Northeast,col_X1,sprfl_day,0.774664414
Northeast,col_X1,sprfl_mrnevn,0.774664414
Northeast,col_X1,sprfl_night,0.774664414
Northeast,col_X1,wntr_day,0.774664414
Northeast,col_X1,wntr_mrnevn,0.774664414
Northeast,col_X1,wntr_night,0.774664414
Northeast,col_X1,peak,0.836469415
Northeast,col_X2,sum_day,0.769684761
Northeast,col_X2,sum_mrnevn,0.769684761
Northeast,col_X2,sum_night,0.769684761
Northeast,col_X2,sprfl_day,0.714433692
Northeast,col_X2,sprfl_mrnevn,0.714433692
Northeast,col_X2,sprfl_night,0.714433692
Northeast,col_X2,wntr_day,0.714433692
Northeast,col_X2,wntr_mrnevn,0.714433692
Northeast,col_X2,wntr_night,0.714433692
Northeast,col_X2,peak,0.769684761
Northeast,col_X3,sum_day,0.691107279
Northeast,col_X3,sum_mrnevn,0.691107279
Northeast,col_X3,sum_night,0.691107279
Northeast,col_X3,sprfl_day,0.650397698
Northeast,col_X3,sprfl_mrnevn,0.650397698
Northeast,col_X3,sprfl_night,0.650397698
Northeast,col_X3,wntr_day,0.650397698
Northeast,col_X3,wntr_mrnevn,0.650397698
Northeast,col_X3,wntr_night,0.650397698
Northeast,col_X3,peak,0.691107279
Northeast,ngcc_X1,sum_day,0.88
Northeast,ngcc_X1,sum_mrnevn,0.88
Northeast,ngcc_X1,sum_night,0.88
Northeast,ngcc_X1,sprfl_day,0.822
Northeast,ngcc_X1,sprfl_mrnevn,0.822
Northeast,ngcc_X1,sprfl_night,0.822
Northeast,ngcc_X1,wntr_day,0.822
Northeast,ngcc_X1,wntr_mrnevn,0.822
Northeast,ngcc_X1,wntr_night,0.822
Northeast,ngcc_X1,peak,0.88
Northeast,ngcc_X2,sum_day,0.88
Northeast,ngcc_X2,sum_mrnevn,0.88
Northeast,ngcc_X2,sum_night,0.88
Northeast,ngcc_X2,sprfl_day,0.822
Northeast,ngcc_X2,sprfl_mrnevn,0.822
Northeast,ngcc_X2,sprfl_night,0.822
Northeast,ngcc_X2,wntr_day,0.822
Northeast,ngcc_X2,wntr_mrnevn,0.822
Northeast,ngcc_X2,wntr_night,0.822
Northeast,ngcc_X2,peak,0.88
Northeast,ngcc_X3,sum_day,0.88
Northeast,ngcc_X3,sum_mrnevn,0.88
Northeast,ngcc_X3,sum_night,0.88
Northeast,ngcc_X3,sprfl_day,0.822
Northeast,ngcc_X3,sprfl_mrnevn,0.822
Northeast,ngcc_X3,sprfl_night,0.822
Northeast,ngcc_X3,wntr_day,0.822
Northeast,ngcc_X3,wntr_mrnevn,0.822
Northeast,ngcc_X3,wntr_night,0.822
Northeast,ngcc_X3,peak,0.88
Northeast,ngtb_X1,sum_day,0.91504413
Northeast,ngtb_X1,sum_mrnevn,0.91504413
Northeast,ngtb_X1,sum_night,0.91504413
Northeast,ngtb_X1,sprfl_day,0.894154588
Northeast,ngtb_X1,sprfl_mrnevn,0.894154588
Northeast,ngtb_X1,sprfl_night,0.894154588
Northeast,ngtb_X1,wntr_day,0.894154588
Northeast,ngtb_X1,wntr_mrnevn,0.894154588
Northeast,ngtb_X1,wntr_night,0.894154588
Northeast,ngtb_X1,peak,0.91504413
Northeast,ngtb_X2,sum_day,0.915531406
Northeast,ngtb_X2,sum_mrnevn,0.915531406
Northeast,ngtb_X2,sum_night,0.915531406
Northeast,ngtb_X2,sprfl_day,0.893337078
Northeast,ngtb_X2,sprfl_mrnevn,0.893337078
Northeast,ngtb_X2,sprfl_night,0.893337078
Northeast,ngtb_X2,wntr_day,0.893337078
Northeast,ngtb_X2,wntr_mrnevn,0.893337078
Northeast,ngtb_X2,wntr_night,0.893337078
Northeast,ngtb_X2,peak,0.915531406
Northeast,ngtb_X3,sum_day,0.904
Northeast,ngtb_X3,sum_mrnevn,0.904
Northeast,ngtb_X3,sum_night,0.904
Northeast,ngtb_X3,sprfl_day,0.884
Northeast,ngtb_X3,sprfl_mrnevn,0.884
Northeast,ngtb_X3,sprfl_night,0.884
Northeast,ngtb_X3,wntr_day,0.884
Northeast,ngtb_X3,wntr_mrnevn,0.884
Northeast,ngtb_X3,wntr_night,0.884
Northeast,ngtb_X3,peak,0.904
Northeast,stog_X1,sum_day,0.879148838
Northeast,stog_X1,sum_mrnevn,0.879148838
Northeast,stog_X1,sum_night,0.879148838
Northeast,stog_X1,sprfl_day,0.813683523
Northeast,stog_X1,sprfl_mrnevn,0.813683523
Northeast,stog_X1,sprfl_night,0.813683523
Northeast,stog_X1,wntr_day,0.813683523
Northeast,stog_X1,wntr_mrnevn,0.813683523
Northeast,stog_X1,wntr_night,0.813683523
Northeast,stog_X1,peak,0.879148838
Northeast,stog_X2,sum_day,0.883889078
Northeast,stog_X2,sum_mrnevn,0.883889078
Northeast,stog_X2,sum_night,0.883889078
Northeast,stog_X2,sprfl_day,0.811538363
Northeast,stog_X2,sprfl_mrnevn,0.811538363
Northeast,stog_X2,sprfl_night,0.811538363
Northeast,stog_X2,wntr_day,0.811538363
Northeast,stog_X2,wntr_mrnevn,0.811538363
Northeast,stog_X2,wntr_night,0.811538363
Northeast,stog_X2,peak,0.883889078
Northeast,stog_X3,sum_day,0.87204308
Northeast,stog_X3,sum_mrnevn,0.87204308
Northeast,stog_X3,sum_night,0.87204308
Northeast,stog_X3,sprfl_day,0.796291702
Northeast,stog_X3,sprfl_mrnevn,0.796291702
Northeast,stog_X3,sprfl_night,0.796291702
Northeast,stog_X3,wntr_day,0.796291702
Northeast,stog_X3,wntr_mrnevn,0.796291702
Northeast,stog_X3,wntr_night,0.796291702
Northeast,stog_X3,peak,0.87204308
Northeast,nuc_X,sum_day,0.954794067
Northeast,nuc_X,sum_mrnevn,0.954794067
Northeast,nuc_X,sum_night,0.954794067
Northeast,nuc_X,sprfl_day,0.888464789
Northeast,nuc_X,sprfl_mrnevn,0.888464789
Northeast,nuc_X,sprfl_night,0.888464789
Northeast,nuc_X,wntr_day,0.888464789
Northeast,nuc_X,wntr_mrnevn,0.888464789
Northeast,nuc_X,wntr_night,0.888464789
Northeast,nuc_X,peak,0.954794067
Northeast,hyd_X,sum_day,0.411
Northeast,hyd_X,sum_mrnevn,0.411
Northeast,hyd_X,sum_night,0.411
Northeast,hyd_X,sprfl_day,0.473212883
Northeast,hyd_X,sprfl_mrnevn,0.473212883
Northeast,hyd_X,sprfl_night,0.473212883
Northeast,hyd_X,wntr_day,0.473212883
Northeast,hyd_X,wntr_mrnevn,0.473212883
Northeast,hyd_X,wntr_night,0.473212883
Northeast,hyd_X,peak,0.411
Northeast,bio_X,sum_day,0.83
Northeast,bio_X,sum_mrnevn,0.83
Northeast,bio_X,sum_night,0.83
Northeast,bio_X,sprfl_day,0.83
Northeast,bio_X,sprfl_mrnevn,0.83
Northeast,bio_X,sprfl_night,0.83
Northeast,bio_X,wntr_day,0.83
Northeast,bio_X,wntr_mrnevn,0.83
Northeast,bio_X,wntr_night,0.83
Northeast,bio_X,peak,0.83
Northeast,lfg_X,sum_day,0.9
Northeast,lfg_X,sum_mrnevn,0.9
Northeast,lfg_X,sum_night,0.9
Northeast,lfg_X,sprfl_day,0.9
Northeast,lfg_X,sprfl_mrnevn,0.9
Northeast,lfg_X,sprfl_night,0.9
Northeast,lfg_X,wntr_day,0.9
Northeast,lfg_X,wntr_mrnevn,0.9
Northeast,lfg_X,wntr_night,0.9
Northeast,lfg_X,peak,0.9
Northeast,msw_X,sum_day,0.9
Northeast,msw_X,sum_mrnevn,0.9
Northeast,msw_X,sum_night,0.9
Northeast,msw_X,sprfl_day,0.9
Northeast,msw_X,sprfl_mrnevn,0.9
Northeast,msw_X,sprfl_night,0.9
Northeast,msw_X,wntr_day,0.9
Northeast,msw_X,wntr_mrnevn,0.9
Northeast,msw_X,wntr_night,0.9
Northeast,msw_X,peak,0.9
Northeast,wnd_X,sum_day,0.279678748
Northeast,wnd_X,sum_mrnevn,0.323855455
Northeast,wnd_X,sum_night,0.350470485
Northeast,wnd_X,sprfl_day,0.323855455
Northeast,wnd_X,sprfl_mrnevn,0.368285211
Northeast,wnd_X,sprfl_night,0.403743369
Northeast,wnd_X,wntr_day,0.323855455
Northeast,wnd_X,wntr_mrnevn,0.368285211
Northeast,wnd_X,wntr_night,0.403743369
Northeast,wnd_X,peak,0.279678748
Northeast,oth_X,sum_day,0.9
Northeast,oth_X,sum_mrnevn,0.9
Northeast,oth_X,sum_night,0.9
Northeast,oth_X,sprfl_day,0.9
Northeast,oth_X,sprfl_mrnevn,0.9
Northeast,oth_X,sprfl_night,0.9
Northeast,oth_X,wntr_day,0.9
Northeast,oth_X,wntr_mrnevn,0.9
Northeast,oth_X,wntr_night,0.9
Northeast,oth_X,peak,0.9
Northeast,ps_X,sum_day,0.927
Northeast,ps_X,sum_mrnevn,0.927
Northeast,ps_X,sum_night,0.927
Northeast,ps_X,sprfl_day,0.875
Northeast,ps_X,sprfl_mrnevn,0.875
Northeast,ps_X,sprfl_night,0.875
Northeast,ps_X,wntr_day,0.875
Northeast,ps_X,wntr_mrnevn,0.875
Northeast,ps_X,wntr_night,0.875
Northeast,ps_X,peak,0.927
Northeast,col_N,sum_day,0.85
Northeast,col_N,sum_mrnevn,0.85
Northeast,col_N,sum_night,0.85
Northeast,col_N,sprfl_day,0.85
Northeast,col_N,sprfl_mrnevn,0.85
Northeast,col_N,sprfl_night,0.85
Northeast,col_N,wntr_day,0.85
Northeast,col_N,wntr_mrnevn,0.85
Northeast,col_N,wntr_night,0.85
Northeast,col_N,peak,0.85
Northeast,col_Nccs,sum_day,0.85
Northeast,col_Nccs,sum_mrnevn,0.85
Northeast,col_Nccs,sum_night,0.85
Northeast,col_Nccs,sprfl_day,0.85
Northeast,col_Nccs,sprfl_mrnevn,0.85
Northeast,col_Nccs,sprfl_night,0.85
Northeast,col_Nccs,wntr_day,0.85
Northeast,col_Nccs,wntr_mrnevn,0.85
Northeast,col_Nccs,wntr_night,0.85
Northeast,col_Nccs,peak,0.85
Northeast,ngcc_N,sum_day,0.87
Northeast,ngcc_N,sum_mrnevn,0.87
Northeast,ngcc_N,sum_night,0.87
Northeast,ngcc_N,sprfl_day,0.87
Northeast,ngcc_N,sprfl_mrnevn,0.87
Northeast,ngcc_N,sprfl_night,0.87
Northeast,ngcc_N,wntr_day,0.87
Northeast,ngcc_N,wntr_mrnevn,0.87
Northeast,ngcc_N,wntr_night,0.87
Northeast,ngcc_N,peak,0.87
Northeast,ngcc_Nccs,sum_day,0.87
Northeast,ngcc_Nccs,sum_mrnevn,0.87
Northeast,ngcc_Nccs,sum_night,0.87
Northeast,ngcc_Nccs,sprfl_day,0.87
Northeast,ngcc_Nccs,sprfl_mrnevn,0.87
Northeast,ngcc_Nccs,sprfl_night,0.87
