"state","plant_type","load_segment","Value"
"CT","col_X1","sum_day",0.645027521
"MA","col_X1","sum_day",0.645027521
"ME","col_X1","sum_day",0.645027521
"NH","col_X1","sum_day",0.645027521
"RI","col_X1","sum_day",0.645027521
"VT","col_X1","sum_day",0.645027521
"CT","col_X1","sum_mrnevn",0.645027521
"MA","col_X1","sum_mrnevn",0.645027521
"ME","col_X1","sum_mrnevn",0.645027521
"NH","col_X1","sum_mrnevn",0.645027521
"RI","col_X1","sum_mrnevn",0.645027521
"VT","col_X1","sum_mrnevn",0.645027521
"CT","col_X1","sum_night",0.645027521
"MA","col_X1","sum_night",0.645027521
"ME","col_X1","sum_night",0.645027521
"NH","col_X1","sum_night",0.645027521
"RI","col_X1","sum_night",0.645027521
"VT","col_X1","sum_night",0.645027521
"CT","col_X1","sprfl_day",0.600751771
"MA","col_X1","sprfl_day",0.600751771
"ME","col_X1","sprfl_day",0.600751771
"NH","col_X1","sprfl_day",0.600751771
"RI","col_X1","sprfl_day",0.600751771
"VT","col_X1","sprfl_day",0.600751771
"CT","col_X1","sprfl_mrnevn",0.600751771
"MA","col_X1","sprfl_mrnevn",0.600751771
"ME","col_X1","sprfl_mrnevn",0.600751771
"NH","col_X1","sprfl_mrnevn",0.600751771
"RI","col_X1","sprfl_mrnevn",0.600751771
"VT","col_X1","sprfl_mrnevn",0.600751771
"CT","col_X1","sprfl_night",0.600751771
"MA","col_X1","sprfl_night",0.600751771
"ME","col_X1","sprfl_night",0.600751771
"NH","col_X1","sprfl_night",0.600751771
"RI","col_X1","sprfl_night",0.600751771
"VT","col_X1","sprfl_night",0.600751771
"CT","col_X1","wntr_day",0.600751771
"MA","col_X1","wntr_day",0.600751771
"ME","col_X1","wntr_day",0.600751771
"NH","col_X1","wntr_day",0.600751771
"RI","col_X1","wntr_day",0.600751771
"VT","col_X1","wntr_day",0.600751771
"CT","col_X1","wntr_mrnevn",0.600751771
"MA","col_X1","wntr_mrnevn",0.600751771
"ME","col_X1","wntr_mrnevn",0.600751771
"NH","col_X1","wntr_mrnevn",0.600751771
"RI","col_X1","wntr_mrnevn",0.600751771
"VT","col_X1","wntr_mrnevn",0.600751771
"CT","col_X1","wntr_night",0.600751771
"MA","col_X1","wntr_night",0.600751771
"ME","col_X1","wntr_night",0.600751771
"NH","col_X1","wntr_night",0.600751771
"RI","col_X1","wntr_night",0.600751771
"VT","col_X1","wntr_night",0.600751771
"CT","col_X1","peak",0.645027521
"MA","col_X1","peak",0.645027521
"ME","col_X1","peak",0.645027521
"NH","col_X1","peak",0.645027521
"RI","col_X1","peak",0.645027521
"VT","col_X1","peak",0.645027521
"CT","col_X2","sum_day",0.829290606
"MA","col_X2","sum_day",0.829290606
"ME","col_X2","sum_day",0.829290606
"NH","col_X2","sum_day",0.829290606
"RI","col_X2","sum_day",0.829290606
"VT","col_X2","sum_day",0.829290606
"CT","col_X2","sum_mrnevn",0.829290606
"MA","col_X2","sum_mrnevn",0.829290606
"ME","col_X2","sum_mrnevn",0.829290606
"NH","col_X2","sum_mrnevn",0.829290606
"RI","col_X2","sum_mrnevn",0.829290606
"VT","col_X2","sum_mrnevn",0.829290606
"CT","col_X2","sum_night",0.829290606
"MA","col_X2","sum_night",0.829290606
"ME","col_X2","sum_night",0.829290606
"NH","col_X2","sum_night",0.829290606
"RI","col_X2","sum_night",0.829290606
"VT","col_X2","sum_night",0.829290606
"CT","col_X2","sprfl_day",0.775076461
"MA","col_X2","sprfl_day",0.775076461
"ME","col_X2","sprfl_day",0.775076461
"NH","col_X2","sprfl_day",0.775076461
"RI","col_X2","sprfl_day",0.775076461
"VT","col_X2","sprfl_day",0.775076461
"CT","col_X2","sprfl_mrnevn",0.775076461
"MA","col_X2","sprfl_mrnevn",0.775076461
