region,biostep,year,Value
Northeast,1,2020,1.742534434
Northeast,2,2020,2.020484711
Northeast,3,2020,2.287744594
Northeast,4,2020,2.565694871
Northeast,5,2020,2.832954754
Northeast,6,2020,3.110905032
Northeast,7,2020,3.378164914
Northeast,8,2020,3.656115192
Northeast,9,2020,3.923375074
Northeast,10,2020,4.201325352
Northeast,11,2020,4.468585234
Northeast,12,2020,4.746535512
Northeast,13,2020,5.013795395
Northeast,14,2020,5.291745672
Northeast,15,2020,5.559005555
Northeast,16,2020,5.836955832
Northeast,17,2020,6.104215715
Midwest,1,2020,1.742534434
Midwest,2,2020,2.020484711
Midwest,3,2020,2.287744594
Midwest,4,2020,2.565694871
Midwest,5,2020,2.832954754
Midwest,6,2020,3.110905032
Midwest,7,2020,3.378164914
Midwest,8,2020,3.656115192
Midwest,9,2020,3.923375074
Midwest,10,2020,4.201325352
Midwest,11,2020,4.468585234
Midwest,12,2020,4.746535512
Midwest,13,2020,5.013795395
Midwest,14,2020,5.291745672
Midwest,15,2020,5.559005555
Midwest,16,2020,5.836955832
Midwest,17,2020,6.104215715
South,1,2020,1.742534434
South,2,2020,2.020484711
South,3,2020,2.287744594
South,4,2020,2.565694871
South,5,2020,2.832954754
South,6,2020,3.110905032
South,7,2020,3.378164914
South,8,2020,3.656115192
South,9,2020,3.923375074
South,10,2020,4.201325352
South,11,2020,4.468585234
South,12,2020,4.746535512
South,13,2020,5.013795395
South,14,2020,5.291745672
South,15,2020,5.559005555
South,16,2020,5.836955832
South,17,2020,6.104215715
West,1,2020,1.742534434
West,2,2020,2.020484711
West,3,2020,2.287744594
West,4,2020,2.565694871
West,5,2020,2.832954754
West,6,2020,3.110905032
West,7,2020,3.378164914
West,8,2020,3.656115192
West,9,2020,3.923375074
West,10,2020,4.201325352
West,11,2020,4.468585234
West,12,2020,4.746535512
West,13,2020,5.013795395
West,14,2020,5.291745672
West,15,2020,5.559005555
West,16,2020,5.836955832
West,17,2020,6.104215715
