state,biostep,year,Value
AL,1,2020,1.742534434
AR,1,2020,1.742534434
AZ,1,2020,1.742534434
CA,1,2020,1.742534434
CO,1,2020,1.742534434
CT,1,2020,1.742534434
DC,1,2020,1.742534434
DE,1,2020,1.742534434
FL,1,2020,1.742534434
GA,1,2020,1.742534434
IA,1,2020,1.742534434
ID,1,2020,1.742534434
IL,1,2020,1.742534434
IN,1,2020,1.742534434
KS,1,2020,1.742534434
KY,1,2020,1.742534434
LA,1,2020,1.742534434
MA,1,2020,1.742534434
MD,1,2020,1.742534434
ME,1,2020,1.742534434
MI,1,2020,1.742534434
MN,1,2020,1.742534434
MO,1,2020,1.742534434
MS,1,2020,1.742534434
MT,1,2020,1.742534434
NC,1,2020,1.742534434
ND,1,2020,1.742534434
NE,1,2020,1.742534434
NH,1,2020,1.742534434
NJ,1,2020,1.742534434
NM,1,2020,1.742534434
NV,1,2020,1.742534434
NY,1,2020,1.742534434
OH,1,2020,1.742534434
OK,1,2020,1.742534434
OR,1,2020,1.742534434
PA,1,2020,1.742534434
RI,1,2020,1.742534434
SC,1,2020,1.742534434
SD,1,2020,1.742534434
TN,1,2020,1.742534434
TX,1,2020,1.742534434
UT,1,2020,1.742534434
VA,1,2020,1.742534434
VT,1,2020,1.742534434
WA,1,2020,1.742534434
WI,1,2020,1.742534434
WV,1,2020,1.742534434
WY,1,2020,1.742534434
AL,2,2020,2.020484711
AR,2,2020,2.020484711
AZ,2,2020,2.020484711
CA,2,2020,2.020484711
CO,2,2020,2.020484711
CT,2,2020,2.020484711
DC,2,2020,2.020484711
DE,2,2020,2.020484711
FL,2,2020,2.020484711
GA,2,2020,2.020484711
IA,2,2020,2.020484711
ID,2,2020,2.020484711
IL,2,2020,2.020484711
IN,2,2020,2.020484711
KS,2,2020,2.020484711
KY,2,2020,2.020484711
LA,2,2020,2.020484711
MA,2,2020,2.020484711
MD,2,2020,2.020484711
ME,2,2020,2.020484711
MI,2,2020,2.020484711
MN,2,2020,2.020484711
MO,2,2020,2.020484711
MS,2,2020,2.020484711
MT,2,2020,2.020484711
NC,2,2020,2.020484711
ND,2,2020,2.020484711
NE,2,2020,2.020484711
NH,2,2020,2.020484711
NJ,2,2020,2.020484711
NM,2,2020,2.020484711
NV,2,2020,2.020484711
NY,2,2020,2.020484711
OH,2,2020,2.020484711
OK,2,2020,2.020484711
OR,2,2020,2.020484711
PA,2,2020,2.020484711
RI,2,2020,2.020484711
SC,2,2020,2.020484711
SD,2,2020,2.020484711
TN,2,2020,2.020484711
TX,2,2020,2.020484711
UT,2,2020,2.020484711
VA,2,2020,2.020484711
VT,2,2020,2.020484711
WA,2,2020,2.020484711
WI,2,2020,2.020484711
WV,2,2020,2.020484711
WY,2,2020,2.020484711
AL,3,2020,2.287744594
AR,3,2020,2.287744594
AZ,3,2020,2.287744594
CA,3,2020,2.287744594
CO,3,2020,2.287744594
CT,3,2020,2.287744594
DC,3,2020,2.287744594
DE,3,2020,2.287744594
FL,3,2020,2.287744594
GA,3,2020,2.287744594
IA,3,2020,2.287744594
ID,3,2020,2.287744594
IL,3,2020,2.287744594
IN,3,2020,2.287744594
KS,3,2020,2.287744594
KY,3,2020,2.287744594
LA,3,2020,2.287744594
MA,3,2020,2.287744594
MD,3,2020,2.287744594
ME,3,2020,2.287744594
MI,3,2020,2.287744594
MN,3,2020,2.287744594
MO,3,2020,2.287744594
MS,3,2020,2.287744594
MT,3,2020,2.287744594
NC,3,2020,2.287744594
ND,3,2020,2.287744594
NE,3,2020,2.287744594
NH,3,2020,2.287744594
NJ,3,2020,2.287744594
NM,3,2020,2.287744594
NV,3,2020,2.287744594
NY,3,2020,2.287744594
OH,3,2020,2.287744594
OK,3,2020,2.287744594
OR,3,2020,2.287744594
PA,3,2020,2.287744594
RI,3,2020,2.287744594
SC,3,2020,2.287744594
SD,3,2020,2.287744594
TN,3,2020,2.287744594
TX,3,2020,2.287744594
UT,3,2020,2.287744594
VA,3,2020,2.287744594
VT,3,2020,2.287744594
WA,3,2020,2.287744594
WI,3,2020,2.287744594
WV,3,2020,2.287744594
WY,3,2020,2.287744594
AL,4,2020,2.565694871
AR,4,2020,2.565694871
AZ,4,2020,2.565694871
CA,4,2020,2.565694871
CO,4,2020,2.565694871
CT,4,2020,2.565694871
DC,4,2020,2.565694871
DE,4,2020,2.565694871
FL,4,2020,2.565694871
GA,4,2020,2.565694871
IA,4,2020,2.565694871
ID,4,2020,2.565694871
IL,4,2020,2.565694871
IN,4,2020,2.565694871
KS,4,2020,2.565694871
KY,4,2020,2.565694871
LA,4,2020,2.565694871
MA,4,2020,2.565694871
MD,4,2020,2.565694871
ME,4,2020,2.565694871
MI,4,2020,2.565694871
MN,4,2020,2.565694871
MO,4,2020,2.565694871
MS,4,2020,2.565694871
MT,4,2020,2.565694871
NC,4,2020,2.565694871
ND,4,2020,2.565694871
NE,4,2020,2.565694871
NH,4,2020,2.565694871
NJ,4,2020,2.565694871
NM,4,2020,2.565694871
NV,4,2020,2.565694871
NY,4,2020,2.565694871
OH,4,2020,2.565694871
OK,4,2020,2.565694871
OR,4,2020,2.565694871
PA,4,2020,2.565694871
RI,4,2020,2.565694871
SC,4,2020,2.565694871
SD,4,2020,2.565694871
TN,4,2020,2.565694871
TX,4,2020,2.565694871
UT,4,2020,2.565694871
VA,4,2020,2.565694871
VT,4,2020,2.565694871
WA,4,2020,2.565694871
WI,4,2020,2.565694871
WV,4,2020,2.565694871
WY,4,2020,2.565694871
AL,5,2020,2.832954754
AR,5,2020,2.832954754
AZ,5,2020,2.832954754
CA,5,2020,2.832954754
CO,5,2020,2.832954754
CT,5,2020,2.832954754
DC,5,2020,2.832954754
DE,5,2020,2.832954754
FL,5,2020,2.832954754
GA,5,2020,2.832954754
IA,5,2020,2.832954754
ID,5,2020,2.832954754
IL,5,2020,2.832954754
IN,5,2020,2.832954754
KS,5,2020,2.832954754
KY,5,2020,2.832954754
LA,5,2020,2.832954754
MA,5,2020,2.832954754
MD,5,2020,2.832954754
ME,5,2020,2.832954754
MI,5,2020,2.832954754
MN,5,2020,2.832954754
MO,5,2020,2.832954754
MS,5,2020,2.832954754
MT,5,2020,2.832954754
NC,5,2020,2.832954754
ND,5,2020,2.832954754
NE,5,2020,2.832954754
NH,5,2020,2.832954754
NJ,5,2020,2.832954754
NM,5,2020,2.832954754
NV,5,2020,2.832954754
NY,5,2020,2.832954754
OH,5,2020,2.832954754
OK,5,2020,2.832954754
OR,5,2020,2.832954754
PA,5,2020,2.832954754
RI,5,2020,2.832954754
SC,5,2020,2.832954754
SD,5,2020,2.832954754
TN,5,2020,2.832954754
TX,5,2020,2.832954754
UT,5,2020,2.832954754
VA,5,2020,2.832954754
VT,5,2020,2.832954754
WA,5,2020,2.832954754
WI,5,2020,2.832954754
WV,5,2020,2.832954754
WY,5,2020,2.832954754
AL,6,2020,3.110905032
AR,6,2020,3.110905032
AZ,6,2020,3.110905032
CA,6,2020,3.110905032
CO,6,2020,3.110905032
CT,6,2020,3.110905032
DC,6,2020,3.110905032
DE,6,2020,3.110905032
FL,6,2020,3.110905032
GA,6,2020,3.110905032
IA,6,2020,3.110905032
ID,6,2020,3.110905032
IL,6,2020,3.110905032
IN,6,2020,3.110905032
KS,6,2020,3.110905032
KY,6,2020,3.110905032
LA,6,2020,3.110905032
MA,6,2020,3.110905032
MD,6,2020,3.110905032
ME,6,2020,3.110905032
MI,6,2020,3.110905032
MN,6,2020,3.110905032
MO,6,2020,3.110905032
MS,6,2020,3.110905032
MT,6,2020,3.110905032
NC,6,2020,3.110905032
ND,6,2020,3.110905032
NE,6,2020,3.110905032
NH,6,2020,3.110905032
NJ,6,2020,3.110905032
NM,6,2020,3.110905032
NV,6,2020,3.110905032
NY,6,2020,3.110905032
OH,6,2020,3.110905032
OK,6,2020,3.110905032
OR,6,2020,3.110905032
PA,6,2020,3.110905032
RI,6,2020,3.110905032
SC,6,2020,3.110905032
SD,6,2020,3.110905032
TN,6,2020,3.110905032
TX,6,2020,3.110905032
UT,6,2020,3.110905032
VA,6,2020,3.110905032
VT,6,2020,3.110905032
WA,6,2020,3.110905032
WI,6,2020,3.110905032
WV,6,2020,3.110905032
WY,6,2020,3.110905032
AL,7,2020,3.378164914
AR,7,2020,3.378164914
AZ,7,2020,3.378164914
CA,7,2020,3.378164914
CO,7,2020,3.378164914
CT,7,2020,3.378164914
DC,7,2020,3.378164914
DE,7,2020,3.378164914
FL,7,2020,3.378164914
GA,7,2020,3.378164914
IA,7,2020,3.378164914
ID,7,2020,3.378164914
IL,7,2020,3.378164914
IN,7,2020,3.378164914
KS,7,2020,3.378164914
KY,7,2020,3.378164914
LA,7,2020,3.378164914
MA,7,2020,3.378164914
MD,7,2020,3.378164914
ME,7,2020,3.378164914
MI,7,2020,3.378164914
MN,7,2020,3.378164914
MO,7,2020,3.378164914
MS,7,2020,3.378164914
MT,7,2020,3.378164914
NC,7,2020,3.378164914
ND,7,2020,3.378164914
NE,7,2020,3.378164914
NH,7,2020,3.378164914
NJ,7,2020,3.378164914
NM,7,2020,3.378164914
NV,7,2020,3.378164914
NY,7,2020,3.378164914
OH,7,2020,3.378164914
OK,7,2020,3.378164914
OR,7,2020,3.378164914
PA,7,2020,3.378164914
RI,7,2020,3.378164914
SC,7,2020,3.378164914
SD,7,2020,3.378164914
TN,7,2020,3.378164914
TX,7,2020,3.378164914
UT,7,2020,3.378164914
VA,7,2020,3.378164914
VT,7,2020,3.378164914
WA,7,2020,3.378164914
WI,7,2020,3.378164914
WV,7,2020,3.378164914
WY,7,2020,3.378164914
AL,8,2020,3.656115192
AR,8,2020,3.656115192
AZ,8,2020,3.656115192
CA,8,2020,3.656115192
CO,8,2020,3.656115192
CT,8,2020,3.656115192
DC,8,2020,3.656115192
DE,8,2020,3.656115192
FL,8,2020,3.656115192
GA,8,2020,3.656115192
IA,8,2020,3.656115192
ID,8,2020,3.656115192
IL,8,2020,3.656115192
IN,8,2020,3.656115192
KS,8,2020,3.656115192
KY,8,2020,3.656115192
LA,8,2020,3.656115192
MA,8,2020,3.656115192
MD,8,2020,3.656115192
ME,8,2020,3.656115192
MI,8,2020,3.656115192
MN,8,2020,3.656115192
MO,8,2020,3.656115192
MS,8,2020,3.656115192
MT,8,2020,3.656115192
NC,8,2020,3.656115192
ND,8,2020,3.656115192
NE,8,2020,3.656115192
NH,8,2020,3.656115192
NJ,8,2020,3.656115192
NM,8,2020,3.656115192
NV,8,2020,3.656115192
NY,8,2020,3.656115192
OH,8,2020,3.656115192
OK,8,2020,3.656115192
OR,8,2020,3.656115192
PA,8,2020,3.656115192
RI,8,2020,3.656115192
SC,8,2020,3.656115192
SD,8,2020,3.656115192
TN,8,2020,3.656115192
TX,8,2020,3.656115192
UT,8,2020,3.656115192
VA,8,2020,3.656115192
VT,8,2020,3.656115192
WA,8,2020,3.656115192
WI,8,2020,3.656115192
WV,8,2020,3.656115192
WY,8,2020,3.656115192
AL,9,2020,3.923375074
AR,9,2020,3.923375074
AZ,9,2020,3.923375074
CA,9,2020,3.923375074
CO,9,2020,3.923375074
CT,9,2020,3.923375074
DC,9,2020,3.923375074
DE,9,2020,3.923375074
FL,9,2020,3.923375074
GA,9,2020,3.923375074
IA,9,2020,3.923375074
ID,9,2020,3.923375074
IL,9,2020,3.923375074
IN,9,2020,3.923375074
KS,9,2020,3.923375074
KY,9,2020,3.923375074
LA,9,2020,3.923375074
MA,9,2020,3.923375074
MD,9,2020,3.923375074
ME,9,2020,3.923375074
MI,9,2020,3.923375074
MN,9,2020,3.923375074
MO,9,2020,3.923375074
MS,9,2020,3.923375074
MT,9,2020,3.923375074
NC,9,2020,3.923375074
ND,9,2020,3.923375074
NE,9,2020,3.923375074
NH,9,2020,3.923375074
NJ,9,2020,3.923375074
NM,9,2020,3.923375074
NV,9,2020,3.923375074
NY,9,2020,3.923375074
OH,9,2020,3.923375074
OK,9,2020,3.923375074
OR,9,2020,3.923375074
PA,9,2020,3.923375074
RI,9,2020,3.923375074
SC,9,2020,3.923375074
SD,9,2020,3.923375074
TN,9,2020,3.923375074
TX,9,2020,3.923375074
UT,9,2020,3.923375074
VA,9,2020,3.923375074
VT,9,2020,3.923375074
WA,9,2020,3.923375074
WI,9,2020,3.923375074
WV,9,2020,3.923375074
WY,9,2020,3.923375074
AL,10,2020,4.201325352
AR,10,2020,4.201325352
AZ,10,2020,4.201325352
CA,10,2020,4.201325352
CO,10,2020,4.201325352
CT,10,2020,4.201325352
DC,10,2020,4.201325352
DE,10,2020,4.201325352
FL,10,2020,4.201325352
GA,10,2020,4.201325352
IA,10,2020,4.201325352
ID,10,2020,4.201325352
IL,10,2020,4.201325352
IN,10,2020,4.201325352
KS,10,2020,4.201325352
KY,10,2020,4.201325352
LA,10,2020,4.201325352
MA,10,2020,4.201325352
MD,10,2020,4.201325352
ME,10,2020,4.201325352
MI,10,2020,4.201325352
MN,10,2020,4.201325352
MO,10,2020,4.201325352
MS,10,2020,4.201325352
MT,10,2020,4.201325352
NC,10,2020,4.201325352
ND,10,2020,4.201325352
NE,10,2020,4.201325352
NH,10,2020,4.201325352
NM,10,2020,4.201325352
NV,10,2020,4.201325352
OH,10,2020,4.201325352
OK,10,2020,4.201325352
OR,10,2020,4.201325352
RI,10,2020,4.201325352
SC,10,2020,4.201325352
SD,10,2020,4.201325352
TN,10,2020,4.201325352
TX,10,2020,4.201325352
UT,10,2020,4.201325352
VA,10,2020,4.201325352
VT,10,2020,4.201325352
WA,10,2020,4.201325352
WI,10,2020,4.201325352
WV,10,2020,4.201325352
WY,10,2020,4.201325352
AL,11,2020,4.468585234
AZ,11,2020,4.468585234
CA,11,2020,4.468585234
CO,11,2020,4.468585234
CT,11,2020,4.468585234
DC,11,2020,4.468585234
DE,11,2020,4.468585234
FL,11,2020,4.468585234
GA,11,2020,4.468585234
IA,11,2020,4.468585234
ID,11,2020,4.468585234
IL,11,2020,4.468585234
IN,11,2020,4.468585234
KS,11,2020,4.468585234
KY,11,2020,4.468585234
MA,11,2020,4.468585234
MD,11,2020,4.468585234
ME,11,2020,4.468585234
MI,11,2020,4.468585234
MN,11,2020,4.468585234
MO,11,2020,4.468585234
MS,11,2020,4.468585234
MT,11,2020,4.468585234
NC,11,2020,4.468585234
ND,11,2020,4.468585234
NE,11,2020,4.468585234
NH,11,2020,4.468585234
NM,11,2020,4.468585234
NV,11,2020,4.468585234
OH,11,2020,4.468585234
OR,11,2020,4.468585234
RI,11,2020,4.468585234
SC,11,2020,4.468585234
SD,11,2020,4.468585234
TN,11,2020,4.468585234
UT,11,2020,4.468585234
VA,11,2020,4.468585234
VT,11,2020,4.468585234
WA,11,2020,4.468585234
WI,11,2020,4.468585234
WV,11,2020,4.468585234
WY,11,2020,4.468585234
AL,12,2020,4.746535512
AR,12,2020,4.746535512
AZ,12,2020,4.746535512
CA,12,2020,4.746535512
CO,12,2020,4.746535512
CT,12,2020,4.746535512
DC,12,2020,4.746535512
DE,12,2020,4.746535512
FL,12,2020,4.746535512
GA,12,2020,4.746535512
IA,12,2020,4.746535512
ID,12,2020,4.746535512
IL,12,2020,4.746535512
IN,12,2020,4.746535512
KS,12,2020,4.746535512
KY,12,2020,4.746535512
LA,12,2020,4.746535512
MA,12,2020,4.746535512
MD,12,2020,4.746535512
ME,12,2020,4.746535512
MI,12,2020,4.746535512
MN,12,2020,4.746535512
MO,12,2020,4.746535512
MS,12,2020,4.746535512
MT,12,2020,4.746535512
NC,12,2020,4.746535512
ND,12,2020,4.746535512
NE,12,2020,4.746535512
NH,12,2020,4.746535512
NM,12,2020,4.746535512
NV,12,2020,4.746535512
OH,12,2020,4.746535512
OK,12,2020,4.746535512
OR,12,2020,4.746535512
RI,12,2020,4.746535512
SC,12,2020,4.746535512
SD,12,2020,4.746535512
TN,12,2020,4.746535512
TX,12,2020,4.746535512
UT,12,2020,4.746535512
VA,12,2020,4.746535512
VT,12,2020,4.746535512
WA,12,2020,4.746535512
WI,12,2020,4.746535512
WV,12,2020,4.746535512
WY,12,2020,4.746535512
AL,13,2020,5.013795395
AZ,13,2020,5.013795395
CA,13,2020,5.013795395
CO,13,2020,5.013795395
CT,13,2020,5.013795395
DC,13,2020,5.013795395
DE,13,2020,5.013795395
FL,13,2020,5.013795395
GA,13,2020,5.013795395
IA,13,2020,5.013795395
ID,13,2020,5.013795395
IL,13,2020,5.013795395
IN,13,2020,5.013795395
KS,13,2020,5.013795395
KY,13,2020,5.013795395
MA,13,2020,5.013795395
MD,13,2020,5.013795395
ME,13,2020,5.013795395
MI,13,2020,5.013795395
MN,13,2020,5.013795395
MO,13,2020,5.013795395
MS,13,2020,5.013795395
MT,13,2020,5.013795395
NC,13,2020,5.013795395
ND,13,2020,5.013795395
NE,13,2020,5.013795395
NH,13,2020,5.013795395
NM,13,2020,5.013795395
NV,13,2020,5.013795395
OH,13,2020,5.013795395
OR,13,2020,5.013795395
RI,13,2020,5.013795395
SC,13,2020,5.013795395
SD,13,2020,5.013795395
TN,13,2020,5.013795395
UT,13,2020,5.013795395
VA,13,2020,5.013795395
VT,13,2020,5.013795395
WA,13,2020,5.013795395
WI,13,2020,5.013795395
WV,13,2020,5.013795395
WY,13,2020,5.013795395
AL,14,2020,5.291745672
AZ,14,2020,5.291745672
CA,14,2020,5.291745672
CO,14,2020,5.291745672
CT,14,2020,5.291745672
DC,14,2020,5.291745672
DE,14,2020,5.291745672
FL,14,2020,5.291745672
GA,14,2020,5.291745672
IA,14,2020,5.291745672
ID,14,2020,5.291745672
IL,14,2020,5.291745672
IN,14,2020,5.291745672
KS,14,2020,5.291745672
KY,14,2020,5.291745672
MA,14,2020,5.291745672
MD,14,2020,5.291745672
ME,14,2020,5.291745672
MI,14,2020,5.291745672
MN,14,2020,5.291745672
MO,14,2020,5.291745672
MS,14,2020,5.291745672
MT,14,2020,5.291745672
NC,14,2020,5.291745672
ND,14,2020,5.291745672
NE,14,2020,5.291745672
NH,14,2020,5.291745672
NM,14,2020,5.291745672
NV,14,2020,5.291745672
OH,14,2020,5.291745672
OR,14,2020,5.291745672
RI,14,2020,5.291745672
SC,14,2020,5.291745672
SD,14,2020,5.291745672
TN,14,2020,5.291745672
UT,14,2020,5.291745672
VA,14,2020,5.291745672
VT,14,2020,5.291745672
WA,14,2020,5.291745672
WI,14,2020,5.291745672
WV,14,2020,5.291745672
WY,14,2020,5.291745672
AL,15,2020,5.559005555
AZ,15,2020,5.559005555
CA,15,2020,5.559005555
CO,15,2020,5.559005555
CT,15,2020,5.559005555
DC,15,2020,5.559005555
DE,15,2020,5.559005555
FL,15,2020,5.559005555
GA,15,2020,5.559005555
IA,15,2020,5.559005555
ID,15,2020,5.559005555
IL,15,2020,5.559005555
IN,15,2020,5.559005555
KS,15,2020,5.559005555
KY,15,2020,5.559005555
MA,15,2020,5.559005555
MD,15,2020,5.559005555
ME,15,2020,5.559005555
MI,15,2020,5.559005555
MN,15,2020,5.559005555
MO,15,2020,5.559005555
MS,15,2020,5.559005555
