"region","fuel_type","year","Value"
"Northeast","COL",2020,3.1214888125
"Northeast","GAS",2020,5.0060183527314
"Northeast","OIL",2020,17.4107663446875
"Northeast","bio",2020,2.65
"Northeast","nuc",2020,0.76
"Midwest","COL",2020,2.10873838221656
"Midwest","GAS",2020,6.21512570971242
"Midwest","OIL",2020,16.3719452905868
"Midwest","bio",2020,2.65
"Midwest","nuc",2020,0.76
"South","COL",2020,3.19849598834559
"South","GAS",2020,7.44015139165521
"South","OIL",2020,16.6070294516359
"South","bio",2020,2.65
"South","nuc",2020,0.76
"West","COL",2020,2.41635347824107
"West","GAS",2020,6.33217449431059
"West","OIL",2020,19.621022528658
"West","bio",2020,2.65
"West","nuc",2020,0.76
