"state","fuel_type","year","Value"
"CT","bio",2020,2.65
"MA","bio",2020,2.65
"ME","bio",2020,2.65
"NH","bio",2020,2.65
"RI","bio",2020,2.65
"VT","bio",2020,2.65
"CT","nuc",2020,0.76
"MA","nuc",2020,0.76
"ME","nuc",2020,0.76
"NH","nuc",2020,0.76
"RI","nuc",2020,0.76
"VT","nuc",2020,0.76
"NY","bio",2020,2.65
"NY","nuc",2020,0.76
"NJ","bio",2020,2.65
"PA","bio",2020,2.65
"NJ","nuc",2020,0.76
"PA","nuc",2020,0.76
"IL","bio",2020,2.65
"IN","bio",2020,2.65
"MI","bio",2020,2.65
"OH","bio",2020,2.65
"WI","bio",2020,2.65
"IL","nuc",2020,0.76
"IN","nuc",2020,0.76
"MI","nuc",2020,0.76
"OH","nuc",2020,0.76
"WI","nuc",2020,0.76
"IA","bio",2020,2.65
"KS","bio",2020,2.65
"MN","bio",2020,2.65
"MO","bio",2020,2.65
"ND","bio",2020,2.65
"NE","bio",2020,2.65
"SD","bio",2020,2.65
"IA","nuc",2020,0.76
"KS","nuc",2020,0.76
"MN","nuc",2020,0.76
"MO","nuc",2020,0.76
"ND","nuc",2020,0.76
"NE","nuc",2020,0.76
"SD","nuc",2020,0.76
"FL","bio",2020,2.65
"FL","nuc",2020,0.76
"DC","bio",2020,2.65
"DE","bio",2020,2.65
"GA","bio",2020,2.65
"MD","bio",2020,2.65
"NC","bio",2020,2.65
"SC","bio",2020,2.65
"VA","bio",2020,2.65
"WV","bio",2020,2.65
"DC","nuc",2020,0.76
"DE","nuc",2020,0.76
"GA","nuc",2020,0.76
"MD","nuc",2020,0.76
"NC","nuc",2020,0.76
"SC","nuc",2020,0.76
"VA","nuc",2020,0.76
"WV","nuc",2020,0.76
"AL","bio",2020,2.65
"KY","bio",2020,2.65
"MS","bio",2020,2.65
"TN","bio",2020,2.65
"AL","nuc",2020,0.76
"KY","nuc",2020,0.76
"MS","nuc",2020,0.76
"TN","nuc",2020,0.76
"TX","bio",2020,2.65
"TX","nuc",2020,0.76
"AR","bio",2020,2.65
"LA","bio",2020,2.65
"OK","bio",2020,2.65
"AR","nuc",2020,0.76
"LA","nuc",2020,0.76
"OK","nuc",2020,0.76
"AZ","bio",2020,2.65
"CO","bio",2020,2.65
"ID","bio",2020,2.65
"MT","bio",2020,2.65
"NM","bio",2020,2.65
"NV","bio",2020,2.65
"UT","bio",2020,2.65
"WY","bio",2020,2.65
"AZ","nuc",2020,0.76
"CO","nuc",2020,0.76
"ID","nuc",2020,0.76
"MT","nuc",2020,0.76
"NM","nuc",2020,0.76
"NV","nuc",2020,0.76
"UT","nuc",2020,0.76
"WY","nuc",2020,0.76
"CA","bio",2020,2.65
"CA","nuc",2020,0.76
"OR","bio",2020,2.65
"WA","bio",2020,2.65
"OR","nuc",2020,0.76
"WA","nuc",2020,0.76
"AL","COL",2020,3.40587343925
"AL","GAS",2020,3.233489156
"AL","OIL",2020,16.99088036
"AR","COL",2020,2.292727686375
"AR","GAS",2020,2.929397656
"AR","OIL",2020,16.5461754
"AZ","COL",2020,2.77167030657143
"AZ","GAS",2020,2.380402958
"AZ","OIL",2020,18.96489353
"CA","COL",2020,2.4987826425
"CA","GAS",2020,4.608337339
"CA","OIL",2020,16.61275148
"CO","COL",2020,2.0185298074
"CO","GAS",2020,3.449187356
"CO","OIL",2020,19.83637034
"CT","COL",2020,2.074358682
"CT","GAS",2020,4.312621657
"CT","OIL",2020,18.68001733
"DC","GAS",2020,3.950381433
