state,end_state,Value
AL,AL,999
AL,AR,2.774779071
AL,AZ,0
AL,CA,0
AL,CO,0
AL,CT,0
AL,DC,8.575084878
AL,DE,8.575084878
AL,FL,0.995715583
AL,GA,8.575084878
AL,IA,1.860451239
AL,ID,0
AL,IL,3.923366378
AL,IN,3.923366378
AL,KS,1.860451239
AL,KY,999
AL,LA,2.774779071
AL,MA,0
AL,MD,8.575084878
AL,ME,0
AL,MI,3.923366378
AL,MN,1.860451239
AL,MO,1.860451239
AL,MS,999
AL,MT,0
AL,NC,8.575084878
AL,ND,1.860451239
AL,NE,1.860451239
AL,NH,0
AL,NJ,0.572431386
AL,NM,0
AL,NV,0
AL,NY,0
AL,OH,3.923366378
AL,OK,2.774779071
AL,OR,0
AL,PA,0.572431386
AL,RI,0
AL,SC,8.575084878
AL,SD,1.860451239
AL,TN,999
AL,TX,0.666527151
AL,UT,0
AL,VA,8.575084878
AL,VT,0
AL,WA,0
AL,WI,3.923366378
AL,WV,8.575084878
AL,WY,0
AR,AL,3.438284175
AR,AR,999
AR,AZ,0.441803029
AR,CA,0
AR,CO,0.441803029
AR,CT,0
AR,DC,1.186029076
AR,DE,1.186029076
AR,FL,0
AR,GA,1.186029076
AR,IA,5.517692343
AR,ID,0.441803029
AR,IL,1.397184139
AR,IN,1.397184139
AR,KS,5.517692343
AR,KY,3.438284175
AR,LA,999
AR,MA,0
AR,MD,1.186029076
AR,ME,0
AR,MI,1.397184139
AR,MN,5.517692343
AR,MO,5.517692343
AR,MS,3.438284175
AR,MT,0.441803029
AR,NC,1.186029076
AR,ND,5.517692343
AR,NE,5.517692343
AR,NH,0
AR,NJ,0
AR,NM,0.441803029
AR,NV,0.441803029
AR,NY,0
AR,OH,1.397184139
AR,OK,999
AR,OR,0
AR,PA,0
AR,RI,0
AR,SC,1.186029076
AR,SD,5.517692343
AR,TN,3.438284175
AR,TX,3.493736453
AR,UT,0.441803029
AR,VA,1.186029076
AR,VT,0
AR,WA,0
AR,WI,1.397184139
AR,WV,1.186029076
AR,WY,0.441803029
AZ,AL,0
AZ,AR,0.347645405
AZ,AZ,999
AZ,CA,10.43002314
AZ,CO,999
AZ,CT,0
AZ,DC,0
AZ,DE,0
AZ,FL,0
AZ,GA,0
AZ,IA,0.522998538
AZ,ID,999
AZ,IL,0
AZ,IN,0
