"state","plant_type_full","Value"
"AL","bio_X",5.85010985199079
"AL","col_X1",7.2450515686919
"AL","col_X2",6.28267486792975
"AL","col_X3",3.23243831622624
"AL","hyd_X",0
"AL","ngcc_X1",2.26463169051272
"AL","ngtb_X1",4.78188568000629
"AL","ngtb_X2",4.92921805449077
"AL","ngtb_X3",4.78638890300085
"AL","nuc_X",2.55696031428003
"AL","oth_X",0
"AL","slr_X",0
"AR","bio_X",5.32119012147697
"AR","col_X1",9.50418756616667
"AR","col_X2",6.73083641704996
"AR","col_X3",3.21158773827636
"AR","hyd_X",0
"AR","msw_X",1.13268106138518
"AR","ngcc_X1",2.22839038185871
"AR","ngtb_X1",4.77941736641457
"AR","ngtb_X2",4.79192363551786
"AR","ngtb_X3",4.79192363571429
"AR","nuc_X",2.55696031446753
"AR","oth_X",0
"AR","slr_X",0
"AR","stog_X1",0
"AZ","bio_X",5.28468674220337
"AZ","col_X2",6.17510615470651
"AZ","col_X3",3.21690477625502
"AZ","hyd_X",0
"AZ","ngcc_X1",2.27026686182304
"AZ","ngtb_X1",4.79192363602642
"AZ","ngtb_X2",4.77480617921559
"AZ","ngtb_X3",4.7889624122717
"AZ","nuc_X",2.55696031449262
"AZ","oth_X",0
"AZ","slr_X",0
"AZ","stog_X1",0
"AZ","stog_X2",0
"AZ","wnd_X",0
"CA","bio_X",5.46055979999637
"CA","col_X1",3.25490807917245
"CA","col_X2",0
"CA","col_X3",3.41100084558802
"CA","geo_X",0
"CA","hyd_X",0
"CA","msw_X",2.22797920001597
"CA","ngcc_X1",2.26836875271374
"CA","ngcc_X2",2.22043529797578
"CA","ngcc_X3",2.24769557791179
"CA","ngtb_X1",4.79067973903673
"CA","ngtb_X2",4.79349571125897
"CA","ngtb_X3",4.78914778294539
"CA","nuc_X",2.55696031408843
"CA","oth_X",0.135275959292126
"CA","slr_X",0.365946471820634
"CA","stog_X1",0
"CA","stog_X2",0
"CA","wnd_X",0
"CO","bio_X",5.28863902720043
"CO","col_X1",3.2327475994581
"CO","col_X2",8.63042768218381
"CO","col_X3",3.20475676660285
"CO","hyd_X",0
"CO","ngcc_X1",2.25897355561458
"CO","ngtb_X1",4.77690506370886
"CO","ngtb_X2",4.79432450382254
"CO","ngtb_X3",4.76637174469321
"CO","oth_X",0
"CO","slr_X",0
"CO","stog_X2",0
"CO","wnd_X",0
"CT","bio_X",5.19655347411348
"CT","col_X1",3.11694140413855
"CT","col_X2",-19.7024336913487
"CT","col_X3",4.73688860554705
"CT","hyd_X",0
"CT","msw_X",2.9217035425313
"CT","ngcc_X1",2.22810242274327
"CT","ngcc_X2",2.23529733251393
"CT","ngtb_X1",4.78263280183241
"CT","ngtb_X2",5.51321169480885
"CT","ngtb_X3",4.7919236356733
"CT","nuc_X",2.55696031433663
"CT","oth_X",0
"CT","slr_X",0
"CT","stog_X1",0
"CT","wnd_X",0
"DC","ngtb_X1",4.7919236359019
"DC","ngtb_X2",4.79192363562383
"DC","ngtb_X3",4.79192363551762
"DC","slr_X",0
"DE","col_X1",3.23401740113816
"DE","col_X3",7.44951325929654
"DE","ngcc_X1",2.23705226861503
"DE","ngtb_X1",4.78976747917343
"DE","ngtb_X2",4.7766819190861
"DE","ngtb_X3",4.79192363468992
"DE","oth_X",0
"DE","slr_X",0
"DE","wnd_X",0
"FL","bio_X",7.35330307305636
"FL","col_X1",3.27198691844976
"FL","col_X2",8.0479729027886
"FL","col_X3",7.24189056887675
"FL","hyd_X",0
"FL","msw_X",2.87305472707962
"FL","ngcc_X1",2.22566250566572
"FL","ngcc_X2",2.21245287366937
"FL","ngcc_X3",2.21347005126112
"FL","ngtb_X1",4.78080697166495
"FL","ngtb_X2",4.79956270622215
"FL","ngtb_X3",4.69867487526426
"FL","nuc_X",2.55696031436785
"FL","oth_X",3.2269655901441
"FL","slr_X",0.0336539879559875
"GA","bio_X",5.43901606469181
"GA","col_X1",10.0138868692081
"GA","col_X2",10.0356452368228
"GA","col_X3",0.916346941418015
"GA","hyd_X",0
"GA","msw_X",0.0558021664023972
"GA","ngcc_X1",2.2852642680105
"GA","ngtb_X1",4.78574756496014
"GA","ngtb_X2",4.78853613540941
"GA","ngtb_X3",4.79331927123445
"GA","nuc_X",2.55696031437537
"GA","oth_X",3.24775850352935
"GA","slr_X",0
"GA","stog_X1",0
"GA","stog_X2",0
"IA","bio_X",11.2159910447779
"IA","col_X1",9.63677116280783
"IA","col_X2",10.4884279485228
"IA","col_X3",9.83985776664591
"IA","hyd_X",0
"IA","ngcc_X1",2.21329416624562
"IA","ngcc_X3",2.19138638856804
"IA","ngtb_X1",4.75192768240815
"IA","ngtb_X2",5.14149638630084
"IA","ngtb_X3",4.74539664970965
"IA","nuc_X",2.5569603145014
"IA","oth_X",0
"IA","slr_X",0
"IA","wnd_X",0
"ID","bio_X",5.26274132180713
"ID","col_X1",3.24567118477931
"ID","geo_X",0
"ID","hyd_X",0
"ID","ngcc_X1",2.25765034351229
"ID","ngtb_X1",4.79065337360751
"ID","ngtb_X2",4.7919236354866
"ID","slr_X",0
"ID","wnd_X",0
"IL","col_X1",13.152045866278
"IL","col_X2",8.21489306154308
"IL","col_X3",4.40698546122287
"IL","hyd_X",0
"IL","msw_X",9.08839039988983
"IL","ngcc_X1",2.25443336864475
"IL","ngtb_X1",4.79141911979367
"IL","ngtb_X2",4.80231159319605
"IL","ngtb_X3",4.79018723965734
"IL","nuc_X",2.55696031430968
"IL","oth_X",3.43419665186497
"IL","slr_X",0
"IL","wnd_X",0
"IN","col_X1",3.24776538681632
"IN","col_X2",10.9513133699299
"IN","col_X3",3.97591228914109
"IN","hyd_X",0
"IN","msw_X",0
"IN","ngcc_X1",2.2565799908152
"IN","ngtb_X1",4.78971570156594
"IN","ngtb_X2",4.78953572076775
"IN","ngtb_X3",4.78580662477211
"IN","oth_X",0
"IN","slr_X",0
"IN","wnd_X",0
"KS","col_X1",3.21158773831677
"KS","col_X2",9.69357039747644
"KS","col_X3",3.21158773780988
"KS","hyd_X",0
"KS","ngcc_X1",2.21329416588446
"KS","ngtb_X1",4.79103350873584
"KS","ngtb_X2",5.04636770879297
"KS","ngtb_X3",4.78290224037924
"KS","nuc_X",2.55696031481874
"KS","slr_X",0
"KS","wnd_X",0
"KY","bio_X",5.28390428511078
"KY","col_X1",16.2628012568198
"KY","col_X2",13.9610497771924
"KY","col_X3",18.2036464946638
"KY","hyd_X",0
"KY","ngcc_X1",2.21329416613047
"KY","ngtb_X1",4.79192363360543
"KY","ngtb_X2",4.7863955414592
"KY","ngtb_X3",4.79192363468651
"KY","slr_X",0
"LA","bio_X",5.27581083211091
"LA","col_X1",3.22366692079848
"LA","col_X2",6.10539572813503
"LA","col_X3",6.60531234798485
"LA","hyd_X",0
"LA","msw_X",0.0551479999932262
"LA","ngcc_X1",2.24057454824252
"LA","ngcc_X3",2.21329416610169
"LA","ngtb_X1",4.7563259493741
"LA","ngtb_X2",4.79192363550316
"LA","ngtb_X3",4.79192363534192
"LA","nuc_X",2.55696031387561
"LA","oth_X",3.21158773778387
"LA","slr_X",0
"MA","bio_X",5.28773907094378
"MA","col_X1",3.20725586217516
"MA","col_X2",3.36600213791464
"MA","col_X3",4.18819749628306
"MA","hyd_X",0
"MA","msw_X",3.90840962201354
"MA","ngcc_X1",2.25784336653108
"MA","ngcc_X2",2.17759925044224
"MA","ngcc_X3",2.21329416619397
"MA","ngtb_X1",4.73781739580463
"MA","ngtb_X2",4.83673158403424
"MA","ngtb_X3",4.79192363540961
"MA","nuc_X",2.55696031423789
"MA","oth_X",0
"MA","slr_X",0
"MA","stog_X2",0
"MA","wnd_X",0
"MD","bio_X",5.20338498231119
"MD","col_X1",9.03114049532805
"MD","col_X2",7.9903385472151
"MD","col_X3",15.8640426022762
"MD","hyd_X",0
"MD","msw_X",2.7193130598638
"MD","ngcc_X1",2.25578590550055
"MD","ngcc_X2",2.20811490507497
"MD","ngtb_X1",4.78835754674276
"MD","ngtb_X2",4.79855665147647
